"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 75","Max"
"Subject","14741768","4862452.179","2992168.729","1","2330195","7046390.25","10819472"
"T1","14741768","5.936","10.593","0","0","8","37"
"T2","14741768","36.446","17.704","1","28","38","68"
"Infected","14741768","0.022","0.145","0","0","0","1"
"Hospitalized","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"Oxygen","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"ICU","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"DeadByCov","14741768","0","0.011","0","0","0","1"
"DeadByOther","14741768","0","0.018","0","0","0","1"
"VariantInf","14741768","0.003","0.05","0","0","0","1"
"VariantHosp","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"VariantOxygen","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"VariantICU","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"VariantDeath","14741768","0","0.001","0","0","0","1"
"InfPrior","14741768","","","","","",""
"... _noinf","11679667","79.2%","","","","",""
"... inf1","193293","1.3%","","","","",""
"... inf2","737247","5%","","","","",""
"... inf3","1586792","10.8%","","","","",""
"... inf4+","544769","3.7%","","","","",""
"InfPriorSeverity","14741768","","","","","",""
"... _no_or_unknown_severity","13054880","88.6%","","","","",""
"... hospitalized","173106","1.2%","","","","",""
"... symptoms","1513782","10.3%","","","","",""
"Age","14741768","44.292","22.488","0","27","63","120"
"Sex","14741768","","","","","",""
"... M","7283204","49.4%","","","","",""
"... Z","7458564","50.6%","","","","",""
"InfPriorTime","3062101","-317.344","95.417","-705","-397","-276","-23"
"LastVaccTime","10578020","-81.809","73.802","-317","-143","-6","37"
