"beta","se","low","high","p","model.betas","hr","hr.se","hr.low","hr.high","model.hr","eff","eff.high","eff.low","model.effectiveness","model.concordance","model.ctool.version","model.age.filter","model.input.file","model.input.horizon","model.mode","model.calculated.at"
-18.4885698498359,0.351034198916736,-19.177,-17.801,0,"-18.49 (-19.18, -17.8)",9.34364083311711e-09,1.42053590587067,4.69390959216617e-09,1.85833466255187e-08,"0 (0, 0)",0.999999990656359,0.99999999530609,0.999999981416653,"1 (1, 1)",0.981981952993357,"version 21","Mode variantdeath","Writing to data/temp/DOmicron.csv","Study period: 2021-12-07 to 2022-02-13","VD","2022-02-17 13:18:16"
-2.45249932776455,1.09349714224865,-4.596,-0.309,0.0249094822023389,"-2.45 (-4.6, -0.31)",0.0860781798407817,2.98469374099325,0.010092123609625,0.734180770026263,"0.09 (0.01, 0.73)",0.913921820159218,0.989907876390375,0.265819229973737,"0.91 (0.27, 0.99)",0.981981952993357,"version 21","Mode variantdeath","Writing to data/temp/DOmicron.csv","Study period: 2021-12-07 to 2022-02-13","VD","2022-02-17 13:18:16"
-16.4133868832404,0.340439540254856,-17.081,-15.746,0,"-16.41 (-17.08, -15.75)",7.44314787403767e-08,1.40556525732037,3.81782444723726e-08,1.4507717423642e-07,"0 (0, 0)",0.999999925568521,0.999999961821756,0.999999854922826,"1 (1, 1)",0.981981952993357,"version 21","Mode variantdeath","Writing to data/temp/DOmicron.csv","Study period: 2021-12-07 to 2022-02-13","VD","2022-02-17 13:18:16"
0.220689042227193,1.07928994514411,-1.895,2.336,0.837981435401321,"0.22 (-1.9, 2.34)",1.24693562594668,2.94258940919676,0.1503183350464,10.3397945557509,"1.25 (0.15, 10.34)",-0.246935625946681,0.8496816649536,-9.33979455575087,"-0.25 (-9.34, 0.85)",0.981981952993357,"version 21","Mode variantdeath","Writing to data/temp/DOmicron.csv","Study period: 2021-12-07 to 2022-02-13","VD","2022-02-17 13:18:16"
-1.06531042714394,0.575562896419421,-2.193,0.063,0.0641836752258564,"-1.07 (-2.19, 0.06)",0.34462085849196,1.77813114892133,0.111581501493598,1.06502683923131,"0.34 (0.11, 1.07)",0.65537914150804,0.888418498506402,-0.0650268392313054,"0.66 (-0.07, 0.89)",0.981981952993357,"version 21","Mode variantdeath","Writing to data/temp/DOmicron.csv","Study period: 2021-12-07 to 2022-02-13","VD","2022-02-17 13:18:16"
-16.878893467651,0.332677463913649,-17.531,-16.227,0,"-16.88 (-17.53, -16.23)",4.67293463725779e-08,1.39469738568073,2.43435234550832e-08,8.96816194724295e-08,"0 (0, 0)",0.999999953270654,0.999999975656477,0.999999910318381,"1 (1, 1)",0.981981952993357,"version 21","Mode variantdeath","Writing to data/temp/DOmicron.csv","Study period: 2021-12-07 to 2022-02-13","VD","2022-02-17 13:18:16"
-16.4327111868052,0.280214850488858,-16.982,-15.884,0,"-16.43 (-16.98, -15.88)",7.3006950587348e-08,1.32341411796495,4.21513130982668e-08,1.26376536679523e-07,"0 (0, 0)",0.999999926993049,0.999999957848687,0.999999873623463,"1 (1, 1)",0.981981952993357,"version 21","Mode variantdeath","Writing to data/temp/DOmicron.csv","Study period: 2021-12-07 to 2022-02-13","VD","2022-02-17 13:18:16"
-16.2409583775459,0.357654616847231,-16.942,-15.54,0,"-16.24 (-16.94, -15.54)",8.84385056783174e-08,1.42997164706393,4.38715408190328e-08,1.78264042669587e-07,"0 (0, 0)",0.999999911561494,0.999999956128459,0.999999821735957,"1 (1, 1)",0.981981952993357,"version 21","Mode variantdeath","Writing to data/temp/DOmicron.csv","Study period: 2021-12-07 to 2022-02-13","VD","2022-02-17 13:18:16"
-15.8881391261991,0.280641432221374,-16.438,-15.338,0,"-15.89 (-16.44, -15.34)",1.25854529318041e-07,1.32397878268149,7.26218497246884e-08,2.18168093539052e-07,"0 (0, 0)",0.999999874145471,0.99999992737815,0.999999781831906,"1 (1, 1)",0.981981952993357,"version 21","Mode variantdeath","Writing to data/temp/DOmicron.csv","Study period: 2021-12-07 to 2022-02-13","VD","2022-02-17 13:18:16"
-15.5539956351603,0.251163987384914,-16.046,-15.062,0,"-15.55 (-16.05, -15.06)",1.75786501985082e-07,1.28552087625386,1.07475814079356e-07,2.87512356069349e-07,"0 (0, 0)",0.999999824213498,0.999999892524186,0.999999712487644,"1 (1, 1)",0.981981952993357,"version 21","Mode variantdeath","Writing to data/temp/DOmicron.csv","Study period: 2021-12-07 to 2022-02-13","VD","2022-02-17 13:18:16"
-1.05276897196071,0.222421620077681,-1.489,-0.617,2.20993028998695e-06,"-1.05 (-1.49, -0.62)",0.348970121580872,1.24909791161641,0.225598140918877,0.539560694079994,"0.35 (0.23, 0.54)",0.651029878419128,0.774401859081123,0.460439305920006,"0.65 (0.46, 0.77)",0.981981952993357,"version 21","Mode variantdeath","Writing to data/temp/DOmicron.csv","Study period: 2021-12-07 to 2022-02-13","VD","2022-02-17 13:18:16"
-0.579293341305346,0.229505041241691,-1.029,-0.129,0.0115995406429901,"-0.58 (-1.03, -0.13)",0.56029416344444,1.25797720897446,0.357364146092713,0.878973965545583,"0.56 (0.36, 0.88)",0.43970583655556,0.642635853907287,0.121026034454417,"0.44 (0.12, 0.64)",0.981981952993357,"version 21","Mode variantdeath","Writing to data/temp/DOmicron.csv","Study period: 2021-12-07 to 2022-02-13","VD","2022-02-17 13:18:16"
-0.363714702122811,0.259237169916291,-0.872,0.144,0.160611141933639,"-0.36 (-0.87, 0.14)",0.69508947400863,1.29594112663139,0.418114483493919,1.15488410852491,"0.7 (0.42, 1.15)",0.30491052599137,0.581885516506081,-0.154884108524914,"0.3 (-0.15, 0.58)",0.981981952993357,"version 21","Mode variantdeath","Writing to data/temp/DOmicron.csv","Study period: 2021-12-07 to 2022-02-13","VD","2022-02-17 13:18:16"
