"beta","se","low","high","p","model.betas","hr","hr.se","hr.low","hr.high","model.hr","eff","eff.high","eff.low","model.effectiveness","model.concordance","model.ctool.version","model.age.filter","model.input.file","model.input.horizon","model.mode","model.calculated.at"
-18.7413542452944,0.351128794332942,-19.43,-18.053,0,"-18.74 (-19.43, -18.05)",7.2566013937779e-09,1.4206702884118,3.64467003850139e-09,1.44438083803957e-08,"0 (0, 0)",0.999999992743399,0.99999999635533,0.999999985556192,"1 (1, 1)",0.982085992179319,"version 21","Mode variantdeath","Writing to data/temp/DOmicronInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VDI","2022-02-17 13:30:31"
-2.44983915136953,1.09410859809422,-4.594,-0.305,0.0251481861377749,"-2.45 (-4.59, -0.3)",0.0863074678209428,2.98651930749821,0.0101123280545543,0.737123374391628,"0.09 (0.01, 0.74)",0.913692532179057,0.989887671945446,0.262876625608372,"0.91 (0.26, 0.99)",0.982085992179319,"version 21","Mode variantdeath","Writing to data/temp/DOmicronInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VDI","2022-02-17 13:30:31"
-16.7994912031,0.340235390013763,-17.466,-16.133,0,"-16.8 (-17.47, -16.13)",5.05910475042449e-08,1.40527834012232,2.59784107404002e-08,9.85206171010729e-08,"0 (0, 0)",0.999999949408953,0.999999974021589,0.999999901479383,"1 (1, 1)",0.982085992179319,"version 21","Mode variantdeath","Writing to data/temp/DOmicronInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VDI","2022-02-17 13:30:31"
-0.937659427316839,0.547826738569815,-2.011,0.136,0.0869706838290427,"-0.94 (-2.01, 0.14)",0.391543199018948,1.72949029610492,0.133854752966148,1.14568189359486,"0.39 (0.13, 1.15)",0.608456800981052,0.866145247033852,-0.145681893594862,"0.61 (-0.15, 0.87)",0.982085992179319,"version 21","Mode variantdeath","Writing to data/temp/DOmicronInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VDI","2022-02-17 13:30:31"
-18.1875418380728,0.362777827414069,-18.899,-17.477,0,"-18.19 (-18.9, -17.48)",1.26255684371629e-08,1.43731649144343,6.19824282740280e-09,2.56942141690413e-08,"0 (0, 0)",0.999999987374432,0.999999993801757,0.999999974305786,"1 (1, 1)",0.982085992179319,"version 21","Mode variantdeath","Writing to data/temp/DOmicronInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VDI","2022-02-17 13:30:31"
-16.3252974270643,0.340599676616749,-16.993,-15.658,0,"-16.33 (-16.99, -15.66)",8.12855618597878e-08,1.40579035744995,4.16901894837197e-08,1.58422551043586e-07,"0 (0, 0)",0.999999918714438,0.99999995830981,0.999999841577449,"1 (1, 1)",0.982085992179319,"version 21","Mode variantdeath","Writing to data/temp/DOmicronInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VDI","2022-02-17 13:30:31"
-16.5379683265698,0.322248182718853,-17.17,-15.906,0,"-16.54 (-17.17, -15.91)",6.57130483225728e-08,1.38022728201293,3.49271979623933e-08,1.23626612946334e-07,"0 (0, 0)",0.999999934286952,0.999999965072802,0.999999876373387,"1 (1, 1)",0.982085992179319,"version 21","Mode variantdeath","Writing to data/temp/DOmicronInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VDI","2022-02-17 13:30:31"
-18.0705599547134,0.339396274195858,-18.736,-17.405,0,"-18.07 (-18.74, -17.41)",1.41923896703498e-08,1.40409964343924,7.29555921945147e-09,2.76124245682803e-08,"0 (0, 0)",0.99999998580761,0.999999992704441,0.999999972387575,"1 (1, 1)",0.982085992179319,"version 21","Mode variantdeath","Writing to data/temp/DOmicronInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VDI","2022-02-17 13:30:31"
-19.047669953692,0.363582543850759,-19.76,-18.335,0,"-19.05 (-19.76, -18.34)",5.34197739573107e-09,1.43847358915415,2.6202397912069e-09,1.0894584565771e-08,"0 (0, 0)",0.999999994658023,0.99999999737976,0.999999989105415,"1 (1, 1)",0.982085992179319,"version 21","Mode variantdeath","Writing to data/temp/DOmicronInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VDI","2022-02-17 13:30:31"
-16.8231619151517,0.348679239454795,-17.507,-16.14,0,"-16.82 (-17.51, -16.14)",4.94075833634805e-08,1.41719453733605,2.49348353783849e-08,9.78333809142314e-08,"0 (0, 0)",0.999999950592417,0.999999975065165,0.999999902166619,"1 (1, 1)",0.982085992179319,"version 21","Mode variantdeath","Writing to data/temp/DOmicronInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VDI","2022-02-17 13:30:31"
