"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 75","Max"
"Subject","16119976","4715158.579","2942975.689","1","2244059","6732594","10819487"
"T1","16119976","9.424","15.127","0","0","16","52"
"T2","16119976","43.692","19.016","1","30","53","68"
"Infected","16119976","0.048","0.214","0","0","0","1"
"Hospitalized","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"Oxygen","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"ICU","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"DeadByCov","16119976","0","0.004","0","0","0","1"
"DeadByOther","16119976","0","0.019","0","0","0","1"
"VariantInf","16119976","0.005","0.072","0","0","0","1"
"VariantHosp","16119976","0","0.017","0","0","0","1"
"VariantOxygen","16119953","0","0.013","0","0","0","1"
"VariantICU","16119976","0","0.007","0","0","0","1"
"VariantDeath","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"InfPrior","16119976","","","","","",""
"... _noinf","12840939","79.7%","","","","",""
"... inf2","770089","4.8%","","","","",""
"... inf3","1835236","11.4%","","","","",""
"... inf4+","673712","4.2%","","","","",""
"InfPriorSeverity","16119976","","","","","",""
"... _no_or_unknown_severity","14282388","88.6%","","","","",""
"... hospitalized","193997","1.2%","","","","",""
"... symptoms","1643591","10.2%","","","","",""
"Age","16119976","44.851","22.272","0","28","63","120"
"Sex","16119976","","","","","",""
"... M","7961114","49.4%","","","","",""
"... Z","8158862","50.6%","","","","",""
"InfPriorTime","3279037","-333.796","65.732","-705","-397","-279","-129"
"LastVaccTime","12065815","-69.437","77.229","-317","-134","3","52"
