"beta","se","low","high","p","model.betas","hr","hr.se","hr.low","hr.high","model.hr","eff","eff.high","eff.low","model.effectiveness","model.concordance","model.ctool.version","model.age.filter","model.input.file","model.input.horizon","model.mode","model.calculated.at"
-3.6006527634388,0.0708179757662944,-3.739,-3.462,0,"-3.6 (-3.74, -3.46)",0.027305892340321,1.07338582585271,0.0237778691154479,0.0313669653119696,"0.03 (0.02, 0.03)",0.972694107659679,0.976222130884552,0.96863303468803,"0.97 (0.97, 0.98)",0.884999113454817,"version 27 erratum","Mode varianthosp","Writing to data/temp/HDeltaInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VHI","2022-09-01 20:50:24"
-3.15239718836079,0.188447622431036,-3.522,-2.783,0,"-3.15 (-3.52, -2.78)",0.042749525274085,1.20737384202375,0.0295402954569804,0.0618526707495454,"0.04 (0.03, 0.06)",0.957250474725915,0.97045970454302,0.938147329250455,"0.96 (0.94, 0.97)",0.884999113454817,"version 27 erratum","Mode varianthosp","Writing to data/temp/HDeltaInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VHI","2022-09-01 20:50:24"
-8.08993482112393,0,-8.09,-8.09,0,"-8.09 (-8.09, -8.09)",0.000306609740960183,1,0.000306589757133144,0.000306589757133144,"0 (0, 0)",0.99969339025904,0.999693410242867,0.999693410242867,"1 (1, 1)",0.884999113454817,"version 27 erratum","Mode varianthosp","Writing to data/temp/HDeltaInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VHI","2022-09-01 20:50:24"
-1.29356582427577,0.106784919888438,-1.503,-1.084,0,"-1.29 (-1.5, -1.08)",0.274290963818881,1.11269491019573,0.222461772750372,0.338239856687832,"0.27 (0.22, 0.34)",0.725709036181119,0.777538227249628,0.661760143312168,"0.73 (0.66, 0.78)",0.884999113454817,"version 27 erratum","Mode varianthosp","Writing to data/temp/HDeltaInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VHI","2022-09-01 20:50:24"
-1.48582687205861,0.0344140957065776,-1.553,-1.418,0,"-1.49 (-1.55, -1.42)",0.226315129630212,1.03501311248693,0.211612184066745,0.242197928681311,"0.23 (0.21, 0.24)",0.773684870369788,0.788387815933255,0.757802071318689,"0.77 (0.76, 0.79)",0.884999113454817,"version 27 erratum","Mode varianthosp","Writing to data/temp/HDeltaInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VHI","2022-09-01 20:50:24"
-3.37116853737721,1.00041729998911,-5.332,-1.41,0.000752330409459434,"-3.37 (-5.33, -1.41)",0.0343494752368797,2.71941640414921,0.00483439155390896,0.244143283153437,"0.03 (0, 0.24)",0.96565052476312,0.995165608446091,0.755856716846563,"0.97 (0.76, 1)",0.884999113454817,"version 27 erratum","Mode varianthosp","Writing to data/temp/HDeltaInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VHI","2022-09-01 20:50:24"
-6.94243681845357,5.08355288897397,-16.906,3.021,0.172043729278909,"-6.94 (-16.91, 3.02)",0.000965912972438469,161.346284229089,4.54796892846156e-08,20.511793224939,"0 (0, 20.51)",0.999034087027562,0.999999954520311,-19.511793224939,"1 (-19.51, 1)",0.884999113454817,"version 27 erratum","Mode varianthosp","Writing to data/temp/HDeltaInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VHI","2022-09-01 20:50:24"
-8.52138508631951,32.0015439715313,-71.243,54.2,0.790023239042276,"-8.52 (-71.24, 54.2)",0.000199163375764874,79084970911539.5,1.14698628731638e-31,3.45748989229073e+23,"0 (0, 3.45748989229073e+23)",0.999800836624235,1,-3.45748989229073e+23,"1 (-3.45748989229073e+23, 1)",0.884999113454817,"version 27 erratum","Mode varianthosp","Writing to data/temp/HDeltaInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VHI","2022-09-01 20:50:24"
-8.74821502633951,62.2213954723798,-130.7,113.203,0.888187385268883,"-8.75 (-130.7, 113.2)",0.000158744426996823,1.05295233007239e+27,1.72866649762426e-57,1.45692848648176e+49,"0 (0, 1.45692848648176e+49)",0.999841255573003,1,-1.45692848648176e+49,"1 (-1.45692848648176e+49, 1)",0.884999113454817,"version 27 erratum","Mode varianthosp","Writing to data/temp/HDeltaInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VHI","2022-09-01 20:50:24"
-7.02452328196091,41.6058884484317,-88.571,74.522,0.865926557820504,"-7.02 (-88.57, 74.52)",0.000889791598220107,1172756281632286464,3.42060907309993e-39,2.31469290472078e+32,"0 (0, 2.31469290472078e+32)",0.99911020840178,1,-2.31469290472078e+32,"1 (-2.31469290472078e+32, 1)",0.884999113454817,"version 27 erratum","Mode varianthosp","Writing to data/temp/HDeltaInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VHI","2022-09-01 20:50:24"
-7.71516880653862,10.5546499298134,-28.402,12.972,0.464795373890402,"-7.72 (-28.4, 12.97)",0.000446010168650814,38355.374094247,4.62560053954227e-13,430197.635706554,"0 (0, 430197.64)",0.999553989831349,0.999999999999537,-430196.635706554,"1 (-430196.64, 1)",0.884999113454817,"version 27 erratum","Mode varianthosp","Writing to data/temp/HDeltaInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VHI","2022-09-01 20:50:24"
-2.83474943499572,0.197078366193529,-3.221,-2.448,0,"-2.83 (-3.22, -2.45)",0.0587332404849603,1.21783947441041,0.0399151231732649,0.0864663463746579,"0.06 (0.04, 0.09)",0.94126675951504,0.960084876826735,0.913533653625342,"0.94 (0.91, 0.96)",0.884999113454817,"version 27 erratum","Mode varianthosp","Writing to data/temp/HDeltaInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VHI","2022-09-01 20:50:24"
-5.23065592636204,0.500402452237248,-6.211,-4.25,0,"-5.23 (-6.21, -4.25)",0.005350014935681,1.64938493580191,0.00200722923088993,0.0142642339089993,"0.01 (0, 0.01)",0.994649985064319,0.99799277076911,0.985735766091001,"0.99 (0.99, 1)",0.884999113454817,"version 27 erratum","Mode varianthosp","Writing to data/temp/HDeltaInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VHI","2022-09-01 20:50:24"
-3.86200680586233,1.00048210572674,-5.823,-1.901,0.000113319387097355,"-3.86 (-5.82, -1.9)",0.0210257625329856,2.7195926436458,0.00295871567022554,0.1494191253628,"0.02 (0, 0.15)",0.978974237467014,0.997041284329774,0.8505808746372,"0.98 (0.85, 1)",0.884999113454817,"version 27 erratum","Mode varianthosp","Writing to data/temp/HDeltaInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VHI","2022-09-01 20:50:24"
-3.40579619371714,0.500406801964256,-4.387,-2.425,1.00310870720932e-11,"-3.41 (-4.39, -2.42)",0.0331803915429898,1.64939211019172,0.0124379872672314,0.0884781190420873,"0.03 (0.01, 0.09)",0.96681960845701,0.987562012732769,0.911521880957913,"0.97 (0.91, 0.99)",0.884999113454817,"version 27 erratum","Mode varianthosp","Writing to data/temp/HDeltaInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VHI","2022-09-01 20:50:24"
-4.27906807299205,0.268014430314528,-4.804,-3.754,0,"-4.28 (-4.8, -3.75)",0.0138555684501001,1.30736600558148,0.00819689381110408,0.0234238627639466,"0.01 (0.01, 0.02)",0.9861444315499,0.991803106188896,0.976576137236053,"0.99 (0.98, 0.99)",0.884999113454817,"version 27 erratum","Mode varianthosp","Writing to data/temp/HDeltaInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VHI","2022-09-01 20:50:24"
-0.751501115099131,0.111512528858531,-0.97,-0.533,1.59301460911365e-11,"-0.75 (-0.97, -0.53)",0.47165800811294,1.11796775077758,0.379083038103399,0.586841800844947,"0.47 (0.38, 0.59)",0.52834199188706,0.620916961896601,0.413158199155053,"0.53 (0.41, 0.62)",0.884999113454817,"version 27 erratum","Mode varianthosp","Writing to data/temp/HDeltaInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VHI","2022-09-01 20:50:24"
-1.99305759085658,0.138477587528385,-2.264,-1.722,0,"-1.99 (-2.26, -1.72)",0.136278105085127,1.14852394002151,0.103933916507664,0.178708373509331,"0.14 (0.1, 0.18)",0.863721894914873,0.896066083492336,0.821291626490669,"0.86 (0.82, 0.9)",0.884999113454817,"version 27 erratum","Mode varianthosp","Writing to data/temp/HDeltaInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VHI","2022-09-01 20:50:24"
-2.07270538236436,0.278478097714423,-2.619,-1.527,9.84767822842514e-14,"-2.07 (-2.62, -1.53)",0.125844862283212,1.32111766958263,0.0728757021038313,0.2171862497036,"0.13 (0.07, 0.22)",0.874155137716788,0.927124297896169,0.7828137502964,"0.87 (0.78, 0.93)",0.884999113454817,"version 27 erratum","Mode varianthosp","Writing to data/temp/HDeltaInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VHI","2022-09-01 20:50:24"
-1.52226649868827,0.362092408572805,-2.232,-0.813,2.62142868306947e-05,"-1.52 (-2.23, -0.81)",0.218216738086423,1.43633166518713,0.107313588189084,0.44352549188521,"0.22 (0.11, 0.44)",0.781783261913577,0.892686411810916,0.55647450811479,"0.78 (0.56, 0.89)",0.884999113454817,"version 27 erratum","Mode varianthosp","Writing to data/temp/HDeltaInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VHI","2022-09-01 20:50:24"
-0.860399291927046,0.161611217029444,-1.177,-0.544,1.01574973432328e-07,"-0.86 (-1.18, -0.54)",0.422993150843179,1.17540317573883,0.30820195895505,0.580421915140742,"0.42 (0.31, 0.58)",0.577006849156821,0.69179804104495,0.419578084859258,"0.58 (0.42, 0.69)",0.884999113454817,"version 27 erratum","Mode varianthosp","Writing to data/temp/HDeltaInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VHI","2022-09-01 20:50:24"
-0.685174145636644,0.144259021901788,-0.968,-0.402,2.0380894606431e-06,"-0.69 (-0.97, -0.4)",0.504002452104124,1.15518328754834,0.379841962851379,0.668980745690347,"0.5 (0.38, 0.67)",0.495997547895876,0.620158037148621,0.331019254309653,"0.5 (0.33, 0.62)",0.884999113454817,"version 27 erratum","Mode varianthosp","Writing to data/temp/HDeltaInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VHI","2022-09-01 20:50:24"
-0.306949399643159,0.122927067195777,-0.548,-0.066,0.0125247483136668,"-0.31 (-0.55, -0.07)",0.735687826031964,1.13080194538304,0.57810486467052,0.936130864291619,"0.74 (0.58, 0.94)",0.264312173968036,0.42189513532948,0.0638691357083812,"0.26 (0.06, 0.42)",0.884999113454817,"version 27 erratum","Mode varianthosp","Writing to data/temp/HDeltaInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VHI","2022-09-01 20:50:24"
-0.146261636593601,0.1174368861759,-0.376,0.084,0.212966800825364,"-0.15 (-0.38, 0.08)",0.863931637481667,1.12461064922513,0.686602333042301,1.08762889380883,"0.86 (0.69, 1.09)",0.136068362518333,0.313397666957699,-0.0876288938088261,"0.14 (-0.09, 0.31)",0.884999113454817,"version 27 erratum","Mode varianthosp","Writing to data/temp/HDeltaInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VHI","2022-09-01 20:50:24"
