"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 75","Max"
"Subject","16688184","4757443.621","2936196.129","1","2280804","6847481","10819877"
"T1","16688184","10.207","15.709","0","0","18","52"
"T2","16688184","43.945","18.79","1","32","53","68"
"Infected","16688184","0.047","0.211","0","0","0","1"
"Hospitalized","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"Oxygen","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"ICU","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"DeadByCov","16688184","0","0.004","0","0","0","1"
"DeadByOther","16688184","0","0.019","0","0","0","1"
"VariantInf","16688184","0.012","0.108","0","0","0","1"
"VariantHosp","16688184","0","0.011","0","0","0","1"
"VariantOxygen","16688139","0","0.007","0","0","0","1"
"VariantICU","16688184","0","0.004","0","0","0","1"
"VariantDeath","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"InfPrior","16688184","","","","","",""
"... _noinf","12882195","77.2%","","","","",""
"... inf1","512624","3.1%","","","","",""
"... inf2","775891","4.6%","","","","",""
"... inf3","1842143","11%","","","","",""
"... inf4+","675331","4%","","","","",""
"InfPriorSeverity","16688184","","","","","",""
"... _no_or_unknown_severity","14620330","87.6%","","","","",""
"... hospitalized","211034","1.3%","","","","",""
"... symptoms","1856820","11.1%","","","","",""
"Age","16688184","44.495","22.293","0","28","63","120"
"Sex","16688184","","","","","",""
"... M","8235070","49.3%","","","","",""
"... Z","8453114","50.7%","","","","",""
"InfPriorTime","3805989","-292.653","120.883","-705","-390","-265","-8"
"LastVaccTime","12291338","-69.944","77.538","-317","-134","3","52"
