"beta","se","low","high","p","model.betas","hr","hr.se","hr.low","hr.high","model.hr","eff","eff.high","eff.low","model.effectiveness","model.concordance","model.ctool.version","model.age.filter","model.input.file","model.input.horizon","model.mode","model.calculated.at"
0.819556621907116,0.708386508529837,-0.569,2.208,0.247299219621258,"0.82 (-0.57, 2.21)",2.26949337078369,2.03071207727753,0.566091246995234,9.0975031795388,"2.27 (0.57, 9.1)",-1.26949337078369,0.433908753004766,-8.0975031795388,"-1.27 (-8.1, 0.43)",0.77854042217569,"version 27 erratum","Mode varianthosp","Writing to data/temp/HOmicronDetail.csv","Study period: 2021-12-07 to 2022-02-13","VH","2022-09-01 19:43:27"
-0.112605810179964,0.105383035738536,-0.319,0.094,0.285277762093892,"-0.11 (-0.32, 0.09)",0.893502800414492,1.11113613370477,0.726875549306338,1.09855974591717,"0.89 (0.73, 1.1)",0.106497199585508,0.273124450693662,-0.0985597459171736,"0.11 (-0.1, 0.27)",0.77854042217569,"version 27 erratum","Mode varianthosp","Writing to data/temp/HOmicronDetail.csv","Study period: 2021-12-07 to 2022-02-13","VH","2022-09-01 19:43:27"
-0.385494089323343,0.261397595712298,-0.898,0.127,0.140281841340146,"-0.39 (-0.9, 0.13)",0.680114515853753,1.29874393781409,0.407383612741764,1.13541701778149,"0.68 (0.41, 1.14)",0.319885484146247,0.592616387258236,-0.135417017781486,"0.32 (-0.14, 0.59)",0.77854042217569,"version 27 erratum","Mode varianthosp","Writing to data/temp/HOmicronDetail.csv","Study period: 2021-12-07 to 2022-02-13","VH","2022-09-01 19:43:27"
-0.356688873879804,0.261232734014102,-0.869,0.155,0.172125321052441,"-0.36 (-0.87, 0.16)",0.699990249109165,1.29852984233154,0.419370710342504,1.16765796110512,"0.7 (0.42, 1.17)",0.300009750890835,0.580629289657496,-0.167657961105125,"0.3 (-0.17, 0.58)",0.77854042217569,"version 27 erratum","Mode varianthosp","Writing to data/temp/HOmicronDetail.csv","Study period: 2021-12-07 to 2022-02-13","VH","2022-09-01 19:43:27"
-0.440812814993709,0.189529824896348,-0.812,-0.069,0.0200279982014689,"-0.44 (-0.81, -0.07)",0.643513151313157,1.20868117224254,0.44396923921378,0.933326680078202,"0.64 (0.44, 0.93)",0.356486848686843,0.55603076078622,0.066673319921798,"0.36 (0.07, 0.56)",0.77854042217569,"version 27 erratum","Mode varianthosp","Writing to data/temp/HOmicronDetail.csv","Study period: 2021-12-07 to 2022-02-13","VH","2022-09-01 19:43:27"
-2.17252217949954,0.17634726538444,-2.518,-1.827,0,"-2.17 (-2.52, -1.83)",0.113890003325171,1.19285222301984,0.0806206869895782,0.160895531061956,"0.11 (0.08, 0.16)",0.886109996674829,0.919379313010422,0.839104468938044,"0.89 (0.84, 0.92)",0.77854042217569,"version 27 erratum","Mode varianthosp","Writing to data/temp/HOmicronDetail.csv","Study period: 2021-12-07 to 2022-02-13","VH","2022-09-01 19:43:27"
-1.66733387321315,0.254137226776242,-2.165,-1.169,5.3533510957493e-11,"-1.67 (-2.16, -1.17)",0.188749625829893,1.2893487252974,0.114749934597279,0.310677463441962,"0.19 (0.11, 0.31)",0.811250374170107,0.885250065402721,0.689322536558038,"0.81 (0.69, 0.89)",0.77854042217569,"version 27 erratum","Mode varianthosp","Writing to data/temp/HOmicronDetail.csv","Study period: 2021-12-07 to 2022-02-13","VH","2022-09-01 19:43:27"
-0.773285506712529,0.448795694535506,-1.653,0.106,0.0848842841710415,"-0.77 (-1.65, 0.11)",0.461494332042579,1.56642459540082,0.191474622255904,1.11182187650653,"0.46 (0.19, 1.11)",0.538505667957421,0.808525377744096,-0.111821876506531,"0.54 (-0.11, 0.81)",0.77854042217569,"version 27 erratum","Mode varianthosp","Writing to data/temp/HOmicronDetail.csv","Study period: 2021-12-07 to 2022-02-13","VH","2022-09-01 19:43:27"
-0.583920482624125,0.578621139726775,-1.718,0.55,0.31289859173481,"-0.58 (-1.72, 0.55)",0.557707592000863,1.78357743038919,0.179424638578486,1.7332530178674,"0.56 (0.18, 1.73)",0.442292407999137,0.820575361421514,-0.733253017867395,"0.44 (-0.73, 0.82)",0.77854042217569,"version 27 erratum","Mode varianthosp","Writing to data/temp/HOmicronDetail.csv","Study period: 2021-12-07 to 2022-02-13","VH","2022-09-01 19:43:27"
-0.404554536957262,0.145152204468998,-0.689,-0.12,0.00531811288602546,"-0.4 (-0.69, -0.12)",0.667273990564449,1.15621553804816,0.502077896006773,0.886920436717157,"0.67 (0.5, 0.89)",0.332726009435551,0.497922103993227,0.113079563282843,"0.33 (0.11, 0.5)",0.77854042217569,"version 27 erratum","Mode varianthosp","Writing to data/temp/HOmicronDetail.csv","Study period: 2021-12-07 to 2022-02-13","VH","2022-09-01 19:43:27"
-0.814396372759482,0.708130352144597,-2.202,0.574,0.250116845055613,"-0.81 (-2.2, 0.57)",0.442906597174626,2.03019196403036,0.110581773504262,1.77535428465627,"0.44 (0.11, 1.78)",0.557093402825374,0.889418226495738,-0.775354284656273,"0.56 (-0.78, 0.89)",0.77854042217569,"version 27 erratum","Mode varianthosp","Writing to data/temp/HOmicronDetail.csv","Study period: 2021-12-07 to 2022-02-13","VH","2022-09-01 19:43:27"
0.953759331590578,1.00074802820979,-1.008,2.915,0.340566548583576,"0.95 (-1.01, 2.92)",2.59544849360631,2.72031594064068,0.364948146454494,18.4488124027469,"2.6 (0.36, 18.45)",-1.59544849360631,0.635051853545506,-17.4488124027469,"-1.6 (-17.45, 0.64)",0.77854042217569,"version 27 erratum","Mode varianthosp","Writing to data/temp/HOmicronDetail.csv","Study period: 2021-12-07 to 2022-02-13","VH","2022-09-01 19:43:27"
-1.95452998021517,0.0770078544869982,-2.105,-1.804,0,"-1.95 (-2.1, -1.8)",0.141631030438573,1.08005055960236,0.12184567426908,0.16463901329838,"0.14 (0.12, 0.16)",0.858368969561427,0.87815432573092,0.83536098670162,"0.86 (0.84, 0.88)",0.77854042217569,"version 27 erratum","Mode varianthosp","Writing to data/temp/HOmicronDetail.csv","Study period: 2021-12-07 to 2022-02-13","VH","2022-09-01 19:43:27"
-1.52220252263524,0.0901157978152468,-1.699,-1.346,0,"-1.52 (-1.7, -1.35)",0.218230699178612,1.09430099403301,0.182866298949004,0.260279298378557,"0.22 (0.18, 0.26)",0.781769300821388,0.817133701050996,0.739720701621443,"0.78 (0.74, 0.82)",0.77854042217569,"version 27 erratum","Mode varianthosp","Writing to data/temp/HOmicronDetail.csv","Study period: 2021-12-07 to 2022-02-13","VH","2022-09-01 19:43:27"
-0.679500954755722,0.142663747491878,-0.959,-0.4,1.90778759701082e-06,"-0.68 (-0.96, -0.4)",0.506869880262303,1.15334192234286,0.383275970371362,0.670320046035639,"0.51 (0.38, 0.67)",0.493130119737697,0.616724029628638,0.329679953964361,"0.49 (0.33, 0.62)",0.77854042217569,"version 27 erratum","Mode varianthosp","Writing to data/temp/HOmicronDetail.csv","Study period: 2021-12-07 to 2022-02-13","VH","2022-09-01 19:43:27"
-0.0124019274874196,0.155297042653629,-0.317,0.292,0.936349086703667,"-0.01 (-0.32, 0.29)",0.987674659479669,1.16800485684329,0.728330755125702,1.33910301763929,"0.99 (0.73, 1.34)",0.0123253405203311,0.271669244874298,-0.339103017639294,"0.01 (-0.34, 0.27)",0.77854042217569,"version 27 erratum","Mode varianthosp","Writing to data/temp/HOmicronDetail.csv","Study period: 2021-12-07 to 2022-02-13","VH","2022-09-01 19:43:27"
-0.427029695076178,0.064443528285354,-0.553,-0.301,3.43932660129553e-11,"-0.43 (-0.55, -0.3)",0.652444177560681,1.06656534577009,0.575221554629164,0.740077772746708,"0.65 (0.58, 0.74)",0.347555822439319,0.424778445370836,0.259922227253292,"0.35 (0.26, 0.42)",0.77854042217569,"version 27 erratum","Mode varianthosp","Writing to data/temp/HOmicronDetail.csv","Study period: 2021-12-07 to 2022-02-13","VH","2022-09-01 19:43:27"
-0.536648875923696,0.279609901140658,-1.085,0.011,0.0549492764855747,"-0.54 (-1.08, 0.01)",0.584704389872054,1.32261376156883,0.337901785894713,1.01106072244472,"0.58 (0.34, 1.01)",0.415295610127946,0.662098214105287,-0.0110607224447195,"0.42 (-0.01, 0.66)",0.77854042217569,"version 27 erratum","Mode varianthosp","Writing to data/temp/HOmicronDetail.csv","Study period: 2021-12-07 to 2022-02-13","VH","2022-09-01 19:43:27"
-0.0543167540379808,0.708222787361555,-1.442,1.334,0.938866623296691,"-0.05 (-1.44, 1.33)",0.947132051080743,2.03037963393854,0.236454376704529,3.79619784983765,"0.95 (0.24, 3.8)",0.0528679489192569,0.763545623295471,-2.79619784983765,"0.05 (-2.8, 0.76)",0.77854042217569,"version 27 erratum","Mode varianthosp","Writing to data/temp/HOmicronDetail.csv","Study period: 2021-12-07 to 2022-02-13","VH","2022-09-01 19:43:27"
-1.57970771926618,0.231196452072448,-2.033,-1.127,8.33011437606501e-12,"-1.58 (-2.03, -1.13)",0.206035309556616,1.26010676572054,0.130942105004326,0.324003811295914,"0.21 (0.13, 0.32)",0.793964690443384,0.869057894995674,0.675996188704086,"0.79 (0.68, 0.87)",0.77854042217569,"version 27 erratum","Mode varianthosp","Writing to data/temp/HOmicronDetail.csv","Study period: 2021-12-07 to 2022-02-13","VH","2022-09-01 19:43:27"
-1.31795920294405,0.303271722529384,-1.912,-0.724,1.38766984421057e-05,"-1.32 (-1.91, -0.72)",0.267681027571843,1.35428240349154,0.147784521785703,0.484809135767343,"0.27 (0.15, 0.48)",0.732318972428157,0.852215478214297,0.515190864232657,"0.73 (0.52, 0.85)",0.77854042217569,"version 27 erratum","Mode varianthosp","Writing to data/temp/HOmicronDetail.csv","Study period: 2021-12-07 to 2022-02-13","VH","2022-09-01 19:43:27"
-1.16877907247769,0.129561533644635,-1.423,-0.915,0,"-1.17 (-1.42, -0.92)",0.310746108226678,1.13832915484944,0.240989961472524,0.400516626090819,"0.31 (0.24, 0.4)",0.689253891773322,0.759010038527476,0.599483373909181,"0.69 (0.6, 0.76)",0.77854042217569,"version 27 erratum","Mode varianthosp","Writing to data/temp/HOmicronDetail.csv","Study period: 2021-12-07 to 2022-02-13","VH","2022-09-01 19:43:27"
