"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 75","Max"
"Subject","16634856","4761469.239","2937810.585","1","2283059","6854285.25","10819877"
"T1","16634856","10.169","15.678","0","0","18","52"
"T2","16634856","43.949","18.801","1","32","53","68"
"Infected","16634856","0.047","0.212","0","0","0","1"
"Hospitalized","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"Oxygen","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"ICU","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"DeadByCov","16634856","0","0.004","0","0","0","1"
"DeadByOther","16634856","0","0.019","0","0","0","1"
"VariantInf","16634856","0.012","0.108","0","0","0","1"
"VariantHosp","16634856","0","0.011","0","0","0","1"
"VariantOxygen","16634812","0","0.007","0","0","0","1"
"VariantICU","16634856","0","0.004","0","0","0","1"
"VariantDeath","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"InfPrior","16634856","","","","","",""
"... _noinf","12859353","77.3%","","","","",""
"... inf1","492781","3%","","","","",""
"... inf2","769586","4.6%","","","","",""
"... inf3","1838318","11.1%","","","","",""
"... inf4+","674818","4.1%","","","","",""
"InfPriorSeverity","16634856","","","","","",""
"... _no_or_unknown_severity","14581960","87.7%","","","","",""
"... hospitalized","208106","1.3%","","","","",""
"... symptoms","1844790","11.1%","","","","",""
"Age","16634856","44.485","22.299","0","28","63","120"
"Sex","16634856","","","","","",""
"... M","8209355","49.4%","","","","",""
"... Z","8425501","50.6%","","","","",""
"InfPriorTime","3775503","-294.038","119.915","-705","-390","-266","-8"
"LastVaccTime","12238010","-70.062","77.533","-317","-134","3","52"
