"beta","se","low","high","p","model.betas","hr","hr.se","hr.low","hr.high","model.hr","eff","eff.high","eff.low","model.effectiveness","model.concordance","model.ctool.version","model.age.filter","model.input.file","model.input.horizon","model.mode","model.calculated.at"
-2.34087078504484,0.0232751747540852,-2.386,-2.295,0,"-2.34 (-2.39, -2.3)",0.0962437940741343,1.02354815541061,0.0919969366288473,0.100761393268304,"0.1 (0.09, 0.1)",0.903756205925866,0.908003063371153,0.899238606731696,"0.9 (0.9, 0.91)",0.716044002926272,"version 21","Mode variantinf","Writing to data/temp/IDelta.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-02-17 11:56:44"
-1.64869713566596,0.0606996547005098,-1.768,-1.53,0,"-1.65 (-1.77, -1.53)",0.192300286665947,1.06257972543031,0.170673995696262,0.216535667316007,"0.19 (0.17, 0.22)",0.807699713334053,0.829326004303738,0.783464332683993,"0.81 (0.78, 0.83)",0.716044002926272,"version 21","Mode variantinf","Writing to data/temp/IDelta.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-02-17 11:56:44"
-1.33887880458666,0.0240383570155067,-1.386,-1.292,0,"-1.34 (-1.39, -1.29)",0.262139413384832,1.02432960736374,0.250073601112094,0.274720791698295,"0.26 (0.25, 0.27)",0.737860586615168,0.749926398887906,0.725279208301705,"0.74 (0.73, 0.75)",0.716044002926272,"version 21","Mode variantinf","Writing to data/temp/IDelta.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-02-17 11:56:44"
-1.16260571209469,0.0161882784512876,-1.194,-1.131,0,"-1.16 (-1.19, -1.13)",0.312670389469921,1.01632001855268,0.303006809538765,0.322710384628633,"0.31 (0.3, 0.32)",0.687329610530079,0.696993190461235,0.677289615371367,"0.69 (0.68, 0.7)",0.716044002926272,"version 21","Mode variantinf","Writing to data/temp/IDelta.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-02-17 11:56:44"
-0.793773848216353,0.00842035046024301,-0.81,-0.777,0,"-0.79 (-0.81, -0.78)",0.452135281662538,1.0084559013247,0.444858066222941,0.459783294230565,"0.45 (0.44, 0.46)",0.547864718337462,0.555141933777059,0.540216705769435,"0.55 (0.54, 0.56)",0.716044002926272,"version 21","Mode variantinf","Writing to data/temp/IDelta.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-02-17 11:56:44"
-1.0848660829601,0.0306678264382649,-1.145,-1.025,0,"-1.08 (-1.15, -1.02)",0.33794703973172,1.0311429285732,0.318223917790419,0.358796465405952,"0.34 (0.32, 0.36)",0.66205296026828,0.681776082209581,0.641203534594048,"0.66 (0.64, 0.68)",0.716044002926272,"version 21","Mode variantinf","Writing to data/temp/IDelta.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-02-17 11:56:44"
-2.94448154424505,0.112547805742094,-3.165,-2.724,0,"-2.94 (-3.16, -2.72)",0.0526293387277509,1.11912575627126,0.0422141418141065,0.0656117817047708,"0.05 (0.04, 0.07)",0.947370661272249,0.957785858185894,0.934388218295229,"0.95 (0.93, 0.96)",0.716044002926272,"version 21","Mode variantinf","Writing to data/temp/IDelta.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-02-17 11:56:44"
-2.47428290627146,0.048086104125359,-2.569,-2.38,0,"-2.47 (-2.57, -2.38)",0.0842233646542629,1.04926099713544,0.0766121192498672,0.0925505775103433,"0.08 (0.08, 0.09)",0.915776635345737,0.923387880750133,0.907449422489657,"0.92 (0.91, 0.92)",0.716044002926272,"version 21","Mode variantinf","Writing to data/temp/IDelta.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-02-17 11:56:44"
-1.90903432240137,0.0273030911462764,-1.963,-1.856,0,"-1.91 (-1.96, -1.86)",0.148223453574765,1.02767923604243,0.140436478887788,0.156296567932682,"0.15 (0.14, 0.16)",0.851776546425235,0.859563521112212,0.843703432067318,"0.85 (0.84, 0.86)",0.716044002926272,"version 21","Mode variantinf","Writing to data/temp/IDelta.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-02-17 11:56:44"
-1.48763114292631,0.042265552088622,-1.57,-1.405,0,"-1.49 (-1.57, -1.41)",0.225907163985838,1.04317145833243,0.20804518235702,0.245367056452926,"0.23 (0.21, 0.25)",0.774092836014162,0.79195481764298,0.754632943547074,"0.77 (0.75, 0.79)",0.716044002926272,"version 21","Mode variantinf","Writing to data/temp/IDelta.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-02-17 11:56:44"
-0.558520102035817,0.0136459961840857,-0.585,-0.532,0,"-0.56 (-0.58, -0.53)",0.572055020790111,1.01373952774957,0.557105861812174,0.587428936164523,"0.57 (0.56, 0.59)",0.427944979209889,0.442894138187826,0.412571063835477,"0.43 (0.41, 0.44)",0.716044002926272,"version 21","Mode variantinf","Writing to data/temp/IDelta.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-02-17 11:56:44"
0.0774175806586733,0.0171256581550339,0.044,0.111,6.16759984095605e-06,"0.08 (0.04, 0.11)",1.08049317525278,1.01727314296053,1.04498235488844,1.11739490685446,"1.08 (1.04, 1.12)",-0.0804931752527798,-0.0449823548884438,-0.117394906854458,"-0.08 (-0.12, -0.04)",0.716044002926272,"version 21","Mode variantinf","Writing to data/temp/IDelta.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-02-17 11:56:44"
0.0897893959350803,0.0246895285236408,0.041,0.138,0.000276110381043804,"0.09 (0.04, 0.14)",1.09394387041717,1.02499683883648,1.04185210554548,1.14797555027418,"1.09 (1.04, 1.15)",-0.0939438704171707,-0.0418521055454795,-0.147975550274179,"-0.09 (-0.15, -0.04)",0.716044002926272,"version 21","Mode variantinf","Writing to data/temp/IDelta.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-02-17 11:56:44"
-0.144330425398681,0.0172134609713306,-0.178,-0.111,0,"-0.14 (-0.18, -0.11)",0.865601684018855,1.01736246632879,0.836942423488768,0.894938748929031,"0.87 (0.84, 0.89)",0.134398315981145,0.163057576511232,0.105061251070969,"0.13 (0.11, 0.16)",0.716044002926272,"version 21","Mode variantinf","Writing to data/temp/IDelta.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-02-17 11:56:44"
-0.265318310329469,0.0173011641091847,-0.299,-0.231,0,"-0.27 (-0.3, -0.23)",0.76696177926024,1.01745169612223,0.741559409435011,0.793739466035243,"0.77 (0.74, 0.79)",0.23303822073976,0.258440590564989,0.206260533964757,"0.23 (0.21, 0.26)",0.716044002926272,"version 21","Mode variantinf","Writing to data/temp/IDelta.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-02-17 11:56:44"
-0.0920602034488554,0.0157708949665513,-0.123,-0.061,5.30382171515242e-09,"-0.09 (-0.12, -0.06)",0.912050239322278,1.01589591187545,0.884263662560821,0.94082323977601,"0.91 (0.88, 0.94)",0.087949760677722,0.115736337439179,0.0591767602239903,"0.09 (0.06, 0.12)",0.716044002926272,"version 21","Mode variantinf","Writing to data/temp/IDelta.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-02-17 11:56:44"
0.0402343511000395,0.0151737105913427,0.01,0.07,0.00801154498226375,"0.04 (0.01, 0.07)",1.04105471792538,1.01528941582305,1.01005016708417,1.07250818125422,"1.04 (1.01, 1.07)",-0.0410547179253777,-0.0100501670841679,-0.0725081812542165,"-0.04 (-0.07, -0.01)",0.716044002926272,"version 21","Mode variantinf","Writing to data/temp/IDelta.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-02-17 11:56:44"
0.0875083452822625,0.0152153531462547,0.058,0.117,8.85500006653217e-09,"0.09 (0.06, 0.12)",1.09145137287473,1.01533169594862,1.05971499571029,1.12411942969054,"1.09 (1.06, 1.12)",-0.0914513728747279,-0.0597149957102876,-0.124119429690537,"-0.09 (-0.12, -0.06)",0.716044002926272,"version 21","Mode variantinf","Writing to data/temp/IDelta.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-02-17 11:56:44"
-0.0691046575236114,0.0169784623382621,-0.102,-0.036,4.69856207315766e-05,"-0.07 (-0.1, -0.04)",0.933229005530422,1.01712341562926,0.903029551668877,0.964640293483123,"0.93 (0.9, 0.96)",0.0667709944695781,0.0969704483311232,0.0353597065168769,"0.07 (0.04, 0.1)",0.716044002926272,"version 21","Mode variantinf","Writing to data/temp/IDelta.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-02-17 11:56:44"
-0.153093141775598,0.0176675550884358,-0.188,-0.118,0,"-0.15 (-0.19, -0.12)",0.8580497978076,1.01782454954641,0.828614707232681,0.888696052614617,"0.86 (0.83, 0.89)",0.1419502021924,0.171385292767319,0.111303947385383,"0.14 (0.11, 0.17)",0.716044002926272,"version 21","Mode variantinf","Writing to data/temp/IDelta.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-02-17 11:56:44"
-0.47868502020785,0.0201909935660666,-0.518,-0.439,0,"-0.48 (-0.52, -0.44)",0.619597614688074,1.02039621052771,0.595710778900321,0.644680779629801,"0.62 (0.6, 0.64)",0.380402385311926,0.404289221099679,0.355319220370199,"0.38 (0.36, 0.4)",0.716044002926272,"version 21","Mode variantinf","Writing to data/temp/IDelta.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-02-17 11:56:44"
-0.5568536988853,0.0209613957345304,-0.598,-0.516,0,"-0.56 (-0.6, -0.52)",0.573009089790039,1.02118262887129,0.549910357721602,0.596903392674358,"0.57 (0.55, 0.6)",0.426990910209961,0.450089642278398,0.403096607325642,"0.43 (0.4, 0.45)",0.716044002926272,"version 21","Mode variantinf","Writing to data/temp/IDelta.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-02-17 11:56:44"
-0.566905624793871,0.0231306354935552,-0.612,-0.522,0,"-0.57 (-0.61, -0.52)",0.567278096888008,1.02340022320838,0.542265253313983,0.593332695123052,"0.57 (0.54, 0.59)",0.432721903111992,0.457734746686017,0.406667304876948,"0.43 (0.41, 0.46)",0.716044002926272,"version 21","Mode variantinf","Writing to data/temp/IDelta.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-02-17 11:56:44"
-0.395510743282087,0.027499215501405,-0.449,-0.342,0,"-0.4 (-0.45, -0.34)",0.673336049547237,1.02788080873589,0.638266098693769,0.710348204709177,"0.67 (0.64, 0.71)",0.326663950452763,0.361733901306231,0.289651795290823,"0.33 (0.29, 0.36)",0.716044002926272,"version 21","Mode variantinf","Writing to data/temp/IDelta.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-02-17 11:56:44"
-0.412141021569421,0.0256222802744837,-0.462,-0.362,0,"-0.41 (-0.46, -0.36)",0.662230880628787,1.02595335245804,0.630022339941912,0.696282367841771,"0.66 (0.63, 0.7)",0.337769119371213,0.369977660058088,0.303717632158229,"0.34 (0.3, 0.37)",0.716044002926272,"version 21","Mode variantinf","Writing to data/temp/IDelta.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-02-17 11:56:44"
0.116677031081665,0.00674143697952002,0.103,0.13,0,"0.12 (0.1, 0.13)",1.12375643267578,1.00676421161495,1.10849140907601,1.13882838332462,"1.12 (1.11, 1.14)",-0.123756432675783,-0.108491409076007,-0.138828383324622,"-0.12 (-0.14, -0.11)",0.716044002926272,"version 21","Mode variantinf","Writing to data/temp/IDelta.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-02-17 11:56:44"
