"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 75","Max"
"Subject","18087116","4684486.143","2899373.893","1","2245045.75","6734648.25","10819877"
"T1","18087116","14.069","20.17","0","0","27","67"
"T2","18087116","51.108","22.159","1","35","68","68"
"Infected","18087116","0.07","0.255","0","0","0","1"
"Hospitalized","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"Oxygen","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"ICU","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"DeadByCov","18087116","0","0.003","0","0","0","1"
"DeadByOther","18087116","0","0.019","0","0","0","1"
"VariantInf","18087116","0.005","0.07","0","0","0","1"
"VariantHosp","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"VariantOxygen","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"VariantICU","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"VariantDeath","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"InfPrior","18087116","","","","","",""
"... _noinf","13837015","76.5%","","","","",""
"... inf1","649097","3.6%","","","","",""
"... inf2","790926","4.4%","","","","",""
"... inf3","2007212","11.1%","","","","",""
"... inf4+","802866","4.4%","","","","",""
"InfPriorSeverity","18087116","","","","","",""
"... _no_or_unknown_severity","15778118","87.2%","","","","",""
"... hospitalized","238566","1.3%","","","","",""
"... symptoms","2070432","11.4%","","","","",""
"Age","18087116","44.92","22.31","0","28","63","120"
"Sex","18087116","","","","","",""
"... M","8904377","49.2%","","","","",""
"... Z","9182739","50.8%","","","","",""
"InfPriorTime","4250101","-285.578","126.802","-705","-384","-259","0"
"LastVaccTime","13574197","-62.566","78.634","-317","-131","6","67"
