"beta","se","low","high","p","model.betas","hr","hr.se","hr.low","hr.high","model.hr","eff","eff.high","eff.low","model.effectiveness","model.concordance","model.ctool.version","model.age.filter","model.input.file","model.input.horizon","model.mode","model.calculated.at"
-1.03753666159739,0.105088315221293,-1.244,-0.832,0,"-1.04 (-1.24, -0.83)",0.35432643371941,1.11080870734072,0.288228993057357,0.435178059266357,"0.35 (0.29, 0.44)",0.64567356628059,0.711771006942643,0.564821940733643,"0.65 (0.56, 0.71)",0.717623304947659,"version 27 erratum","Mode variantinf","Writing to data/temp/IDeltaDetail.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-09-01 21:39:50"
-0.595104961278124,0.0254045996017902,-0.645,-0.545,0,"-0.6 (-0.64, -0.54)",0.551504676194091,1.02573004654769,0.524662542106593,0.579841783339846,"0.55 (0.52, 0.58)",0.448495323805909,0.475337457893407,0.420158216660154,"0.45 (0.42, 0.48)",0.717623304947659,"version 27 erratum","Mode variantinf","Writing to data/temp/IDeltaDetail.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-09-01 21:39:50"
-0.908639840807608,0.0333249479624821,-0.974,-0.843,0,"-0.91 (-0.97, -0.84)",0.403072093567542,1.03388644395597,0.377569734575778,0.430417332614907,"0.4 (0.38, 0.43)",0.596927906432458,0.622430265424222,0.569582667385093,"0.6 (0.57, 0.62)",0.717623304947659,"version 27 erratum","Mode variantinf","Writing to data/temp/IDeltaDetail.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-09-01 21:39:50"
-0.851169715528259,0.0441865011568081,-0.938,-0.765,0,"-0.85 (-0.94, -0.76)",0.426915270353751,1.04517726348125,0.391409872806007,0.465333930974313,"0.43 (0.39, 0.47)",0.573084729646249,0.608590127193994,0.534666069025687,"0.57 (0.53, 0.61)",0.717623304947659,"version 27 erratum","Mode variantinf","Writing to data/temp/IDeltaDetail.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-09-01 21:39:50"
-0.761100189678389,0.0361014510727753,-0.832,-0.69,0,"-0.76 (-0.83, -0.69)",0.467152188165988,1.03676102167363,0.435178059266357,0.501576069066056,"0.47 (0.44, 0.5)",0.532847811834012,0.564821940733643,0.498423930933944,"0.53 (0.5, 0.56)",0.717623304947659,"version 27 erratum","Mode variantinf","Writing to data/temp/IDeltaDetail.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-09-01 21:39:50"
-2.5494910224432,0.0641761254835305,-2.675,-2.424,0,"-2.55 (-2.67, -2.42)",0.0781214179323071,1.06628018133689,0.0689068283946626,0.088566641414939,"0.08 (0.07, 0.09)",0.921878582067693,0.931093171605337,0.911433358585061,"0.92 (0.91, 0.93)",0.717623304947659,"version 27 erratum","Mode variantinf","Writing to data/temp/IDeltaDetail.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-09-01 21:39:50"
-2.40732599633272,0.333566928163144,-3.061,-1.754,5.3179682879545e-13,"-2.41 (-3.06, -1.75)",0.0900557823886663,1.39593847101285,0.0468408309608035,0.173080236016454,"0.09 (0.05, 0.17)",0.909944217611334,0.953159169039197,0.826919763983546,"0.91 (0.83, 0.95)",0.717623304947659,"version 27 erratum","Mode variantinf","Writing to data/temp/IDeltaDetail.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-09-01 21:39:50"
-1.21881309420633,0.0977220781853228,-1.41,-1.027,0,"-1.22 (-1.41, -1.03)",0.295580785353963,1.10265629028252,0.244143283153437,0.358079589589914,"0.3 (0.24, 0.36)",0.704419214646037,0.755856716846563,0.641920410410086,"0.7 (0.64, 0.76)",0.717623304947659,"version 27 erratum","Mode variantinf","Writing to data/temp/IDeltaDetail.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-09-01 21:39:50"
-1.39310710496068,0.0875238926870352,-1.565,-1.222,0,"-1.39 (-1.56, -1.22)",0.248302602571911,1.09146834224293,0.209088013173283,0.294640296657057,"0.25 (0.21, 0.29)",0.751697397428089,0.790911986826717,0.705359703342944,"0.75 (0.71, 0.79)",0.717623304947659,"version 27 erratum","Mode variantinf","Writing to data/temp/IDeltaDetail.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-09-01 21:39:50"
-1.11703433108467,0.0284650316873974,-1.173,-1.061,0,"-1.12 (-1.17, -1.06)",0.32724886873387,1.02887403221668,0.30943723569732,0.346109527689904,"0.33 (0.31, 0.35)",0.67275113126613,0.69056276430268,0.653890472310096,"0.67 (0.65, 0.69)",0.717623304947659,"version 27 erratum","Mode variantinf","Writing to data/temp/IDeltaDetail.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-09-01 21:39:50"
