"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 75","Max"
"Subject","18029124","4688203.353","2901018.438","1","2246971.75","6740596.25","10819877"
"T1","18029124","14.024","20.139","0","0","27","67"
"T2","18029124","51.108","22.166","1","35","68","68"
"Infected","18029124","0.07","0.255","0","0","0","1"
"Hospitalized","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"Oxygen","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"ICU","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"DeadByCov","18029124","0","0.003","0","0","0","1"
"DeadByOther","18029124","0","0.019","0","0","0","1"
"VariantInf","18029124","0.005","0.07","0","0","0","1"
"VariantHosp","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"VariantOxygen","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"VariantICU","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"VariantDeath","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"InfPrior","18029124","","","","","",""
"... _noinf","13807847","76.6%","","","","",""
"... inf1","632542","3.5%","","","","",""
"... inf2","784212","4.3%","","","","",""
"... inf3","2002325","11.1%","","","","",""
"... inf4+","802198","4.4%","","","","",""
"InfPriorSeverity","18029124","","","","","",""
"... _no_or_unknown_severity","15734520","87.3%","","","","",""
"... hospitalized","235435","1.3%","","","","",""
"... symptoms","2059169","11.4%","","","","",""
"Age","18029124","44.913","22.313","0","28","63","120"
"Sex","18029124","","","","","",""
"... M","8877053","49.2%","","","","",""
"... Z","9152071","50.8%","","","","",""
"InfPriorTime","4221277","-286.619","126.176","-705","-385","-260","0"
"LastVaccTime","13516205","-62.636","78.67","-317","-131","6","67"
