"beta","se","low","high","p","model.betas","hr","hr.se","hr.low","hr.high","model.hr","eff","eff.high","eff.low","model.effectiveness","model.concordance","model.ctool.version","model.age.filter","model.input.file","model.input.horizon","model.mode","model.calculated.at"
-2.3569930149364,0.0227758071972729,-2.402,-2.312,0,"-2.36 (-2.4, -2.31)",0.094704570697245,1.02303715626778,0.0905366986978434,0.0990629274467473,"0.09 (0.09, 0.1)",0.905295429302755,0.909463301302157,0.900937072553253,"0.91 (0.9, 0.91)",0.715076187188361,"version 24 + w added + lastminute","Last minute excluding boost2+_inf6-","Mode variantinf","Last minute excluding inf6-_boost2+","VII","2022-08-31 22:09:23"
-1.69025608645995,0.0614761913544325,-1.811,-1.57,0,"-1.69 (-1.81, -1.57)",0.184472277091202,1.06340517799042,0.163490564465701,0.20804518235702,"0.18 (0.16, 0.21)",0.815527722908798,0.836509435534299,0.79195481764298,"0.82 (0.79, 0.84)",0.715076187188361,"version 24 + w added + lastminute","Last minute excluding boost2+_inf6-","Mode variantinf","Last minute excluding inf6-_boost2+","VII","2022-08-31 22:09:23"
-1.31827901497378,0.0243316478013181,-1.366,-1.271,0,"-1.32 (-1.37, -1.27)",0.267595433646806,1.02463007785967,0.255125422959875,0.280550930525619,"0.27 (0.26, 0.28)",0.732404566353194,0.744874577040125,0.719449069474381,"0.73 (0.72, 0.74)",0.715076187188361,"version 24 + w added + lastminute","Last minute excluding boost2+_inf6-","Mode variantinf","Last minute excluding inf6-_boost2+","VII","2022-08-31 22:09:23"
-0.84135209769046,0.00796477761825878,-0.857,-0.826,0,"-0.84 (-0.86, -0.83)",0.431127203069327,1.00799658083863,0.424433474699731,0.43779697651696,"0.43 (0.42, 0.44)",0.568872796930673,0.575566525300269,0.56220302348304,"0.57 (0.56, 0.58)",0.715076187188361,"version 24 + w added + lastminute","Last minute excluding boost2+_inf6-","Mode variantinf","Last minute excluding inf6-_boost2+","VII","2022-08-31 22:09:23"
-3.13229446606519,0.408342137985038,-3.933,-2.332,1.70974345792274e-14,"-3.13 (-3.93, -2.33)",0.0436176032403468,1.50432175874879,0.0195848298436023,0.0971013500571851,"0.04 (0.02, 0.1)",0.956382396759653,0.980415170156398,0.902898649942815,"0.96 (0.9, 0.98)",0.715076187188361,"version 24 + w added + lastminute","Last minute excluding boost2+_inf6-","Mode variantinf","Last minute excluding inf6-_boost2+","VII","2022-08-31 22:09:23"
-3.03668465158512,0.127130012196875,-3.286,-2.788,0,"-3.04 (-3.29, -2.79)",0.0479937419994572,1.13556464543883,0.0374031632223679,0.0615441792671939,"0.05 (0.04, 0.06)",0.952006258000543,0.962596836777632,0.938455820732806,"0.95 (0.94, 0.96)",0.715076187188361,"version 24 + w added + lastminute","Last minute excluding boost2+_inf6-","Mode variantinf","Last minute excluding inf6-_boost2+","VII","2022-08-31 22:09:23"
-3.03018486160952,1.00003683778515,-4.99,-1.07,0.00244494441324161,"-3.03 (-4.99, -1.07)",0.0483067072449527,2.71838196578542,0.00680566449223054,0.343008517418707,"0.05 (0.01, 0.34)",0.951693292755047,0.993194335507769,0.656991482581293,"0.95 (0.66, 0.99)",0.715076187188361,"version 24 + w added + lastminute","Last minute excluding boost2+_inf6-","Mode variantinf","Last minute excluding inf6-_boost2+","VII","2022-08-31 22:09:23"
-3.40617558092273,0.316287746342259,-4.026,-2.786,0,"-3.41 (-4.03, -2.79)",0.0331678057145639,1.37202499400457,0.0178455696578963,0.0616673907961867,"0.03 (0.02, 0.06)",0.966832194285436,0.982154430342104,0.938332609203813,"0.97 (0.94, 0.98)",0.715076187188361,"version 24 + w added + lastminute","Last minute excluding boost2+_inf6-","Mode variantinf","Last minute excluding inf6-_boost2+","VII","2022-08-31 22:09:23"
-1.78110778736848,0.0251899533759535,-1.83,-1.732,0,"-1.78 (-1.83, -1.73)",0.168451435496774,1.02550990109202,0.160413567775173,0.176930195482497,"0.17 (0.16, 0.18)",0.831548564503226,0.839586432224827,0.823069804517503,"0.83 (0.82, 0.84)",0.715076187188361,"version 24 + w added + lastminute","Last minute excluding boost2+_inf6-","Mode variantinf","Last minute excluding inf6-_boost2+","VII","2022-08-31 22:09:23"
-4.12573033821033,0.136244385540093,-4.393,-3.859,0,"-4.13 (-4.39, -3.86)",0.0161516940801612,1.14596191589851,0.0123635827803021,0.0210890780600764,"0.02 (0.01, 0.02)",0.983848305919839,0.987636417219698,0.978910921939924,"0.98 (0.98, 0.99)",0.715076187188361,"version 24 + w added + lastminute","Last minute excluding boost2+_inf6-","Mode variantinf","Last minute excluding inf6-_boost2+","VII","2022-08-31 22:09:23"
