"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 75","Max"
"Subject","17922498","4695542.038","2903821.902","1","2251171","6752597.75","10819472"
"T1","17922498","13.915","20.089","0","0","27","67"
"T2","17922498","51.239","22.126","1","35","68","68"
"Infected","17922498","0.07","0.256","0","0","0","1"
"Hospitalized","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"Oxygen","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"ICU","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"DeadByCov","17922498","0","0.003","0","0","0","1"
"DeadByOther","17922498","0","0.019","0","0","0","1"
"VariantInf","17922498","0.017","0.13","0","0","0","1"
"VariantHosp","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"VariantOxygen","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"VariantICU","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"VariantDeath","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"InfPrior","17922498","","","","","",""
"... _noinf","13711298","76.5%","","","","",""
"... inf1","647830","3.6%","","","","",""
"... inf2","776016","4.3%","","","","",""
"... inf3","1988636","11.1%","","","","",""
"... inf4+","798718","4.5%","","","","",""
"InfPriorSeverity","17922498","","","","","",""
"... _no_or_unknown_severity","15637484","87.3%","","","","",""
"... hospitalized","234531","1.3%","","","","",""
"... symptoms","2050483","11.4%","","","","",""
"Age","17922498","44.845","22.33","0","28","63","120"
"Sex","17922498","","","","","",""
"... M","8817435","49.2%","","","","",""
"... Z","9105063","50.8%","","","","",""
"InfPriorTime","4211200","-285.551","127.193","-705","-385","-260","0"
"LastVaccTime","13409702","-63.852","78.586","-317","-131","5","67"
