"beta","se","low","high","p","model.betas","hr","hr.se","hr.low","hr.high","model.hr","eff","eff.high","eff.low","model.effectiveness","model.concordance","model.ctool.version","model.age.filter","model.input.file","model.input.horizon","model.mode","model.calculated.at"
-0.864005174733708,0.00656357249505568,-0.877,-0.851,0,"-0.86 (-0.88, -0.85)",0.421470633771979,1.00658515994142,0.416029128807653,0.426987730653026,"0.42 (0.42, 0.43)",0.578529366228021,0.583970871192347,0.573012269346974,"0.58 (0.57, 0.58)",0.686884914788865,"version 21","Mode variantinf","Writing to data/temp/IOmicron.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-02-17 11:55:16"
-0.274374544498318,0.0115658620723354,-0.297,-0.252,0,"-0.27 (-0.3, -0.25)",0.760047350389594,1.01163300526168,0.74304401236194,0.777244738068946,"0.76 (0.74, 0.78)",0.239952649610406,0.25695598763806,0.222755261931054,"0.24 (0.22, 0.26)",0.686884914788865,"version 21","Mode variantinf","Writing to data/temp/IOmicron.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-02-17 11:55:16"
-0.665559889082392,0.00929878878608792,-0.684,-0.647,0,"-0.67 (-0.68, -0.65)",0.513985672164213,1.00934215684177,0.504594571933551,0.523614265648264,"0.51 (0.5, 0.52)",0.486014327835787,0.495405428066449,0.476385734351736,"0.49 (0.48, 0.5)",0.686884914788865,"version 21","Mode variantinf","Writing to data/temp/IOmicron.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-02-17 11:55:16"
-0.384063883749571,0.00986188766479793,-0.403,-0.365,0,"-0.38 (-0.4, -0.36)",0.681087915339893,1.00991067632984,0.66831209932356,0.694196650877979,"0.68 (0.67, 0.69)",0.318912084660107,0.33168790067644,0.305803349122021,"0.32 (0.31, 0.33)",0.686884914788865,"version 21","Mode variantinf","Writing to data/temp/IOmicron.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-02-17 11:55:16"
-0.152489742763182,0.00453029960114171,-0.161,-0.144,0,"-0.15 (-0.16, -0.14)",0.858567700443457,1.0045405769223,0.851292071107151,0.865887748059205,"0.86 (0.85, 0.87)",0.141432299556543,0.148707928892849,0.134112251940795,"0.14 (0.13, 0.15)",0.686884914788865,"version 21","Mode variantinf","Writing to data/temp/IOmicron.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-02-17 11:55:16"
-0.418227966910778,0.0191075860796839,-0.456,-0.381,0,"-0.42 (-0.46, -0.38)",0.658212160727325,1.01929130427407,0.633813837098549,0.6831778896199,"0.66 (0.63, 0.68)",0.341787839272675,0.366186162901451,0.3168221103801,"0.34 (0.32, 0.37)",0.686884914788865,"version 21","Mode variantinf","Writing to data/temp/IOmicron.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-02-17 11:55:16"
-1.32927630564196,0.0135493906482924,-1.356,-1.303,0,"-1.33 (-1.36, -1.3)",0.26466873127617,1.01364159962961,0.257689476088041,0.271715422822505,"0.26 (0.26, 0.27)",0.73533126872383,0.742310523911959,0.728284577177495,"0.74 (0.73, 0.74)",0.686884914788865,"version 21","Mode variantinf","Writing to data/temp/IOmicron.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-02-17 11:55:16"
-0.696185966715118,0.018750796623496,-0.733,-0.659,0,"-0.7 (-0.73, -0.66)",0.498482913141111,1.01892769675345,0.480465429543422,0.517368444338022,"0.5 (0.48, 0.52)",0.501517086858889,0.519534570456578,0.482631555661978,"0.5 (0.48, 0.52)",0.686884914788865,"version 21","Mode variantinf","Writing to data/temp/IOmicron.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-02-17 11:55:16"
-0.424627200550918,0.00698825711206099,-0.438,-0.411,0,"-0.42 (-0.44, -0.41)",0.654013555581492,1.00701273195975,0.645325782857295,0.662986931600727,"0.65 (0.65, 0.66)",0.345986444418508,0.354674217142705,0.337013068399273,"0.35 (0.34, 0.35)",0.686884914788865,"version 21","Mode variantinf","Writing to data/temp/IOmicron.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-02-17 11:55:16"
-0.154200125524767,0.0085783263799303,-0.171,-0.137,0,"-0.15 (-0.17, -0.14)",0.857100476164209,1.00861522565755,0.84282157347162,0.871970226132109,"0.86 (0.84, 0.87)",0.142899523835791,0.15717842652838,0.128029773867891,"0.14 (0.13, 0.16)",0.686884914788865,"version 21","Mode variantinf","Writing to data/temp/IOmicron.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-02-17 11:55:16"
-0.662230456933772,0.00813365886939189,-0.678,-0.646,0,"-0.66 (-0.68, -0.65)",0.515699804545329,1.00816682693763,0.507631240260133,0.524138141808335,"0.52 (0.51, 0.52)",0.484300195454671,0.492368759739867,0.475861858191665,"0.48 (0.48, 0.49)",0.686884914788865,"version 21","Mode variantinf","Writing to data/temp/IOmicron.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-02-17 11:55:16"
