"beta","se","low","high","p","model.betas","hr","hr.se","hr.low","hr.high","model.hr","eff","eff.high","eff.low","model.effectiveness","model.concordance","model.ctool.version","model.age.filter","model.input.file","model.input.horizon","model.mode","model.calculated.at"
-0.715357133109661,0.229444677307102,-1.165,-0.266,0.00182221173100494,"-0.72 (-1.17, -0.27)",0.489017436289284,1.25790127481237,0.311922662032647,0.766439127501019,"0.49 (0.31, 0.77)",0.510982563710716,0.688077337967353,0.233560872498981,"0.51 (0.23, 0.69)",0.688517799714992,"version 27 erratum","Mode variantinf","Writing to data/temp/IOmicronDetail.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-09-01 19:30:30"
-0.0554016293293708,0.0221332280319729,-0.099,-0.012,0.0123111598816128,"-0.06 (-0.1, -0.01)",0.946105088084956,1.02237998507071,0.905742708023549,0.988071712861931,"0.95 (0.91, 0.99)",0.0538949119150443,0.0942572919764515,0.0119282871380695,"0.05 (0.01, 0.09)",0.688517799714992,"version 27 erratum","Mode variantinf","Writing to data/temp/IOmicronDetail.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-09-01 19:30:30"
-0.637731620801697,0.0231141930028008,-0.683,-0.592,0,"-0.64 (-0.68, -0.59)",0.52848988083875,1.02338339609801,0.505099418886891,0.553219738080874,"0.53 (0.51, 0.55)",0.47151011916125,0.494900581113109,0.446780261919126,"0.47 (0.45, 0.49)",0.688517799714992,"version 27 erratum","Mode variantinf","Writing to data/temp/IOmicronDetail.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-09-01 19:30:30"
-0.467587427795056,0.019770434167106,-0.506,-0.429,0,"-0.47 (-0.51, -0.43)",0.626511951761126,1.0199671635369,0.602902371503842,0.651159929181032,"0.63 (0.6, 0.65)",0.373488048238874,0.397097628496158,0.348840070818968,"0.37 (0.35, 0.4)",0.688517799714992,"version 27 erratum","Mode variantinf","Writing to data/temp/IOmicronDetail.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-09-01 19:30:30"
-0.435708570051923,0.0186277747883229,-0.472,-0.399,0,"-0.44 (-0.47, -0.4)",0.646806197167482,1.01880235410838,0.623753512917752,0.670990701353446,"0.65 (0.62, 0.67)",0.353193802832518,0.376246487082248,0.329009298646554,"0.35 (0.33, 0.38)",0.688517799714992,"version 27 erratum","Mode variantinf","Writing to data/temp/IOmicronDetail.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-09-01 19:30:30"
-0.936785486571647,0.015058880365686,-0.966,-0.907,0,"-0.94 (-0.97, -0.91)",0.391885534142591,1.01517283660386,0.380602406967716,0.403733609877463,"0.39 (0.38, 0.4)",0.608114465857409,0.619397593032283,0.596266390122537,"0.61 (0.6, 0.62)",0.688517799714992,"version 27 erratum","Mode variantinf","Writing to data/temp/IOmicronDetail.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-09-01 19:30:30"
-0.404282309109736,0.0333488074668458,-0.47,-0.339,0,"-0.4 (-0.47, -0.34)",0.667455665854025,1.03391111226838,0.625002268282701,0.712482449089192,"0.67 (0.63, 0.71)",0.332544334145975,0.374997731717299,0.287517550910808,"0.33 (0.29, 0.37)",0.688517799714992,"version 27 erratum","Mode variantinf","Writing to data/temp/IOmicronDetail.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-09-01 19:30:30"
-0.657111344791534,0.0351922691890161,-0.726,-0.588,0,"-0.66 (-0.73, -0.59)",0.518346498257703,1.0358188457045,0.483840486467991,0.555437048698018,"0.52 (0.48, 0.56)",0.481653501742297,0.516159513532009,0.444562951301982,"0.48 (0.44, 0.52)",0.688517799714992,"version 27 erratum","Mode variantinf","Writing to data/temp/IOmicronDetail.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-09-01 19:30:30"
-0.535621042825662,0.0431906267517549,-0.62,-0.451,0,"-0.54 (-0.62, -0.45)",0.585305677355183,1.04413691630935,0.537944437594674,0.636990842177983,"0.59 (0.54, 0.64)",0.414694322644817,0.462055562405326,0.363009157822017,"0.41 (0.36, 0.46)",0.688517799714992,"version 27 erratum","Mode variantinf","Writing to data/temp/IOmicronDetail.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-09-01 19:30:30"
-0.218120890909364,0.0141477013683015,-0.246,-0.19,0,"-0.22 (-0.25, -0.19)",0.804028236086428,1.01424825373065,0.781922224925477,0.826959133943362,"0.8 (0.78, 0.83)",0.195971763913572,0.218077775074523,0.173040866056638,"0.2 (0.17, 0.22)",0.688517799714992,"version 27 erratum","Mode variantinf","Writing to data/temp/IOmicronDetail.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-09-01 19:30:30"
-0.668802840526458,0.0661630044920056,-0.798,-0.539,0,"-0.67 (-0.8, -0.54)",0.512321541392518,1.06840085711178,0.450228521302789,0.583331292097639,"0.51 (0.45, 0.58)",0.487678458607482,0.549771478697211,0.416668707902361,"0.49 (0.42, 0.55)",0.688517799714992,"version 27 erratum","Mode variantinf","Writing to data/temp/IOmicronDetail.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-09-01 19:30:30"
-0.924018414899553,0.242558571830823,-1.399,-0.449,0.000139267760571826,"-0.92 (-1.4, -0.45)",0.396920839501192,1.27450589712105,0.24684368424514,0.638266098693769,"0.4 (0.25, 0.64)",0.603079160498807,0.75315631575486,0.361733901306231,"0.6 (0.36, 0.75)",0.688517799714992,"version 27 erratum","Mode variantinf","Writing to data/temp/IOmicronDetail.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-09-01 19:30:30"
-0.874527890117059,0.00678736378855399,-0.888,-0.861,0,"-0.87 (-0.89, -0.86)",0.41705887082185,1.00681045014443,0.411477886117171,0.422739131745963,"0.42 (0.41, 0.42)",0.58294112917815,0.588522113882829,0.577260868254037,"0.58 (0.58, 0.59)",0.688517799714992,"version 27 erratum","Mode variantinf","Writing to data/temp/IOmicronDetail.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-09-01 19:30:30"
-0.275189406541089,0.011772753107582,-0.298,-0.252,0,"-0.28 (-0.3, -0.25)",0.759428268920304,1.01184232471384,0.742301339747774,0.777244738068946,"0.76 (0.74, 0.78)",0.240571731079696,0.257698660252226,0.222755261931054,"0.24 (0.22, 0.26)",0.688517799714992,"version 27 erratum","Mode variantinf","Writing to data/temp/IOmicronDetail.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-09-01 19:30:30"
-0.66744328418014,0.0102654879063438,-0.688,-0.647,0,"-0.67 (-0.69, -0.65)",0.513018545096017,1.01031835878758,0.502580225025428,0.523614265648264,"0.51 (0.5, 0.52)",0.486981454903983,0.497419774974572,0.476385734351736,"0.49 (0.48, 0.5)",0.688517799714992,"version 27 erratum","Mode variantinf","Writing to data/temp/IOmicronDetail.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-09-01 19:30:30"
-0.313754707077393,0.0115294118067204,-0.336,-0.291,0,"-0.31 (-0.34, -0.29)",0.730698241285819,1.01159613164196,0.714623105816057,0.747515678018091,"0.73 (0.71, 0.75)",0.269301758714181,0.285376894183943,0.252484321981909,"0.27 (0.25, 0.29)",0.688517799714992,"version 27 erratum","Mode variantinf","Writing to data/temp/IOmicronDetail.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-09-01 19:30:30"
-0.119007052772136,0.00467420443962202,-0.128,-0.11,0,"-0.12 (-0.13, -0.11)",0.887801539277911,1.00468514557358,0.879853379144644,0.895834135296528,"0.89 (0.88, 0.9)",0.112198460722089,0.120146620855356,0.104165864703472,"0.11 (0.1, 0.12)",0.688517799714992,"version 27 erratum","Mode variantinf","Writing to data/temp/IOmicronDetail.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-09-01 19:30:30"
-0.374203785942948,0.0202521205394389,-0.414,-0.335,0,"-0.37 (-0.41, -0.34)",0.687836726089703,1.02045858616609,0.661000951265913,0.71533808635256,"0.69 (0.66, 0.72)",0.312163273910297,0.338999048734087,0.28466191364744,"0.31 (0.28, 0.34)",0.688517799714992,"version 27 erratum","Mode variantinf","Writing to data/temp/IOmicronDetail.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-09-01 19:30:30"
-0.753523005738819,0.0730089350353176,-0.897,-0.61,0,"-0.75 (-0.9, -0.61)",0.470705330630593,1.07574014864798,0.407791200114226,0.5433508690745,"0.47 (0.41, 0.54)",0.529294669369407,0.592208799885774,0.4566491309255,"0.53 (0.46, 0.59)",0.688517799714992,"version 27 erratum","Mode variantinf","Writing to data/temp/IOmicronDetail.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-09-01 19:30:30"
-1.33224491789445,0.0135536421515549,-1.359,-1.306,0,"-1.33 (-1.36, -1.31)",0.263884197502093,1.01364590913934,0.256917566103685,0.270901498051638,"0.26 (0.26, 0.27)",0.736115802497907,0.743082433896315,0.729098501948362,"0.74 (0.73, 0.74)",0.688517799714992,"version 27 erratum","Mode variantinf","Writing to data/temp/IOmicronDetail.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-09-01 19:30:30"
-0.694398658257825,0.018701930302692,-0.731,-0.658,0,"-0.69 (-0.73, -0.66)",0.49937465253688,1.01887790672228,0.481427321974309,0.517886071552831,"0.5 (0.48, 0.52)",0.50062534746312,0.518572678025691,0.482113928447169,"0.5 (0.48, 0.52)",0.688517799714992,"version 27 erratum","Mode variantinf","Writing to data/temp/IOmicronDetail.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-09-01 19:30:30"
-0.425992215569138,0.00698345580834237,-0.44,-0.412,0,"-0.43 (-0.44, -0.41)",0.653121426279474,1.00700789699739,0.644036421083141,0.662324276052122,"0.65 (0.64, 0.66)",0.346878573720526,0.355963578916859,0.337675723947878,"0.35 (0.34, 0.36)",0.688517799714992,"version 27 erratum","Mode variantinf","Writing to data/temp/IOmicronDetail.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-09-01 19:30:30"
-0.156480953553422,0.00855673050952303,-0.173,-0.14,0,"-0.16 (-0.17, -0.14)",0.855147805074787,1.00859344396904,0.841137614844623,0.869358235398806,"0.86 (0.84, 0.87)",0.144852194925213,0.158862385155377,0.130641764601194,"0.14 (0.13, 0.16)",0.688517799714992,"version 27 erratum","Mode variantinf","Writing to data/temp/IOmicronDetail.csv","Study period: 2021-12-07 to 2022-02-13","VI","2022-09-01 19:30:30"
