"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 75","Max"
"Subject","18024708","4688484.109","2901000.108","1","2247264.75","6741099.25","10819487"
"T1","18024708","14.011","20.129","0","0","27","67"
"T2","18024708","51.1","22.168","1","35","68","68"
"Infected","18024708","0.07","0.255","0","0","0","1"
"Hospitalized","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"Oxygen","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"ICU","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"DeadByCov","18024708","0","0.003","0","0","0","1"
"DeadByOther","18024708","0","0.019","0","0","0","1"
"VariantInf","18024708","0.017","0.129","0","0","0","1"
"VariantHosp","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"VariantOxygen","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"VariantICU","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"VariantDeath","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"InfPrior","18024708","","","","","",""
"... _noinf","13807457","76.6%","","","","",""
"... inf1","627611","3.5%","","","","",""
"... inf2","784136","4.4%","","","","",""
"... inf3","2002748","11.1%","","","","",""
"... inf4+","802756","4.5%","","","","",""
"InfPriorSeverity","18024708","","","","","",""
"... _no_or_unknown_severity","15732421","87.3%","","","","",""
"... hospitalized","236400","1.3%","","","","",""
"... symptoms","2055887","11.4%","","","","",""
"Age","18024708","44.906","22.316","0","28","63","120"
"Sex","18024708","","","","","",""
"... M","8874072","49.2%","","","","",""
"... Z","9150636","50.8%","","","","",""
"InfPriorTime","4217251","-286.956","125.951","-705","-385","-260","0"
"LastVaccTime","13511905","-62.717","78.617","-317","-131","6","67"
