"beta","se","low","high","p","model.betas","hr","hr.se","hr.low","hr.high","model.hr","eff","eff.high","eff.low","model.effectiveness","model.concordance","model.ctool.version","model.age.filter","model.input.file","model.input.horizon","model.mode","model.calculated.at"
-0.816326787805712,0.00685491829659689,-0.83,-0.803,0,"-0.82 (-0.83, -0.8)",0.442052428330814,1.00687846702648,0.436049286321536,0.447982997184744,"0.44 (0.44, 0.45)",0.557947571669186,0.563950713678464,0.552017002815256,"0.56 (0.55, 0.56)",0.688435377109325,"version 27 erratum","Last minute excluding: boost2+_inf6-","Age filter: 0-650","Mode variantinf","VII","2022-09-01 23:50:55"
-0.230327021363263,0.0119183960626885,-0.254,-0.207,0,"-0.23 (-0.25, -0.21)",0.794273815521746,1.01198970315217,0.775691802046476,0.813019649987571,"0.79 (0.78, 0.81)",0.205726184478254,0.224308197953524,0.186980350012429,"0.21 (0.19, 0.22)",0.688435377109325,"version 27 erratum","Last minute excluding: boost2+_inf6-","Age filter: 0-650","Mode variantinf","VII","2022-09-01 23:50:55"
-0.555621570686299,0.00983115799521001,-0.575,-0.536,0,"-0.56 (-0.58, -0.54)",0.573715545580529,1.00987964258527,0.562704868806956,0.585083913591707,"0.57 (0.56, 0.59)",0.426284454419471,0.437295131193044,0.414916086408293,"0.43 (0.41, 0.44)",0.688435377109325,"version 27 erratum","Last minute excluding: boost2+_inf6-","Age filter: 0-650","Mode variantinf","VII","2022-09-01 23:50:55"
-0.0937166857889045,0.00476567050952894,-0.103,-0.084,0,"-0.09 (-0.1, -0.08)",0.910540694819682,1.00477704437809,0.902126973481516,0.919431256095125,"0.91 (0.9, 0.92)",0.0894593051803177,0.0978730265184835,0.0805687439048753,"0.09 (0.08, 0.1)",0.688435377109325,"version 27 erratum","Last minute excluding: boost2+_inf6-","Age filter: 0-650","Mode variantinf","VII","2022-09-01 23:50:55"
-2.24085586016677,0.0632441833969532,-2.365,-2.117,0,"-2.24 (-2.37, -2.12)",0.106367429765067,1.06528693285674,0.0939493003684792,0.120392264079867,"0.11 (0.09, 0.12)",0.893632570234933,0.906050699631521,0.879607735920133,"0.89 (0.88, 0.91)",0.688435377109325,"version 27 erratum","Last minute excluding: boost2+_inf6-","Age filter: 0-650","Mode variantinf","VII","2022-09-01 23:50:55"
-1.15538548240846,0.0146772575300379,-1.184,-1.127,0,"-1.16 (-1.18, -1.13)",0.31493611117053,1.01478549738073,0.306052078602271,0.324003811295914,"0.31 (0.31, 0.32)",0.68506388882947,0.693947921397729,0.675996188704086,"0.69 (0.68, 0.69)",0.688435377109325,"version 27 erratum","Last minute excluding: boost2+_inf6-","Age filter: 0-650","Mode variantinf","VII","2022-09-01 23:50:55"
-2.53591889590693,0.185731728717316,-2.9,-2.172,0,"-2.54 (-2.9, -2.17)",0.0791889194481724,1.20409919180989,0.0550232200564072,0.113949489880088,"0.08 (0.06, 0.11)",0.920811080551828,0.944976779943593,0.886050510119912,"0.92 (0.89, 0.94)",0.688435377109325,"version 27 erratum","Last minute excluding: boost2+_inf6-","Age filter: 0-650","Mode variantinf","VII","2022-09-01 23:50:55"
-1.72263751478624,0.229454702351516,-2.172,-1.273,6.0285110237146e-14,"-1.72 (-2.17, -1.27)",0.178594480586862,1.25791388539173,0.113949489880088,0.279990389392548,"0.18 (0.11, 0.28)",0.821405519413138,0.886050510119912,0.720009610607452,"0.82 (0.72, 0.89)",0.688435377109325,"version 27 erratum","Last minute excluding: boost2+_inf6-","Age filter: 0-650","Mode variantinf","VII","2022-09-01 23:50:55"
-1.70952255593461,0.166704928616873,-2.036,-1.383,0,"-1.71 (-2.04, -1.38)",0.180952166534156,1.18140561488369,0.130549867339988,0.250824948372811,"0.18 (0.13, 0.25)",0.819047833465844,0.869450132660012,0.749175051627189,"0.82 (0.75, 0.87)",0.688435377109325,"version 27 erratum","Last minute excluding: boost2+_inf6-","Age filter: 0-650","Mode variantinf","VII","2022-09-01 23:50:55"
-1.99481041688928,0.0489212851746257,-2.091,-1.899,0,"-1.99 (-2.09, -1.9)",0.136039442502946,1.05013768608202,0.123563510504596,0.149718262651102,"0.14 (0.12, 0.15)",0.863960557497054,0.876436489495404,0.850281737348898,"0.86 (0.85, 0.88)",0.688435377109325,"version 27 erratum","Last minute excluding: boost2+_inf6-","Age filter: 0-650","Mode variantinf","VII","2022-09-01 23:50:55"
