"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 75","Max"
"Subject","18193894","4676977.81","2896278.53","1","2241140.25","6722077","10819487"
"T1","18193894","14.079","20.159","0","0","27","67"
"T2","18193894","50.976","22.223","1","35","68","68"
"Infected","18193894","0.069","0.254","0","0","0","1"
"Hospitalized","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"Oxygen","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"ICU","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"DeadByCov","18193894","0","0.003","0","0","0","1"
"DeadByOther","18193894","0","0.019","0","0","0","1"
"VariantInf","18193894","0.017","0.129","0","0","0","1"
"VariantHosp","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"VariantOxygen","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"VariantICU","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"VariantDeath","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"InfPrior","18193894","","","","","",""
"... _noinf","13807457","75.9%","","","","",""
"... inf1","665241","3.7%","","","","",""
"... inf2","833194","4.6%","","","","",""
"... inf3","2066598","11.4%","","","","",""
"... inf4+","821404","4.5%","","","","",""
"InfPriorSeverity","18193894","","","","","",""
"... _no_or_unknown_severity","15811326","86.9%","","","","",""
"... hospitalized","246660","1.4%","","","","",""
"... symptoms","2135908","11.7%","","","","",""
"Age","18193894","44.839","22.301","0","28","63","120"
"Sex","18193894","","","","","",""
"... M","8954965","49.2%","","","","",""
"... Z","9238929","50.8%","","","","",""
"InfPriorTime","4386437","-285.578","126.434","-705","-384","-259","0"
"LastVaccTime","13681091","-61.822","78.596","-317","-130","6","67"
