"beta","se","low","high","p","model.betas","hr","hr.se","hr.low","hr.high","model.hr","eff","eff.high","eff.low","model.effectiveness","model.concordance","model.ctool.version","model.age.filter","model.input.file","model.input.horizon","model.mode","model.calculated.at"
-3.92123252483634,0.0945914085602498,-4.107,-3.736,0,"-3.92 (-4.11, -3.74)",0.0198166551666049,1.09920963571111,0.0164570717587473,0.0238493098302859,"0.02 (0.02, 0.02)",0.980183344833395,0.983542928241253,0.976150690169714,"0.98 (0.98, 0.98)",0.922217490313947,"version 21","Mode varianthosp","Writing to data/temp/ODelta.csv","Study period: 2021-12-07 to 2022-02-13","VO","2022-02-17 13:18:11"
-3.56701055798236,0.261802283809093,-4.08,-3.054,0,"-3.57 (-4.08, -3.05)",0.0282401499089004,1.2992696303901,0.0169074656527053,0.0471698670603144,"0.03 (0.02, 0.05)",0.9717598500911,0.983092534347295,0.952830132939686,"0.97 (0.95, 0.98)",0.922217490313947,"version 21","Mode varianthosp","Writing to data/temp/ODelta.csv","Study period: 2021-12-07 to 2022-02-13","VO","2022-02-17 13:18:11"
-1.72392703434985,0.158258608181985,-2.034,-1.414,0,"-1.72 (-2.03, -1.41)",0.178364327935259,1.1714691070342,0.130811228348556,0.243168660565496,"0.18 (0.13, 0.24)",0.821635672064742,0.869188771651444,0.756831339434504,"0.82 (0.76, 0.87)",0.922217490313947,"version 21","Mode varianthosp","Writing to data/temp/ODelta.csv","Study period: 2021-12-07 to 2022-02-13","VO","2022-02-17 13:18:11"
-1.86872171999925,0.142960944402692,-2.149,-1.589,0,"-1.87 (-2.15, -1.59)",0.154320800982356,1.15368474293938,0.116600700192768,0.20412963934275,"0.15 (0.12, 0.2)",0.845679199017644,0.883399299807232,0.79587036065725,"0.85 (0.8, 0.88)",0.922217490313947,"version 21","Mode varianthosp","Writing to data/temp/ODelta.csv","Study period: 2021-12-07 to 2022-02-13","VO","2022-02-17 13:18:11"
-1.70369278491646,0.044867095259856,-1.792,-1.616,0,"-1.7 (-1.79, -1.62)",0.182010157155394,1.04588884708575,0.166626583025544,0.198691879182574,"0.18 (0.17, 0.2)",0.817989842844606,0.833373416974456,0.801308120817426,"0.82 (0.8, 0.83)",0.922217490313947,"version 21","Mode varianthosp","Writing to data/temp/ODelta.csv","Study period: 2021-12-07 to 2022-02-13","VO","2022-02-17 13:18:11"
-0.913445786369665,0.144754229910191,-1.197,-0.63,2.7845570294005e-10,"-0.91 (-1.2, -0.63)",0.401139598480952,1.15575548523025,0.302099151278283,0.532591801006897,"0.4 (0.3, 0.53)",0.598860401519048,0.697900848721717,0.467408198993103,"0.6 (0.47, 0.7)",0.922217490313947,"version 21","Mode varianthosp","Writing to data/temp/ODelta.csv","Study period: 2021-12-07 to 2022-02-13","VO","2022-02-17 13:18:11"
-17.5705387563975,0.0295719798667033,-17.628,-17.513,0,"-17.57 (-17.63, -17.51)",2.33997907624712e-08,1.03001357304334,2.20931109221069e-08,2.47856742968422e-08,"0 (0, 0)",0.999999976600209,0.999999977906889,0.999999975214326,"1 (1, 1)",0.922217490313947,"version 21","Mode varianthosp","Writing to data/temp/ODelta.csv","Study period: 2021-12-07 to 2022-02-13","VO","2022-02-17 13:18:11"
-16.941393680536,0.0248701894391034,-16.99,-16.893,0,"-16.94 (-16.99, -16.89)",4.38981490538756e-08,1.02518203243184,4.18154478457701e-08,4.60747849864701e-08,"0 (0, 0)",0.999999956101851,0.999999958184552,0.999999953925215,"1 (1, 1)",0.922217490313947,"version 21","Mode varianthosp","Writing to data/temp/ODelta.csv","Study period: 2021-12-07 to 2022-02-13","VO","2022-02-17 13:18:11"
-5.533597557003,1.00014378159988,-7.494,-3.573,3.15155090913066e-08,"-5.53 (-7.49, -3.57)",0.00395174685126177,2.71867269546834,0.000556412851828323,0.0280715126939944,"0 (0, 0.03)",0.996048253148738,0.999443587148172,0.971928487306006,"1 (0.97, 1)",0.922217490313947,"version 21","Mode varianthosp","Writing to data/temp/ODelta.csv","Study period: 2021-12-07 to 2022-02-13","VO","2022-02-17 13:18:11"
-15.9527728224343,0.0228871946722491,-15.998,-15.908,0,"-15.95 (-16, -15.91)",1.17977392191486e-07,1.02315111614016,1.12760470289169e-07,1.23379606808914e-07,"0 (0, 0)",0.999999882022608,0.99999988723953,0.999999876620393,"1 (1, 1)",0.922217490313947,"version 21","Mode varianthosp","Writing to data/temp/ODelta.csv","Study period: 2021-12-07 to 2022-02-13","VO","2022-02-17 13:18:11"
-3.22899604359482,0.309358463770982,-3.835,-2.623,0,"-3.23 (-3.84, -2.62)",0.039597232734918,1.36255070803749,0.0216013384701758,0.0725847815244687,"0.04 (0.02, 0.07)",0.960402767265082,0.978398661529824,0.927415218475531,"0.96 (0.93, 0.98)",0.922217490313947,"version 21","Mode varianthosp","Writing to data/temp/ODelta.csv","Study period: 2021-12-07 to 2022-02-13","VO","2022-02-17 13:18:11"
