"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 75","Max"
"Subject","15517926","4668766.69","2916354.712","1","2221166","6664410","10696471"
"T1","15517926","9.754","15.405","0","0","17","52"
"T2","15517926","43.728","18.999","1","31","53","68"
"Infected","15517926","0.043","0.203","0","0","0","1"
"Hospitalized","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"Oxygen","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"ICU","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"DeadByCov","15517926","0","0.004","0","0","0","1"
"DeadByOther","15517926","0","0.019","0","0","0","1"
"VariantInf","15517926","0.005","0.07","0","0","0","1"
"VariantHosp","15517926","0","0.017","0","0","0","1"
"VariantOxygen","15517903","0","0.014","0","0","0","1"
"VariantICU","15517926","0","0.007","0","0","0","1"
"VariantDeath","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"InfPrior","15517926","","","","","",""
"... _noinf","12120258","78.1%","","","","",""
"... inf1","171746","1.1%","","","","",""
"... inf2","770024","5%","","","","",""
"... inf3","1799989","11.6%","","","","",""
"... inf4+","655909","4.2%","","","","",""
"InfPriorSeverity","15517926","","","","","",""
"... _no_or_unknown_severity","13595856","87.6%","","","","",""
"... hospitalized","207128","1.3%","","","","",""
"... symptoms","1714942","11.1%","","","","",""
"Age","15517926","46.608","21.541","0","31","64","120"
"Sex","15517926","","","","","",""
"... M","7639390","49.2%","","","","",""
"... Z","7878536","50.8%","","","","",""
"InfPriorTime","3397668","-318.027","92.597","-705","-395","-274","-8"
"LastVaccTime","11774855","-69.565","78.698","-317","-137","5","52"
