"beta","se","low","high","p","model.betas","hr","hr.se","hr.low","hr.high","model.hr","eff","eff.high","eff.low","model.effectiveness","model.concordance","model.ctool.version","model.age.filter","model.input.file","model.input.horizon","model.mode","model.calculated.at"
-3.89589926864501,0.0929128165478081,-4.078,-3.714,0,"-3.9 (-4.08, -3.71)",0.0203250885136014,1.09736605893611,0.0169413144214966,0.0243798087379195,"0.02 (0.02, 0.02)",0.979674911486399,0.983058685578503,0.97562019126208,"0.98 (0.98, 0.98)",0.919289651963459,"version 27","Mode varianthosp","Writing to data/temp/ODeltaInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VOI","2022-07-21 21:11:14"
-3.56969224537933,0.261820081617472,-4.083,-3.057,0,"-3.57 (-4.08, -3.06)",0.0281645201078671,1.2992927547478,0.016856819263316,0.0470285695114299,"0.03 (0.02, 0.05)",0.971835479892133,0.983143180736684,0.95297143048857,"0.97 (0.95, 0.98)",0.919289651963459,"version 27","Mode varianthosp","Writing to data/temp/ODeltaInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VOI","2022-07-21 21:11:14"
-1.722071017271,0.158252884116318,-2.032,-1.412,0,"-1.72 (-2.03, -1.41)",0.178695682578981,1.1714624014873,0.131073112602212,0.243655484548335,"0.18 (0.13, 0.24)",0.821304317421019,0.868926887397788,0.756344515451665,"0.82 (0.76, 0.87)",0.919289651963459,"version 27","Mode varianthosp","Writing to data/temp/ODeltaInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VOI","2022-07-21 21:11:14"
-1.69387324585713,0.044050382750261,-1.78,-1.608,0,"-1.69 (-1.78, -1.61)",0.183806216809925,1.04503500529978,0.168638147268595,0.200287789345173,"0.18 (0.17, 0.2)",0.816193783190075,0.831361852731405,0.799712210654827,"0.82 (0.8, 0.83)",0.919289651963459,"version 27","Mode varianthosp","Writing to data/temp/ODeltaInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VOI","2022-07-21 21:11:14"
-14.7241310440798,0.0318590737676248,-14.787,-14.662,0,"-14.72 (-14.79, -14.66)",4.03079894979279e-07,1.03237200675576,3.7851883616876e-07,4.28918033661285e-07,"0 (0, 0)",0.999999596920105,0.999999621481164,0.999999571081966,"1 (1, 1)",0.919289651963459,"version 27","Mode varianthosp","Writing to data/temp/ODeltaInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VOI","2022-07-21 21:11:14"
-3.76324258771343,0.378638624131493,-4.505,-3.021,0,"-3.76 (-4.5, -3.02)",0.0232083630792266,1.46029522492495,0.0110535901868594,0.0487524415361286,"0.02 (0.01, 0.05)",0.976791636920773,0.988946409813141,0.951247558463871,"0.98 (0.95, 0.99)",0.919289651963459,"version 27","Mode varianthosp","Writing to data/temp/ODeltaInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VOI","2022-07-21 21:11:14"
-5.11042467901221,0.334242329136353,-5.766,-4.455,0,"-5.11 (-5.77, -4.46)",0.00603352007009953,1.39688160767657,0.00313226153559248,0.0116203198746309,"0.01 (0, 0.01)",0.993966479929901,0.996867738464408,0.988379680125369,"0.99 (0.99, 1)",0.919289651963459,"version 27","Mode varianthosp","Writing to data/temp/ODeltaInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VOI","2022-07-21 21:11:14"
-0.912027706519858,0.144754794524962,-1.196,-0.628,2.9668534295979e-10,"-0.91 (-1.2, -0.63)",0.401708849989169,1.15575613778705,0.3024014015295,0.533658050502991,"0.4 (0.3, 0.53)",0.598291150010831,0.6975985984705,0.466341949497009,"0.6 (0.47, 0.7)",0.919289651963459,"version 27","Mode varianthosp","Writing to data/temp/ODeltaInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VOI","2022-07-21 21:11:14"
-3.23374191863062,0.309132787909451,-3.84,-2.628,0,"-3.23 (-3.84, -2.63)",0.0394097544427541,1.36224324792704,0.0214936013450899,0.0722227634163208,"0.04 (0.02, 0.07)",0.960590245557246,0.97850639865491,0.927777236583679,"0.96 (0.93, 0.98)",0.919289651963459,"version 27","Mode varianthosp","Writing to data/temp/ODeltaInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VOI","2022-07-21 21:11:14"
-16.960901784843,0.110170900331416,-17.177,-16.745,0,"-16.96 (-17.18, -16.75)",4.30500784040076e-08,1.11646885905352,3.46835612998245e-08,5.34243073889632e-08,"0 (0, 0)",0.999999956949922,0.999999965316439,0.999999946575693,"1 (1, 1)",0.919289651963459,"version 27","Mode varianthosp","Writing to data/temp/ODeltaInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VOI","2022-07-21 21:11:14"
