"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 75","Max"
"Subject","16462461","4775099.43","2942891.019","1","2290755","6878572","10819472"
"T1","16462461","9.974","15.56","0","0","17","52"
"T2","16462461","44.026","18.795","1","32","53","68"
"Infected","16462461","0.047","0.213","0","0","0","1"
"Hospitalized","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"Oxygen","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"ICU","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"DeadByCov","16462461","0","0.004","0","0","0","1"
"DeadByOther","16462461","0","0.019","0","0","0","1"
"VariantInf","16462461","0.012","0.109","0","0","0","1"
"VariantHosp","16462461","0","0.011","0","0","0","1"
"VariantOxygen","16462419","0","0.007","0","0","0","1"
"VariantICU","16462461","0","0.004","0","0","0","1"
"VariantDeath","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"InfPrior","16462461","","","","","",""
"... _noinf","12784264","77.7%","","","","",""
"... inf1","416034","2.5%","","","","",""
"... inf2","761562","4.6%","","","","",""
"... inf3","1828061","11.1%","","","","",""
"... inf4+","672540","4.1%","","","","",""
"InfPriorSeverity","16462461","","","","","",""
"... _no_or_unknown_severity","14453267","87.8%","","","","",""
"... hospitalized","204822","1.2%","","","","",""
"... symptoms","1804372","11%","","","","",""
"Age","16462461","44.444","22.336","0","28","63","120"
"Sex","16462461","","","","","",""
"... M","8119499","49.3%","","","","",""
"... Z","8342962","50.7%","","","","",""
"InfPriorTime","3678197","-299.414","115.225","-705","-392","-267","-8"
"LastVaccTime","12065768","-71.002","77.51","-317","-136","3","52"
