"beta","se","low","high","p","model.betas","hr","hr.se","hr.low","hr.high","model.hr","eff","eff.high","eff.low","model.effectiveness","model.concordance","model.ctool.version","model.age.filter","model.input.file","model.input.horizon","model.mode","model.calculated.at"
-2.30811518080322,0.117868046323742,-2.539,-2.077,0,"-2.31 (-2.54, -2.08)",0.0994485174978598,1.12509564106598,0.0789453056368132,0.125305565583741,"0.1 (0.08, 0.13)",0.90055148250214,0.921054694363187,0.874694434416259,"0.9 (0.87, 0.92)",0.894821460923757,"version 21","Mode varianthosp","Writing to data/temp/OOmicron.csv","Study period: 2021-12-07 to 2022-02-13","VO","2022-02-17 12:51:21"
-1.88015462729646,0.132586527674879,-2.14,-1.62,0,"-1.88 (-2.14, -1.62)",0.152566512985455,1.14177780719393,0.117654843021779,0.197898699083615,"0.15 (0.12, 0.2)",0.847433487014545,0.882345156978221,0.802101300916385,"0.85 (0.8, 0.88)",0.894821460923757,"version 21","Mode varianthosp","Writing to data/temp/OOmicron.csv","Study period: 2021-12-07 to 2022-02-13","VO","2022-02-17 12:51:21"
-0.835301601859082,0.227232591650475,-1.281,-0.39,0.00023694160074228,"-0.84 (-1.28, -0.39)",0.433743643814209,1.2551217648354,0.277759402125063,0.677056874498165,"0.43 (0.28, 0.68)",0.566256356185791,0.722240597874937,0.322943125501835,"0.57 (0.32, 0.72)",0.894821460923757,"version 21","Mode varianthosp","Writing to data/temp/OOmicron.csv","Study period: 2021-12-07 to 2022-02-13","VO","2022-02-17 12:51:21"
-0.142512375177896,0.227482911538307,-0.588,0.303,0.53100337729552,"-0.14 (-0.59, 0.3)",0.867176822758404,1.25543598610107,0.555437048698018,1.35391446444229,"0.87 (0.56, 1.35)",0.132823177241596,0.444562951301982,-0.353914464442288,"0.13 (-0.35, 0.44)",0.894821460923757,"version 21","Mode varianthosp","Writing to data/temp/OOmicron.csv","Study period: 2021-12-07 to 2022-02-13","VO","2022-02-17 12:51:21"
-0.481077842386371,0.0895722074146131,-0.657,-0.306,7.83714595442575e-08,"-0.48 (-0.66, -0.31)",0.618116800143378,1.09370630416575,0.518404216653756,0.7363866194561,"0.62 (0.52, 0.74)",0.381883199856622,0.481595783346244,0.2636133805439,"0.38 (0.26, 0.48)",0.894821460923757,"version 21","Mode varianthosp","Writing to data/temp/OOmicron.csv","Study period: 2021-12-07 to 2022-02-13","VO","2022-02-17 12:51:21"
-1.32455537497999,0.580281229612965,-2.462,-0.187,0.0224533882248122,"-1.32 (-2.46, -0.19)",0.265921168012306,1.78654078828229,0.0852642518214322,0.829443736385404,"0.27 (0.09, 0.83)",0.734078831987694,0.914735748178568,0.170556263614596,"0.73 (0.17, 0.91)",0.894821460923757,"version 21","Mode varianthosp","Writing to data/temp/OOmicron.csv","Study period: 2021-12-07 to 2022-02-13","VO","2022-02-17 12:51:21"
-18.0653980894613,0.0467795806327848,-18.157,-17.974,0,"-18.07 (-18.16, -17.97)",1.42658382762514e-08,1.04789100814912,1.3017125503517e-08,1.56311518564197e-08,"0 (0, 0)",0.999999985734162,0.999999986982875,0.999999984368848,"1 (1, 1)",0.894821460923757,"version 21","Mode varianthosp","Writing to data/temp/OOmicron.csv","Study period: 2021-12-07 to 2022-02-13","VO","2022-02-17 12:51:21"
-18.098736304139,0.0551788787441301,-18.207,-17.991,0,"-18.1 (-18.21, -17.99)",1.37980811143138e-08,1.05672962423816,1.2382272801364e-08,1.53676682312082e-08,"0 (0, 0)",0.999999986201919,0.999999987617727,0.999999984632332,"1 (1, 1)",0.894821460923757,"version 21","Mode varianthosp","Writing to data/temp/OOmicron.csv","Study period: 2021-12-07 to 2022-02-13","VO","2022-02-17 12:51:21"
-17.7975602263957,0.0412432507944243,-17.878,-17.717,0,"-17.8 (-17.88, -17.72)",1.86473791963582e-08,1.04210556772401,1.72061320866203e-08,2.02117847335789e-08,"0 (0, 0)",0.999999981352621,0.999999982793868,0.999999979788215,"1 (1, 1)",0.894821460923757,"version 21","Mode varianthosp","Writing to data/temp/OOmicron.csv","Study period: 2021-12-07 to 2022-02-13","VO","2022-02-17 12:51:21"
-17.5845893936053,0.0388314842392845,-17.661,-17.508,0,"-17.58 (-17.66, -17.51)",2.30733078096735e-08,1.03959528069878,2.1375936718416e-08,2.49099130062695e-08,"0 (0, 0)",0.999999976926692,0.999999978624063,0.999999975090087,"1 (1, 1)",0.894821460923757,"version 21","Mode varianthosp","Writing to data/temp/OOmicron.csv","Study period: 2021-12-07 to 2022-02-13","VO","2022-02-17 12:51:21"
