"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 75","Max"
"Subject","16688549","4757297.876","2936067.156","1","2280758","6847347","10819487"
"T1","16688549","10.208","15.709","0","0","18","52"
"T2","16688549","43.944","18.79","1","32","53","68"
"Infected","16688549","0.047","0.211","0","0","0","1"
"Hospitalized","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"Oxygen","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"ICU","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"DeadByCov","16688549","0","0.004","0","0","0","1"
"DeadByOther","16688549","0","0.019","0","0","0","1"
"VariantInf","16688549","0.012","0.108","0","0","0","1"
"VariantHosp","16688549","0","0.011","0","0","0","1"
"VariantOxygen","16688504","0","0.007","0","0","0","1"
"VariantICU","16688549","0","0.004","0","0","0","1"
"VariantDeath","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"InfPrior","16688549","","","","","",""
"... _noinf","12881808","77.2%","","","","",""
"... inf1","512586","3.1%","","","","",""
"... inf2","775827","4.6%","","","","",""
"... inf3","1842556","11%","","","","",""
"... inf4+","675772","4%","","","","",""
"InfPriorSeverity","16688549","","","","","",""
"... _no_or_unknown_severity","14619966","87.6%","","","","",""
"... hospitalized","212315","1.3%","","","","",""
"... symptoms","1856268","11.1%","","","","",""
"Age","16688549","44.496","22.293","0","28","63","120"
"Sex","16688549","","","","","",""
"... M","8235254","49.3%","","","","",""
"... Z","8453295","50.7%","","","","",""
"InfPriorTime","3806741","-292.686","120.888","-705","-390","-265","-8"
"LastVaccTime","12291849","-69.945","77.538","-317","-134","3","52"
