"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 75","Max"
"Subject","16790332","4749369.753","2933112.84","1","2276427.75","6833890.25","10819877"
"T1","16790332","10.231","15.716","0","0","18","52"
"T2","16790332","43.829","18.837","1","31","53","68"
"Infected","16790332","0.047","0.211","0","0","0","1"
"Hospitalized","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"Oxygen","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"ICU","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"DeadByCov","16790332","0","0.004","0","0","0","1"
"DeadByOther","16790332","0","0.019","0","0","0","1"
"VariantInf","16790332","0.012","0.108","0","0","0","1"
"VariantHosp","16790332","0","0.011","0","0","0","1"
"VariantOxygen","16790288","0","0.007","0","0","0","1"
"VariantICU","16790332","0","0.004","0","0","0","1"
"VariantDeath","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"InfPrior","16790332","","","","","",""
"... _noinf","12859353","76.6%","","","","",""
"... inf1","524240","3.1%","","","","",""
"... inf2","817851","4.9%","","","","",""
"... inf3","1897581","11.3%","","","","",""
"... inf4+","691307","4.1%","","","","",""
"InfPriorSeverity","16790332","","","","","",""
"... _no_or_unknown_severity","14654253","87.3%","","","","",""
"... hospitalized","217596","1.3%","","","","",""
"... symptoms","1918483","11.4%","","","","",""
"Age","16790332","44.42","22.28","0","28","63","120"
"Sex","16790332","","","","","",""
"... M","8283791","49.3%","","","","",""
"... Z","8506541","50.7%","","","","",""
"InfPriorTime","3930979","-292.653","120.41","-705","-390","-265","-8"
"LastVaccTime","12393486","-69.123","77.54","-317","-134","4","52"
