"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 75","Max"
"Subject","18045537","4687011.593","2900430.77","1","2246417","6738717","10819487"
"T1","18045537","14.05","20.154","0","0","27","67"
"T2","18045537","51.116","22.162","1","35","68","68"
"Infected","18045537","0.07","0.255","0","0","0","1"
"Hospitalized","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"Oxygen","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"ICU","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"DeadByCov","18045537","0","0.003","0","0","0","1"
"DeadByOther","18045537","0","0.019","0","0","0","1"
"VariantInf","18045537","0.005","0.07","0","0","0","1"
"VariantHosp","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"VariantOxygen","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"VariantICU","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"VariantDeath","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"InfPrior","18045537","","","","","",""
"... _noinf","13807457","76.5%","","","","",""
"... inf1","648440","3.6%","","","","",""
"... inf2","784136","4.3%","","","","",""
"... inf3","2002748","11.1%","","","","",""
"... inf4+","802756","4.4%","","","","",""
"InfPriorSeverity","18045537","","","","","",""
"... _no_or_unknown_severity","15743865","87.2%","","","","",""
"... hospitalized","237615","1.3%","","","","",""
"... symptoms","2064057","11.4%","","","","",""
"Age","18045537","44.914","22.313","0","28","63","120"
"Sex","18045537","","","","","",""
"... M","8884786","49.2%","","","","",""
"... Z","9160751","50.8%","","","","",""
"InfPriorTime","4238080","-285.691","126.939","-705","-385","-260","0"
"LastVaccTime","13532734","-62.566","78.657","-317","-131","6","67"
