"beta","se","low","high","p","model.betas","hr","hr.se","hr.low","hr.high","model.hr","eff","eff.high","eff.low","model.effectiveness","model.concordance","model.ctool.version","model.age.filter","model.input.file","model.input.horizon","model.mode","model.calculated.at"
-2.60080752369916,0.112617129365431,-2.822,-2.38,0,"-2.6 (-2.82, -2.38)",0.0742136247498841,1.11920334081284,0.059486849955972,0.0925505775103433,"0.07 (0.06, 0.09)",0.925786375250116,0.940513150044028,0.907449422489657,"0.93 (0.91, 0.94)",0.649818127890597,"version 27 erratum","Mode variantinf","Writing to data/temp/RDelta.csv","Study period: 2021-12-07 to 2022-02-13","VR","2022-09-01 21:24:38"
-2.41591187793263,0.0480803473066102,-2.51,-2.322,0,"-2.42 (-2.51, -2.32)",0.0892858839616271,1.04925495674745,0.0812682392408917,0.0980772348493581,"0.09 (0.08, 0.1)",0.910714116038373,0.918731760759108,0.901922765150642,"0.91 (0.9, 0.92)",0.649818127890597,"version 27 erratum","Mode variantinf","Writing to data/temp/RDelta.csv","Study period: 2021-12-07 to 2022-02-13","VR","2022-09-01 21:24:38"
-1.95004786705872,0.0273644812440034,-2.004,-1.896,0,"-1.95 (-2, -1.9)",0.142267261508164,1.02774232730773,0.134795023343798,0.150168091845475,"0.14 (0.13, 0.15)",0.857732738491836,0.865204976656202,0.849831908154525,"0.86 (0.85, 0.87)",0.649818127890597,"version 27 erratum","Mode variantinf","Writing to data/temp/RDelta.csv","Study period: 2021-12-07 to 2022-02-13","VR","2022-09-01 21:24:38"
-1.57650662399422,0.0422919974716923,-1.659,-1.494,0,"-1.58 (-1.66, -1.49)",0.206695904962215,1.04319904576604,0.19032921418281,0.224472965496952,"0.21 (0.19, 0.22)",0.793304095037785,0.80967078581719,0.775527034503048,"0.79 (0.78, 0.81)",0.649818127890597,"version 27 erratum","Mode variantinf","Writing to data/temp/RDelta.csv","Study period: 2021-12-07 to 2022-02-13","VR","2022-09-01 21:24:38"
-0.0312831783266663,0.0133923033633611,-0.058,-0.005,0.0194960767854192,"-0.03 (-0.06, 0)",0.969201077472935,1.0134823819287,0.943649947436799,0.995012479192682,"0.97 (0.94, 1)",0.0307989225270645,0.0563500525632015,0.00498752080731768,"0.03 (0, 0.06)",0.649818127890597,"version 27 erratum","Mode variantinf","Writing to data/temp/RDelta.csv","Study period: 2021-12-07 to 2022-02-13","VR","2022-09-01 21:24:38"
0.237386172642723,0.0169372996357241,0.204,0.271,0,"0.24 (0.2, 0.27)",1.26793066337971,1.01708154894234,1.22629815345621,1.31127507038459,"1.27 (1.23, 1.31)",-0.267930663379707,-0.226298153456211,-0.311275070384588,"-0.27 (-0.31, -0.23)",0.649818127890597,"version 27 erratum","Mode variantinf","Writing to data/temp/RDelta.csv","Study period: 2021-12-07 to 2022-02-13","VR","2022-09-01 21:24:38"
0.0431058728086989,0.0244929242672875,-0.005,0.091,0.0784193948876365,"0.04 (0, 0.09)",1.04404842533863,1.02479533990363,0.995012479192682,1.09526900525847,"1.04 (1, 1.1)",-0.0440484253386308,0.00498752080731768,-0.0952690052584655,"-0.04 (-0.1, 0)",0.649818127890597,"version 27 erratum","Mode variantinf","Writing to data/temp/RDelta.csv","Study period: 2021-12-07 to 2022-02-13","VR","2022-09-01 21:24:38"
-0.224007237426826,0.0170718221544922,-0.257,-0.191,0,"-0.22 (-0.26, -0.19)",0.799309349405503,1.01721837851722,0.773368213765449,0.826132588151194,"0.8 (0.77, 0.83)",0.200690650594497,0.226631786234551,0.173867411848806,"0.2 (0.17, 0.23)",0.649818127890597,"version 27 erratum","Mode variantinf","Writing to data/temp/RDelta.csv","Study period: 2021-12-07 to 2022-02-13","VR","2022-09-01 21:24:38"
-0.195315867595847,0.017277476645844,-0.229,-0.161,0,"-0.2 (-0.23, -0.16)",0.822574792294546,1.01742759555792,0.795328533505094,0.851292071107151,"0.82 (0.8, 0.85)",0.177425207705454,0.204671466494906,0.148707928892849,"0.18 (0.15, 0.2)",0.649818127890597,"version 27 erratum","Mode variantinf","Writing to data/temp/RDelta.csv","Study period: 2021-12-07 to 2022-02-13","VR","2022-09-01 21:24:38"
-0.0371077324298674,0.0157664613085212,-0.068,-0.006,0.018593275164842,"-0.04 (-0.07, -0.01)",0.963572321769532,1.01589140775037,0.934260473577214,0.994017964053935,"0.96 (0.93, 0.99)",0.036427678230468,0.0657395264227865,0.00598203594606472,"0.04 (0.01, 0.07)",0.649818127890597,"version 27 erratum","Mode variantinf","Writing to data/temp/RDelta.csv","Study period: 2021-12-07 to 2022-02-13","VR","2022-09-01 21:24:38"
0.0765842849995721,0.0151598902900646,0.047,0.106,4.37733698288589e-07,"0.08 (0.05, 0.11)",1.07959318001329,1.01527538431439,1.04812200907966,1.11182187650653,"1.08 (1.05, 1.11)",-0.0795931800132947,-0.0481220090796557,-0.111821876506531,"-0.08 (-0.11, -0.05)",0.649818127890597,"version 27 erratum","Mode variantinf","Writing to data/temp/RDelta.csv","Study period: 2021-12-07 to 2022-02-13","VR","2022-09-01 21:24:38"
-0.0478570969059543,0.0151137153403864,-0.077,-0.018,0.00154302289867181,"-0.05 (-0.08, -0.02)",0.953270002577294,1.01522850510695,0.925889853606495,0.982161032358301,"0.95 (0.93, 0.98)",0.046729997422706,0.0741101463935047,0.0178389676416992,"0.05 (0.02, 0.07)",0.649818127890597,"version 27 erratum","Mode variantinf","Writing to data/temp/RDelta.csv","Study period: 2021-12-07 to 2022-02-13","VR","2022-09-01 21:24:38"
-0.217555226828753,0.0168831042348198,-0.251,-0.184,0,"-0.22 (-0.25, -0.18)",0.804483174638447,1.01702642929367,0.778022371558957,0.831935803826672,"0.8 (0.78, 0.83)",0.195516825361553,0.221977628441043,0.168064196173328,"0.2 (0.17, 0.22)",0.649818127890597,"version 27 erratum","Mode variantinf","Writing to data/temp/RDelta.csv","Study period: 2021-12-07 to 2022-02-13","VR","2022-09-01 21:24:38"
