"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 75","Max"
"Subject","4512803","8359009.905","1916366.337","17","7575232.5","9691286.5","10819487"
"T1","4512803","5.551","14.335","0","0","0","67"
"T2","4512803","58.51","18.699","1","59","68","68"
"Infected","4512803","0.13","0.336","0","0","0","1"
"Hospitalized","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"Oxygen","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"ICU","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"DeadByCov","4512803","0","0.004","0","0","0","1"
"DeadByOther","4512803","0","0.009","0","0","0","1"
"VariantInf","4512803","0.031","0.172","0","0","0","1"
"VariantHosp","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"VariantOxygen","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"VariantICU","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"VariantDeath","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"InfPrior","4512803","","","","","",""
"... _noinf","3227708","71.5%","","","","",""
"... inf1","421191","9.3%","","","","",""
"... inf2","257061","5.7%","","","","",""
"... inf3","457797","10.1%","","","","",""
"... inf4+","149046","3.3%","","","","",""
"InfPriorSeverity","4512803","","","","","",""
"... _no_or_unknown_severity","3902589","86.5%","","","","",""
"... hospitalized","48720","1.1%","","","","",""
"... symptoms","561494","12.4%","","","","",""
"VaccStatus","4512803","","","","","",""
"... _novacc","4512803","100%","","","","",""
"Immunity","4512803","","","","","",""
"... _noimmunity","3227708","71.5%","","","","",""
"... inf6-_alone","421191","9.3%","","","","",""
"... inf6+_alone","863904","19.1%","","","","",""
"Age","4512803","28.982","22.016","0","9","44","120"
"Sex","4512803","","","","","",""
"... M","2274491","50.4%","","","","",""
"... Z","2238312","49.6%","","","","",""
"InfPriorTime","1285095","-223.127","149.637","-705","-336","-33","0"
"LastVaccTime","0","NaN",NA,"Inf",NA,NA,"-Inf"
