"beta","se","low","high","p","model.betas","hr","hr.se","hr.low","hr.high","model.hr","eff","eff.high","eff.low","model.effectiveness","model.concordance","model.ctool.version","model.age.filter","model.input.file","model.input.horizon","model.mode","model.calculated.at"
-1.15804941090052,0.0135009452510005,-1.185,-1.132,0,"-1.16 (-1.19, -1.13)",0.314098260373595,1.01359249454907,0.305746179498712,0.322387835545426,"0.31 (0.31, 0.32)",0.685901739626405,0.694253820501288,0.677612164454575,"0.69 (0.68, 0.69)",0.669187909686002,"version 24 + w added + lastminute","Mode variantinf","Writing to data/temp/ROmicron.csv","Study period: 2021-12-07 to 2022-02-13","VR","2022-08-30 23:19:07"
-0.655838196241086,0.0187117086741311,-0.693,-0.619,0,"-0.66 (-0.69, -0.62)",0.519006850624722,1.01888786973761,0.500073595695768,0.538482651094168,"0.52 (0.5, 0.54)",0.480993149375278,0.499926404304232,0.461517348905832,"0.48 (0.46, 0.5)",0.669187909686002,"version 24 + w added + lastminute","Mode variantinf","Writing to data/temp/ROmicron.csv","Study period: 2021-12-07 to 2022-02-13","VR","2022-08-30 23:19:07"
-0.41702605886574,0.00696878452806835,-0.431,-0.403,0,"-0.42 (-0.43, -0.4)",0.659003746830205,1.00699312301067,0.64985891077475,0.66831209932356,"0.66 (0.65, 0.67)",0.340996253169795,0.35014108922525,0.33168790067644,"0.34 (0.33, 0.35)",0.669187909686002,"version 24 + w added + lastminute","Mode variantinf","Writing to data/temp/ROmicron.csv","Study period: 2021-12-07 to 2022-02-13","VR","2022-08-30 23:19:07"
-0.183049720729415,0.00854244388393403,-0.2,-0.166,0,"-0.18 (-0.2, -0.17)",0.832726750926301,1.00857903467507,0.818730753077982,0.8470462341894,"0.83 (0.82, 0.85)",0.167273249073699,0.181269246922018,0.1529537658106,"0.17 (0.15, 0.18)",0.669187909686002,"version 24 + w added + lastminute","Mode variantinf","Writing to data/temp/ROmicron.csv","Study period: 2021-12-07 to 2022-02-13","VR","2022-08-30 23:19:07"
-0.409915555379449,0.00784572004931576,-0.425,-0.395,0,"-0.41 (-0.42, -0.4)",0.663706294196147,1.00787657835996,0.653769785129847,0.673680039248868,"0.66 (0.65, 0.67)",0.336293705803853,0.346230214870153,0.326319960751132,"0.34 (0.33, 0.35)",0.669187909686002,"version 24 + w added + lastminute","Mode variantinf","Writing to data/temp/ROmicron.csv","Study period: 2021-12-07 to 2022-02-13","VR","2022-08-30 23:19:07"
0.554608174427435,0.00842767322711579,0.538,0.571,0,"0.55 (0.54, 0.57)",1.74125858145061,1.00846328603921,1.71257827818735,1.77003620291348,"1.74 (1.71, 1.77)",-0.741258581450609,-0.712578278187348,-0.770036202913479,"-0.74 (-0.77, -0.71)",0.669187909686002,"version 24 + w added + lastminute","Mode variantinf","Writing to data/temp/ROmicron.csv","Study period: 2021-12-07 to 2022-02-13","VR","2022-08-30 23:19:07"
0.754903160419795,0.0103242162318341,0.735,0.775,0,"0.75 (0.74, 0.78)",2.12740549632448,1.01037769483534,2.08548199250503,2.17059212718344,"2.13 (2.09, 2.17)",-1.12740549632448,-1.08548199250503,-1.17059212718344,"-1.13 (-1.17, -1.09)",0.669187909686002,"version 24 + w added + lastminute","Mode variantinf","Writing to data/temp/ROmicron.csv","Study period: 2021-12-07 to 2022-02-13","VR","2022-08-30 23:19:07"
0.315148942825431,0.00788656156305984,0.3,0.331,0,"0.32 (0.3, 0.33)",1.37046341644999,1.00791774240568,1.349858807576,1.39235979230819,"1.37 (1.35, 1.39)",-0.370463416449991,-0.349858807576003,-0.392359792308194,"-0.37 (-0.39, -0.35)",0.669187909686002,"version 24 + w added + lastminute","Mode variantinf","Writing to data/temp/ROmicron.csv","Study period: 2021-12-07 to 2022-02-13","VR","2022-08-30 23:19:07"
0.00807348035928816,0.00867171333883328,-0.009,0.025,0.351846689936985,"0.01 (-0.01, 0.03)",1.00810615878552,1.00870942156444,0.991040378772884,1.02531512052443,"1.01 (0.99, 1.03)",-0.00810615878552268,0.00895962122711635,-0.0253151205244289,"-0.01 (-0.03, 0.01)",0.669187909686002,"version 24 + w added + lastminute","Mode variantinf","Writing to data/temp/ROmicron.csv","Study period: 2021-12-07 to 2022-02-13","VR","2022-08-30 23:19:07"
0.0431666476722098,0.00825304787793012,0.027,0.059,1.69154069862287e-07,"0.04 (0.03, 0.06)",1.04411187916736,1.00828719816089,1.02736780276349,1.06077524074016,"1.04 (1.03, 1.06)",-0.0441118791673591,-0.0273678027634894,-0.0607752407401589,"-0.04 (-0.06, -0.03)",0.669187909686002,"version 24 + w added + lastminute","Mode variantinf","Writing to data/temp/ROmicron.csv","Study period: 2021-12-07 to 2022-02-13","VR","2022-08-30 23:19:07"
0.0570489961880682,0.00814862585830197,0.041,0.073,2.54041232494728e-12,"0.06 (0.04, 0.07)",1.05870768176543,1.00818191627226,1.04185210554548,1.0757305369147,"1.06 (1.04, 1.08)",-0.0587076817654251,-0.0418521055454795,-0.0757305369147034,"-0.06 (-0.08, -0.04)",0.669187909686002,"version 24 + w added + lastminute","Mode variantinf","Writing to data/temp/ROmicron.csv","Study period: 2021-12-07 to 2022-02-13","VR","2022-08-30 23:19:07"
-0.0133318443011433,0.00795328016078056,-0.029,0.002,0.0936853339732391,"-0.01 (-0.03, 0)",0.986756631118489,1.00798499150743,0.971416464466605,1.002002001334,"0.99 (0.97, 1)",0.0132433688815107,0.0285835355333952,-0.0020020013340003,"0.01 (0, 0.03)",0.669187909686002,"version 24 + w added + lastminute","Mode variantinf","Writing to data/temp/ROmicron.csv","Study period: 2021-12-07 to 2022-02-13","VR","2022-08-30 23:19:07"
-0.25373779276072,0.00903510389717767,-0.271,-0.236,0,"-0.25 (-0.27, -0.24)",0.775895220720182,1.00907604365382,0.762616496405065,0.789780673932803,"0.78 (0.76, 0.79)",0.224104779279818,0.237383503594935,0.210219326067197,"0.22 (0.21, 0.24)",0.669187909686002,"version 24 + w added + lastminute","Mode variantinf","Writing to data/temp/ROmicron.csv","Study period: 2021-12-07 to 2022-02-13","VR","2022-08-30 23:19:07"
-0.502333758980697,0.00981857061616502,-0.522,-0.483,0,"-0.5 (-0.52, -0.48)",0.605116813767997,1.00986693092743,0.593332695123052,0.616929823373547,"0.61 (0.59, 0.62)",0.394883186232003,0.406667304876948,0.383070176626453,"0.39 (0.38, 0.41)",0.669187909686002,"version 24 + w added + lastminute","Mode variantinf","Writing to data/temp/ROmicron.csv","Study period: 2021-12-07 to 2022-02-13","VR","2022-08-30 23:19:07"
-0.997857744094346,0.0118846954161364,-1.021,-0.975,0,"-1 (-1.02, -0.98)",0.368668377827246,1.01195559901954,0.360234525470291,0.377192353563157,"0.37 (0.36, 0.38)",0.631331622172754,0.639765474529709,0.622807646436843,"0.63 (0.62, 0.64)",0.669187909686002,"version 24 + w added + lastminute","Mode variantinf","Writing to data/temp/ROmicron.csv","Study period: 2021-12-07 to 2022-02-13","VR","2022-08-30 23:19:07"
-1.50156205803574,0.0139948696508019,-1.529,-1.474,0,"-1.5 (-1.53, -1.47)",0.222781889968687,1.01409325627262,0.216752311287255,0.229007620199771,"0.22 (0.22, 0.23)",0.777218110031313,0.783247688712745,0.770992379800229,"0.78 (0.77, 0.78)",0.669187909686002,"version 24 + w added + lastminute","Mode variantinf","Writing to data/temp/ROmicron.csv","Study period: 2021-12-07 to 2022-02-13","VR","2022-08-30 23:19:07"
-1.80628836254622,0.0164184732979688,-1.838,-1.774,0,"-1.81 (-1.84, -1.77)",0.164262690292657,1.01655399711283,0.159135378805849,0.169653017718949,"0.16 (0.16, 0.17)",0.835737309707343,0.840864621194151,0.830346982281051,"0.84 (0.83, 0.84)",0.669187909686002,"version 24 + w added + lastminute","Mode variantinf","Writing to data/temp/ROmicron.csv","Study period: 2021-12-07 to 2022-02-13","VR","2022-08-30 23:19:07"
-1.82725382680854,0.0196190661271302,-1.866,-1.789,0,"-1.83 (-1.87, -1.79)",0.160854696645453,1.01981278479082,0.154741391097317,0.167127213344626,"0.16 (0.15, 0.17)",0.839145303354547,0.845258608902683,0.832872786655374,"0.84 (0.83, 0.85)",0.669187909686002,"version 24 + w added + lastminute","Mode variantinf","Writing to data/temp/ROmicron.csv","Study period: 2021-12-07 to 2022-02-13","VR","2022-08-30 23:19:07"
-1.83299651403088,0.019179182908347,-1.871,-1.795,0,"-1.83 (-1.87, -1.79)",0.159933605734222,1.0193642849115,0.153969615189466,0.166127452346833,"0.16 (0.15, 0.17)",0.840066394265778,0.846030384810534,0.833872547653167,"0.84 (0.83, 0.85)",0.669187909686002,"version 24 + w added + lastminute","Mode variantinf","Writing to data/temp/ROmicron.csv","Study period: 2021-12-07 to 2022-02-13","VR","2022-08-30 23:19:07"
0.11713395668338,0.00362143669901641,0.11,0.124,0,"0.12 (0.11, 0.12)",1.12427002308733,1.00362800202381,1.11627807045887,1.13201587099918,"1.12 (1.12, 1.13)",-0.124270023087332,-0.116278070458871,-0.132015870999175,"-0.12 (-0.13, -0.12)",0.669187909686002,"version 24 + w added + lastminute","Mode variantinf","Writing to data/temp/ROmicron.csv","Study period: 2021-12-07 to 2022-02-13","VR","2022-08-30 23:19:07"
