"beta","se","low","high","p","model.betas","hr","hr.se","hr.low","hr.high","model.hr","eff","eff.high","eff.low","model.effectiveness","model.concordance","model.ctool.version","model.age.filter","model.input.file","model.input.horizon","model.mode","model.calculated.at"
-3.94539553096457,0.178933418760225,-4.296,-3.595,0,"-3.95 (-4.3, -3.6)",0.0193435638778999,1.1959411142749,0.013622941941598,0.0274606831760161,"0.02 (0.01, 0.03)",0.9806564361221,0.986377058058402,0.972539316823984,"0.98 (0.97, 0.99)",0.913662412260125,"version 21","Mode varianthosp","Writing to data/temp/UDelta.csv","Study period: 2021-12-07 to 2022-02-13","VU","2022-02-17 13:37:06"
-3.53578791146334,0.507768472347699,-4.531,-2.541,3.32189831198093e-12,"-3.54 (-4.53, -2.54)",0.0291357915190753,1.66157919485105,0.0107699007852121,0.0787875728109431,"0.03 (0.01, 0.08)",0.970864208480925,0.989230099214788,0.921212427189057,"0.97 (0.92, 0.99)",0.913662412260125,"version 21","Mode varianthosp","Writing to data/temp/UDelta.csv","Study period: 2021-12-07 to 2022-02-13","VU","2022-02-17 13:37:06"
-1.86150456772449,0.291877340077862,-2.434,-1.289,1.79773418373941e-10,"-1.86 (-2.43, -1.29)",0.155438586464362,1.33893877344071,0.0876853886085825,0.275546191554124,"0.16 (0.09, 0.28)",0.844561413535638,0.912314611391418,0.724453808445876,"0.84 (0.72, 0.91)",0.913662412260125,"version 21","Mode varianthosp","Writing to data/temp/UDelta.csv","Study period: 2021-12-07 to 2022-02-13","VU","2022-02-17 13:37:06"
-1.76063237315405,0.235366099697531,-2.222,-1.299,7.40518757424979e-14,"-1.76 (-2.22, -1.3)",0.171936101662637,1.2653719362281,0.108392107680786,0.272804461138376,"0.17 (0.11, 0.27)",0.828063898337363,0.891607892319214,0.727195538861624,"0.83 (0.73, 0.89)",0.913662412260125,"version 21","Mode varianthosp","Writing to data/temp/UDelta.csv","Study period: 2021-12-07 to 2022-02-13","VU","2022-02-17 13:37:06"
-2.00475760009341,0.0896434839372495,-2.18,-1.829,0,"-2 (-2.18, -1.83)",0.134692941295089,1.09378426252616,0.11304153064045,0.160574061576474,"0.13 (0.11, 0.16)",0.865307058704911,0.88695846935955,0.839425938423526,"0.87 (0.84, 0.89)",0.913662412260125,"version 21","Mode varianthosp","Writing to data/temp/UDelta.csv","Study period: 2021-12-07 to 2022-02-13","VU","2022-02-17 13:37:06"
-1.15729543167498,0.292103697912578,-1.73,-0.585,7.43452437624859e-05,"-1.16 (-1.73, -0.58)",0.314335173239161,1.33924188702706,0.177284409969878,0.557105861812174,"0.31 (0.18, 0.56)",0.685664826760839,0.822715590030122,0.442894138187826,"0.69 (0.44, 0.82)",0.913662412260125,"version 21","Mode varianthosp","Writing to data/temp/UDelta.csv","Study period: 2021-12-07 to 2022-02-13","VU","2022-02-17 13:37:06"
-17.3362671060456,0.0532126687786379,-17.441,-17.232,0,"-17.34 (-17.44, -17.23)",2.95770502407131e-08,1.05465391323071,2.66360573393266e-08,3.28274756484182e-08,"0 (0, 0)",0.99999997042295,0.999999973363943,0.999999967172524,"1 (1, 1)",0.913662412260125,"version 21","Mode varianthosp","Writing to data/temp/UDelta.csv","Study period: 2021-12-07 to 2022-02-13","VU","2022-02-17 13:37:06"
-16.6852342574728,0.045770839906708,-16.775,-16.596,0,"-16.69 (-16.77, -16.6)",5.67145946855786e-08,1.04683449077835,5.1845380488542e-08,6.2008150553573e-08,"0 (0, 0)",0.999999943285405,0.99999994815462,0.999999937991849,"1 (1, 1)",0.913662412260125,"version 21","Mode varianthosp","Writing to data/temp/UDelta.csv","Study period: 2021-12-07 to 2022-02-13","VU","2022-02-17 13:37:06"
-3.20653520240092,0.579207624768581,-4.342,-2.071,3.09330175918276e-08,"-3.21 (-4.34, -2.07)",0.0404966832858005,1.78462377867683,0.0130104812027139,0.126059658995199,"0.04 (0.01, 0.13)",0.9595033167142,0.986989518797286,0.873940341004801,"0.96 (0.87, 0.99)",0.913662412260125,"version 21","Mode varianthosp","Writing to data/temp/UDelta.csv","Study period: 2021-12-07 to 2022-02-13","VU","2022-02-17 13:37:06"
-15.6519477523262,0.0410677207953611,-15.732,-15.571,0,"-15.65 (-15.73, -15.57)",1.59384270907402e-07,1.04192266298779,1.47122538820305e-07,1.72822634925947e-07,"0 (0, 0)",0.999999840615729,0.999999852877461,0.999999827177365,"1 (1, 1)",0.913662412260125,"version 21","Mode varianthosp","Writing to data/temp/UDelta.csv","Study period: 2021-12-07 to 2022-02-13","VU","2022-02-17 13:37:06"
-2.49316423083841,0.406587971248903,-3.29,-1.696,8.68256799790856e-10,"-2.49 (-3.29, -1.7)",0.08264803492677,1.50168524068136,0.0372538493962158,0.183415721567712,"0.08 (0.04, 0.18)",0.91735196507323,0.962746150603784,0.816584278432288,"0.92 (0.82, 0.96)",0.913662412260125,"version 21","Mode varianthosp","Writing to data/temp/UDelta.csv","Study period: 2021-12-07 to 2022-02-13","VU","2022-02-17 13:37:06"
-18.2421334149395,0.200642586087611,-18.635,-17.849,0,"-18.24 (-18.64, -17.85)",1.1954794627974e-08,1.22218786680286,8.07090675308095e-09,1.77124155457546e-08,"0 (0, 0)",0.999999988045205,0.999999991929093,0.999999982287584,"1 (1, 1)",0.913662412260125,"version 21","Mode varianthosp","Writing to data/temp/UDelta.csv","Study period: 2021-12-07 to 2022-02-13","VU","2022-02-17 13:37:06"
-1.71653884271451,1.02073495988143,-3.717,0.284,0.0926329467958003,"-1.72 (-3.72, 0.28)",0.179686997823726,2.77523370003554,0.0243067789112182,1.32843293075279,"0.18 (0.02, 1.33)",0.820313002176274,0.975693221088782,-0.328432930752795,"0.82 (-0.33, 0.98)",0.913662412260125,"version 21","Mode varianthosp","Writing to data/temp/UDelta.csv","Study period: 2021-12-07 to 2022-02-13","VU","2022-02-17 13:37:06"
-0.916463146310155,0.429147962189908,-1.758,-0.075,0.0327168300608894,"-0.92 (-1.76, -0.07)",0.399931040170606,1.53594827985614,0.172389297869932,0.927743486328553,"0.4 (0.17, 0.93)",0.600068959829394,0.827610702130068,0.0722565136714471,"0.6 (0.07, 0.83)",0.913662412260125,"version 21","Mode varianthosp","Writing to data/temp/UDelta.csv","Study period: 2021-12-07 to 2022-02-13","VU","2022-02-17 13:37:06"
-3.04310293842979,1.01993689992147,-5.042,-1.044,0.00284861399681291,"-3.04 (-5.04, -1.04)",0.0476866908218871,2.77301978067771,0.00646081376052211,0.352043687101985,"0.05 (0.01, 0.35)",0.952313309178113,0.993539186239478,0.647956312898015,"0.95 (0.65, 0.99)",0.913662412260125,"version 21","Mode varianthosp","Writing to data/temp/UDelta.csv","Study period: 2021-12-07 to 2022-02-13","VU","2022-02-17 13:37:06"
-0.507074237995375,0.333880922078535,-1.161,0.147,0.128831026193698,"-0.51 (-1.16, 0.15)",0.60225505861517,1.39637685602052,0.313172851392578,1.15835396302986,"0.6 (0.31, 1.16)",0.39774494138483,0.686827148607422,-0.158353963029855,"0.4 (-0.16, 0.69)",0.913662412260125,"version 21","Mode varianthosp","Writing to data/temp/UDelta.csv","Study period: 2021-12-07 to 2022-02-13","VU","2022-02-17 13:37:06"
-0.148413881578572,0.299958112178383,-0.736,0.439,0.620753995317584,"-0.15 (-0.74, 0.44)",0.86207424444694,1.34980226611527,0.479026193188751,1.55115528738771,"0.86 (0.48, 1.55)",0.13792575555306,0.520973806811249,-0.551155287387714,"0.14 (-0.55, 0.52)",0.913662412260125,"version 21","Mode varianthosp","Writing to data/temp/UDelta.csv","Study period: 2021-12-07 to 2022-02-13","VU","2022-02-17 13:37:06"
