"beta","se","low","high","p","model.betas","hr","hr.se","hr.low","hr.high","model.hr","eff","eff.high","eff.low","model.effectiveness","model.concordance","model.ctool.version","model.age.filter","model.input.file","model.input.horizon","model.mode","model.calculated.at"
-3.93197709089203,0.17656625898084,-4.278,-3.586,0,"-3.93 (-4.28, -3.59)",0.0196048735941471,1.19311347862374,0.0138703751144428,0.0277089448262625,"0.02 (0.01, 0.03)",0.980395126405853,0.986129624885557,0.972291055173737,"0.98 (0.97, 0.99)",0.911313500670442,"version 27","Mode varianthosp","Writing to data/temp/UDeltaInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VUI","2022-02-23 13:05:43"
-3.54563919802083,0.507797252128005,-4.541,-2.55,2.9020119640677e-12,"-3.55 (-4.54, -2.55)",0.0288501756395422,1.66162701542337,0.0106627384818942,0.0780816660011532,"0.03 (0.01, 0.08)",0.971149824360458,0.989337261518106,0.921918333998847,"0.97 (0.92, 0.99)",0.911313500670442,"version 27","Mode varianthosp","Writing to data/temp/UDeltaInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VUI","2022-02-23 13:05:43"
-1.85608121434116,0.291879791663156,-2.428,-1.284,2.02991623510229e-10,"-1.86 (-2.43, -1.28)",0.156283874925326,1.33894205596734,0.0882130824386436,0.276927372587017,"0.16 (0.09, 0.28)",0.843716125074674,0.911786917561356,0.723072627412983,"0.84 (0.72, 0.91)",0.911313500670442,"version 27","Mode varianthosp","Writing to data/temp/UDeltaInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VUI","2022-02-23 13:05:43"
-1.95931519501366,0.0867532680900719,-2.129,-1.789,0,"-1.96 (-2.13, -1.79)",0.140954914505932,1.09062755389929,0.11895619058472,0.167127213344626,"0.14 (0.12, 0.17)",0.859045085494068,0.88104380941528,0.832872786655374,"0.86 (0.83, 0.88)",0.911313500670442,"version 27","Mode varianthosp","Writing to data/temp/UDeltaInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VUI","2022-02-23 13:05:43"
-15.6651809563216,0.0555602369710428,-15.774,-15.556,0,"-15.67 (-15.77, -15.56)",1.57289000483774e-07,1.05713269362602,1.41071356515892e-07,1.75434514574642e-07,"0 (0, 0)",0.999999842711,0.999999858928644,0.999999824565485,"1 (1, 1)",0.911313500670442,"version 27","Mode varianthosp","Writing to data/temp/UDeltaInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VUI","2022-02-23 13:05:43"
-3.46574676112554,0.57909829360154,-4.601,-2.331,2.16749496129154e-09,"-3.47 (-4.6, -2.33)",0.0312496606791607,1.78442867434207,0.0100417889331319,0.0971984999741049,"0.03 (0.01, 0.1)",0.968750339320839,0.989958211066868,0.902801500025895,"0.97 (0.9, 0.99)",0.911313500670442,"version 27","Mode varianthosp","Writing to data/temp/UDeltaInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VUI","2022-02-23 13:05:43"
-4.76912579776635,0.501630987911574,-5.752,-3.786,0,"-4.77 (-5.75, -3.79)",0.00848779696865429,1.65141250925438,0.00317642159623665,0.0226861652646021,"0.01 (0, 0.02)",0.991512203031346,0.996823578403763,0.977313834735398,"0.99 (0.98, 1)",0.911313500670442,"version 27","Mode varianthosp","Writing to data/temp/UDeltaInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VUI","2022-02-23 13:05:43"
-1.15566103104776,0.292108531064126,-1.728,-0.583,7.61282280813402e-05,"-1.16 (-1.73, -0.58)",0.314849342908617,1.3392483598017,0.177639333595135,0.558221188490701,"0.31 (0.18, 0.56)",0.685150657091383,0.822360666404865,0.441778811509299,"0.69 (0.44, 0.82)",0.911313500670442,"version 27","Mode varianthosp","Writing to data/temp/UDeltaInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VUI","2022-02-23 13:05:43"
-2.48916549386255,0.406606644368731,-3.286,-1.692,9.25227783277194e-10,"-2.49 (-3.29, -1.69)",0.0829791843284386,1.50171328209162,0.0374031632223679,0.184150853738148,"0.08 (0.04, 0.18)",0.917020815671561,0.962596836777632,0.815849146261852,"0.92 (0.82, 0.96)",0.911313500670442,"version 27","Mode varianthosp","Writing to data/temp/UDeltaInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VUI","2022-02-23 13:05:43"
-16.0460493880903,0.200144795969368,-16.438,-15.654,0,"-16.05 (-16.44, -15.65)",1.07470506185219e-07,1.22157962516103,7.26218497246884e-08,1.590575103197e-07,"0 (0, 0)",0.999999892529494,0.99999992737815,0.99999984094249,"1 (1, 1)",0.911313500670442,"version 27","Mode varianthosp","Writing to data/temp/UDeltaInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VUI","2022-02-23 13:05:43"
