"beta","se","low","high","p","model.betas","hr","hr.se","hr.low","hr.high","model.hr","eff","eff.high","eff.low","model.effectiveness","model.concordance","model.ctool.version","model.age.filter","model.input.file","model.input.horizon","model.mode","model.calculated.at"
-1.83299757648894,0.206319617422097,-2.237,-1.429,0,"-1.83 (-2.24, -1.43)",0.159933435811564,1.22914599769528,0.106778359435083,0.239548350860354,"0.16 (0.11, 0.24)",0.840066564188436,0.893221640564917,0.760451649139646,"0.84 (0.76, 0.89)",0.826448038105901,"version 21","Mode varianthosp","Writing to data/temp/UOmicron.csv","Study period: 2021-12-07 to 2022-02-13","VU","2022-02-17 13:06:41"
-0.951562254024399,0.230844740345965,-1.404,-0.499,3.75454276405618e-05,"-0.95 (-1.4, -0.5)",0.386137307435887,1.2596636493236,0.245612546233812,0.60713749373879,"0.39 (0.25, 0.61)",0.613862692564113,0.754387453766188,0.39286250626121,"0.61 (0.39, 0.75)",0.826448038105901,"version 21","Mode varianthosp","Writing to data/temp/UOmicron.csv","Study period: 2021-12-07 to 2022-02-13","VU","2022-02-17 13:06:41"
-0.922614462548611,0.426738429295571,-1.759,-0.086,0.0306170963549577,"-0.92 (-1.76, -0.09)",0.397478488811881,1.53225181711454,0.172216994737987,0.917594231220151,"0.4 (0.17, 0.92)",0.602521511188119,0.827783005262013,0.0824057687798491,"0.6 (0.08, 0.83)",0.826448038105901,"version 21","Mode varianthosp","Writing to data/temp/UOmicron.csv","Study period: 2021-12-07 to 2022-02-13","VU","2022-02-17 13:06:41"
-2.0936668949586,1.01134281346227,-4.076,-0.111,0.0384350074144795,"-2.09 (-4.08, -0.11)",0.123234418623155,2.74929032149275,0.0169752309555681,0.894938748929031,"0.12 (0.02, 0.89)",0.876765581376845,0.983024769044432,0.105061251070969,"0.88 (0.11, 0.98)",0.826448038105901,"version 21","Mode varianthosp","Writing to data/temp/UOmicron.csv","Study period: 2021-12-07 to 2022-02-13","VU","2022-02-17 13:06:41"
-0.5027353807486,0.169622849974217,-0.835,-0.17,0.00303823927344538,"-0.5 (-0.84, -0.17)",0.604873834479616,1.18485789785468,0.433874481432991,0.843664816596384,"0.6 (0.43, 0.84)",0.395126165520384,0.566125518567009,0.156335183403616,"0.4 (0.16, 0.57)",0.826448038105901,"version 21","Mode varianthosp","Writing to data/temp/UOmicron.csv","Study period: 2021-12-07 to 2022-02-13","VU","2022-02-17 13:06:41"
0.257275286066738,0.509030115869685,-0.74,1.255,0.613262101951725,"0.26 (-0.74, 1.25)",1.29340113306595,1.66367683843948,0.477113915521034,3.50783837434258,"1.29 (0.48, 3.51)",-0.293401133065953,0.522886084478966,-2.50783837434258,"-0.29 (-2.51, 0.52)",0.826448038105901,"version 21","Mode varianthosp","Writing to data/temp/UOmicron.csv","Study period: 2021-12-07 to 2022-02-13","VU","2022-02-17 13:06:41"
-2.13308817078147,1.00403841744931,-4.101,-0.165,0.0336276445022528,"-2.13 (-4.1, -0.16)",0.118470870074597,2.72928158107427,0.0165561110099358,0.847893704087916,"0.12 (0.02, 0.85)",0.881529129925403,0.983443888990064,0.152106295912084,"0.88 (0.15, 0.98)",0.826448038105901,"version 21","Mode varianthosp","Writing to data/temp/UOmicron.csv","Study period: 2021-12-07 to 2022-02-13","VU","2022-02-17 13:06:41"
-16.538598728874,0.088746459539163,-16.713,-16.365,0,"-16.54 (-16.71, -16.36)",6.56716357201617e-08,1.09280355128315,5.5161532587906e-08,7.8121541396078e-08,"0 (0, 0)",0.999999934328364,0.999999944838467,0.999999921878459,"1 (1, 1)",0.826448038105901,"version 21","Mode varianthosp","Writing to data/temp/UOmicron.csv","Study period: 2021-12-07 to 2022-02-13","VU","2022-02-17 13:06:41"
-2.00443611126071,0.584103013467851,-3.149,-0.86,0.000599925027029768,"-2 (-3.15, -0.86)",0.134736250532904,1.79338162479586,0.0428950004271145,0.423162082317749,"0.13 (0.04, 0.42)",0.865263749467096,0.957104999572886,0.576837917682251,"0.87 (0.58, 0.96)",0.826448038105901,"version 21","Mode varianthosp","Writing to data/temp/UOmicron.csv","Study period: 2021-12-07 to 2022-02-13","VU","2022-02-17 13:06:41"
-15.9637822254501,0.0722607740717223,-16.105,-15.822,0,"-15.96 (-16.1, -15.82)",1.16685655207892e-07,1.07493562285672,1.01318177453279e-07,1.34459876284153e-07,"0 (0, 0)",0.999999883314345,0.999999898681823,0.999999865540124,"1 (1, 1)",0.826448038105901,"version 21","Mode varianthosp","Writing to data/temp/UOmicron.csv","Study period: 2021-12-07 to 2022-02-13","VU","2022-02-17 13:06:41"
