"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 75","Max"
"Subject","16558275","4767441.311","2940003.304","1","2286465","6864619","10819487"
"T1","16558275","10.067","15.61","0","0","18","52"
"T2","16558275","43.92","18.831","1","32","53","68"
"Infected","16558275","0.047","0.212","0","0","0","1"
"Hospitalized","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"Oxygen","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"ICU","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"DeadByCov","16558275","0","0.004","0","0","0","1"
"DeadByOther","16558275","0","0.019","0","0","0","1"
"VariantInf","16558275","0.012","0.109","0","0","0","1"
"VariantHosp","16558275","0","0.011","0","0","0","1"
"VariantOxygen","16558233","0","0.007","0","0","0","1"
"VariantICU","16558275","0","0.004","0","0","0","1"
"VariantDeath","0","","","","","",""
"... No","0","NaN%","","","","",""
"... Yes","0","NaN%","","","","",""
"InfPrior","16558275","","","","","",""
"... _noinf","12858966","77.7%","","","","",""
"... inf1","415803","2.5%","","","","",""
"... inf2","769523","4.6%","","","","",""
"... inf3","1838728","11.1%","","","","",""
"... inf4+","675255","4.1%","","","","",""
"InfPriorSeverity","16558275","","","","","",""
"... _no_or_unknown_severity","14535954","87.8%","","","","",""
"... hospitalized","207262","1.3%","","","","",""
"... symptoms","1815059","11%","","","","",""
"Age","16558275","44.502","22.322","0","28","63","120"
"Sex","16558275","","","","","",""
"... M","8172284","49.4%","","","","",""
"... Z","8385991","50.6%","","","","",""
"InfPriorTime","3699309","-299.495","114.975","-705","-391","-267","-8"
"LastVaccTime","12161575","-69.786","77.631","-317","-134","3","52"
