"beta","se","low","high","p","model.betas","or","or.se","or.low","or.high","model.or","eff","eff.high","eff.low","model.effectiveness","model.ctool.version","model.age.filter","model.input.file","model.input.horizon","model.mode","model.calculated.at"
-5.29397942551322,0.115170482999471,-5.52664498846042,-5.07471137352746,0,"-5.29 (-5.53, -5.07)",0.00502173681760415,1.12206471422485,0.00397931737402364,0.00625289092905637,"0.01 (0, 0.01)",0.994978263182396,0.996020682625976,0.993747109070944,"0.99 (0.99, 1)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","D","2022-02-17 12:15:21"
-1.94064822891549,0.232648756513575,-2.42906735790219,-1.51241872168584,7.33310259851137e-17,"-1.94 (-2.43, -1.51)",0.143610826907916,1.2619381539174,0.0881189777386576,0.220376303869792,"0.14 (0.09, 0.22)",0.856389173092084,0.911881022261342,0.779623696130208,"0.86 (0.78, 0.91)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","D","2022-02-17 12:15:21"
-15.388445456668,1984.64227080369,-599.882292256562,82.0750619289565,0.993813454345371,"-15.39 (-599.88, 82.08)",2.0743548595723e-07,Inf,2.98147163206628e-261,4.41312773117988e+35,"0 (0, 4.41312773117988e+35)",0.999999792564514,1,-4.41312773117988e+35,"1 (-4.41312773117988e+35, 1)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","D","2022-02-17 12:15:21"
-1.0898983838656,0.509795778714822,-2.27341537766308,-0.221334101437046,0.0325239066660424,"-1.09 (-2.27, -0.22)",0.336250660463064,1.66495114176209,0.102959931843714,0.801448870335543,"0.34 (0.1, 0.8)",0.663749339536936,0.897040068156286,0.198551129664457,"0.66 (0.2, 0.9)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","D","2022-02-17 12:15:21"
-1.67720936996784,0.183791641849249,-2.05598485253007,-1.33324254302308,7.13386774082534e-20,"-1.68 (-2.06, -1.33)",0.186894803234163,1.20176539939204,0.127966745124772,0.26362107126811,"0.19 (0.13, 0.26)",0.813105196765837,0.872033254875228,0.73637892873189,"0.81 (0.74, 0.87)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","D","2022-02-17 12:15:21"
-0.727694307570055,0.371968685807916,-1.53926321953928,-0.0618156697981655,0.0504260364794532,"-0.73 (-1.54, -0.06)",0.483021405952171,1.45058755660456,0.214539111435852,0.940056151561786,"0.48 (0.21, 0.94)",0.516978594047829,0.785460888564148,0.0599438484382137,"0.52 (0.06, 0.79)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","D","2022-02-17 12:15:21"
-1.03855959653595,0.389375213735378,-1.90056113882402,-0.351095285577537,0.0076475604481464,"-1.04 (-1.9, -0.35)",0.353964166150368,1.47605828478503,0.149484714006972,0.703916677552811,"0.35 (0.15, 0.7)",0.646035833849632,0.850515285993028,0.296083322447189,"0.65 (0.3, 0.85)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","D","2022-02-17 12:15:21"
-1.01507820811264,0.0802051392798368,-1.17369901235635,-0.859162010298355,1.03614999280289e-36,"-1.02 (-1.17, -0.86)",0.362374088130728,1.08350931519895,0.309221010826786,0.423516836404234,"0.36 (0.31, 0.42)",0.637625911869272,0.690778989173214,0.576483163595766,"0.64 (0.58, 0.69)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","D","2022-02-17 12:15:21"
-0.267803364579767,0.295829786921994,-0.895636164842829,0.273420051921081,0.365326781749567,"-0.27 (-0.9, 0.27)",0.765058203854576,1.34424132990359,0.408347739517463,1.31445226707757,"0.77 (0.41, 1.31)",0.234941796145424,0.591652260482537,-0.314452267077574,"0.23 (-0.31, 0.59)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","D","2022-02-17 12:15:21"
-16.5254978780007,222.675705105986,-189.545521384947,-177.626467704554,0.940840666838103,"-16.53 (-189.55, -177.63)",6.65376504046497e-08,5.09131516117046e+96,4.80204242950666e-83,7.20784163242999e-78,"0 (0, 0)",0.99999993346235,1,1,"1 (1, 1)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","D","2022-02-17 12:15:21"
