"beta","se","low","high","p","model.betas","or","or.se","or.low","or.high","model.or","eff","eff.high","eff.low","model.effectiveness","model.ctool.version","model.age.filter","model.input.file","model.input.horizon","model.mode","model.calculated.at"
-5.29120144349481,0.115153005511883,-5.52383440732637,-5.07196919248879,0,"-5.29 (-5.52, -5.07)",0.00503570650697371,1.12204510352411,0.00399051730013932,0.00627006101898713,"0.01 (0, 0.01)",0.994964293493026,0.996009482699861,0.993729938981013,"0.99 (0.99, 1)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","DI","2022-02-17 12:28:12"
-1.94282320897116,0.232849257501449,-2.43160536216914,-1.51418028203473,7.20044934438617e-17,"-1.94 (-2.43, -1.51)",0.143298815655737,1.26219119913096,0.0878956149648934,0.219988439434662,"0.14 (0.09, 0.22)",0.856701184344263,0.912104385035107,0.780011560565337,"0.86 (0.78, 0.91)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","DI","2022-02-17 12:28:12"
-1.7048199810009,0.186386352632163,-2.08933319258048,-1.35631002690701,5.86994526268404e-20,"-1.7 (-2.09, -1.36)",0.181805111603902,1.2048876819908,0.123769638821068,0.257609597799648,"0.18 (0.12, 0.26)",0.818194888396098,0.876230361178932,0.742390402200352,"0.82 (0.74, 0.88)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","DI","2022-02-17 12:28:12"
-0.719062966131887,0.37218046744754,-1.53095707948846,-0.0526656563575261,0.0533560891491562,"-0.72 (-1.53, -0.05)",0.487208573068091,1.4508947969485,0.216328524612128,0.948697150323677,"0.49 (0.22, 0.95)",0.512791426931909,0.783671475387872,0.0513028496763228,"0.51 (0.05, 0.78)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","DI","2022-02-17 12:28:12"
-1.02908961418085,0.389528551414812,-1.89132281212616,-0.341249297870924,0.00824460587221932,"-1.03 (-1.89, -0.34)",0.357332122632394,1.47628463749088,0.150872101332596,0.710881664828609,"0.36 (0.15, 0.71)",0.642667877367606,0.849127898667404,0.289118335171391,"0.64 (0.29, 0.85)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","DI","2022-02-17 12:28:12"
-1.01731272492792,0.0803697749795936,-1.17626231877413,-0.861079126780955,1.01167123370023e-36,"-1.02 (-1.18, -0.86)",0.361565261142673,1.08368771419827,0.308429397632254,0.422705683082644,"0.36 (0.31, 0.42)",0.638434738857327,0.691570602367746,0.577294316917356,"0.64 (0.58, 0.69)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","DI","2022-02-17 12:28:12"
-18.3047623683598,7562.7880481398,NA,417.525964270711,0.998068824231223,"-18.3 (NA, 417.53)",1.12290421200157e-08,Inf,NA,2.13413719053989e+181,"0 (NA, 2.13413719053989e+181)",0.999999988770958,NA,-2.13413719053989e+181,"1 (-2.13413719053989e+181, NA)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","DI","2022-02-17 12:28:12"
-14.8474418598758,2060.04330292451,-1615.54649310427,-1505.26455337962,0.994249420850365,"-14.85 (-1615.55, -1505.26)",3.56318137720308e-07,Inf,0,0,"0 (0, 0)",0.999999643681862,1,1,"1 (1, 1)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","DI","2022-02-17 12:28:12"
-1.44030491576747,0.718449358915522,-3.24809753154533,-0.280171338480496,0.0449907385258487,"-1.44 (-3.25, -0.28)",0.236855526685645,2.05124999075575,0.0388480447529132,0.755654257710972,"0.24 (0.04, 0.76)",0.763144473314355,0.961151955247087,0.244345742289028,"0.76 (0.24, 0.96)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","DI","2022-02-17 12:28:12"
-0.995176916443759,1.0261058692487,-3.88412065400412,0.574864378138462,0.332117311515216,"-1 (-3.88, 0.57)",0.369658040172801,2.790179328592,0.0205659053590029,1.77688952550668,"0.37 (0.02, 1.78)",0.630341959827199,0.979434094640997,-0.776889525506682,"0.63 (-0.78, 0.98)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","DI","2022-02-17 12:28:12"
-17.4304419338613,5461.57500063119,NA,289.562176867296,0.997453581266138,"-17.43 (NA, 289.56)",2.69187724304566e-08,Inf,NA,5.69187798083761e+125,"0 (NA, 5.69187798083761e+125)",0.999999973081228,NA,-5.69187798083761e+125,"1 (-5.69187798083761e+125, NA)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","DI","2022-02-17 12:28:12"
-16.1759902108732,2480.85577542603,-1945.13114312783,-1811.79191972913,0.994797568838831,"-16.18 (-1945.13, -1811.79)",9.43749451213362e-08,Inf,0,0,"0 (0, 0)",0.999999905625055,1,1,"1 (1, 1)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","DI","2022-02-17 12:28:12"
-1.96753762004528,1.00932895894086,-4.84060485621699,-0.454294642313311,0.0512533795055427,"-1.97 (-4.84, -0.45)",0.139800675115003,2.74375922203228,0.00790227286690264,0.634895638564619,"0.14 (0.01, 0.63)",0.860199324884997,0.992097727133097,0.365104361435381,"0.86 (0.37, 0.99)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","DI","2022-02-17 12:28:12"
-0.269490412245461,0.295830051021588,-0.897323801711875,0.271733344221187,0.362314545921039,"-0.27 (-0.9, 0.27)",0.763768602313143,1.34424168491723,0.407659178001188,1.31223703906382,"0.76 (0.41, 1.31)",0.236231397686857,0.592340821998812,-0.312237039063815,"0.24 (-0.31, 0.59)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","DI","2022-02-17 12:28:12"
-16.5251177394436,222.663644272464,-189.539677009907,-177.619646706821,0.940838826711504,"-16.53 (-189.54, -177.62)",6.65629487392025e-08,5.03027847315538e+96,4.83018953743345e-83,7.2571743618128e-78,"0 (0, 0)",0.999999933437051,1,1,"1 (1, 1)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","DI","2022-02-17 12:28:12"
-16.3014221044613,258.519436029906,-217.176721858523,-203.337194882838,0.949721232115129,"-16.3 (-217.18, -203.34)",8.32496340025464e-08,1.87743336855135e+112,4.80118122370735e-95,4.91788418166812e-89,"0 (0, 0)",0.999999916750366,1,1,"1 (1, 1)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","DI","2022-02-17 12:28:12"
3.63893195648288,0.114727249154343,3.420163661918,3.8704347368709,8.74305731703791e-221,"3.64 (3.42, 3.87)",38.0511747043985,1.12156748736911,30.5744184795712,47.9632329348471,"38.05 (30.57, 47.96)",-37.0511747043985,-29.5744184795712,-46.9632329348471,"-37.05 (-46.96, -29.57)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","DI","2022-02-17 12:28:12"
-0.336565214801389,0.0724590030770606,-0.478693278275314,-0.19456940445707,3.40232318315227e-06,"-0.34 (-0.48, -0.19)",0.714219304387258,1.07514872739709,0.619592498030298,0.82318904328522,"0.71 (0.62, 0.82)",0.285780695612742,0.380407501969702,0.17681095671478,"0.29 (0.18, 0.38)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","DI","2022-02-17 12:28:12"
