"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 75","Max"
"Subject","398859","5479488.724","2563062.003","13","3333304","7635220.5","8390834"
"Hosp15","312153","0.022","0.146","0","0","0","1"
"Oxygen15","312080","0.012","0.109","0","0","0","1"
"ICU15","312153","0.004","0.06","0","0","0","1"
"DeathByCov30","128873","0.007","0.081","0","0","0","1"
"Variant","398859","","","","","",""
"... Delta","89395","22.4%","","","","",""
"... Omikron","309464","77.6%","","","","",""
"InfPrior","398859","","","","","",""
"... _noinf","350486","87.9%","","","","",""
"... inf1","5591","1.4%","","","","",""
"... inf2+","42782","10.7%","","","","",""
"InfPriorSeverity","398859","","","","","",""
"... _no_or_unknown_severity","372367","93.4%","","","","",""
"... hospitalized","1137","0.3%","","","","",""
"... symptoms","25355","6.4%","","","","",""
"VaccStatus","398859","","","","","",""
"... _novacc","194904","48.9%","","","","",""
"... boost1","38553","9.7%","","","","",""
"... boost2","10350","2.6%","","","","",""
"... full1","15074","3.8%","","","","",""
"... full2","136030","34.1%","","","","",""
"... part1","3948","1%","","","","",""
"Age","398859","34.745","18.787","0","18","47","117"
"AgeGr","398859","","","","","",""
"... _40-64","140553","35.2%","","","","",""
"... 0-24","132828","33.3%","","","","",""
"... 25-39","99976","25.1%","","","","",""
"... 65+","25502","6.4%","","","","",""
"Sex","398859","","","","","",""
"... M","192721","48.3%","","","","",""
"... Z","206138","51.7%","","","","",""
