"beta","se","low","high","p","model.betas","or","or.se","or.low","or.high","model.or","eff","eff.high","eff.low","model.effectiveness","model.ctool.version","model.age.filter","model.input.file","model.input.horizon","model.mode","model.calculated.at"
-0.901702719537461,0.0729103996411836,-1.04575124460167,-0.759861859482971,3.92943068069722e-35,"-0.9 (-1.05, -0.76)",0.405877974677569,1.07563415539058,0.351427712014344,0.467731035154332,"0.41 (0.35, 0.47)",0.594122025322431,0.648572287985656,0.532268964845668,"0.59 (0.53, 0.65)","version 27 erratum","Last minute excluding: inf6+_full2+","Last minute excluding: inf6+_boost2+","Last minute excluding: full2+_inf6-","IPI","2022-09-02 00:13:01"
-0.480115477349795,0.0829666921751296,-0.644308828992712,-0.318969331565955,7.17202394702237e-09,"-0.48 (-0.64, -0.32)",0.618711940465543,1.08650561880667,0.525025298993387,0.726897841783017,"0.62 (0.53, 0.73)",0.381288059534457,0.474974701006613,0.273102158216983,"0.38 (0.27, 0.47)","version 27 erratum","Last minute excluding: inf6+_full2+","Last minute excluding: inf6+_boost2+","Last minute excluding: full2+_inf6-","IPI","2022-09-02 00:13:01"
-0.191875692939881,0.13467310318063,-0.461471570273014,0.0670737594324289,0.154229074005585,"-0.19 (-0.46, 0.07)",0.825409466338887,1.14416270006367,0.630355350453581,1.06937435171097,"0.83 (0.63, 1.07)",0.174590533661113,0.369644649546419,-0.0693743517109671,"0.17 (-0.07, 0.37)","version 27 erratum","Last minute excluding: inf6+_full2+","Last minute excluding: inf6+_boost2+","Last minute excluding: full2+_inf6-","IPI","2022-09-02 00:13:01"
0.0894047646910642,0.188236219409822,-0.29043700375805,0.44913524981571,0.634815143650342,"0.09 (-0.29, 0.45)",1.09352318633472,1.20711862652343,0.747936645025916,1.5669565734561,"1.09 (0.75, 1.57)",-0.0935231863347157,0.252063354974084,-0.566956573456097,"-0.09 (-0.57, 0.25)","version 27 erratum","Last minute excluding: inf6+_full2+","Last minute excluding: inf6+_boost2+","Last minute excluding: full2+_inf6-","IPI","2022-09-02 00:13:01"
-0.849180895255821,0.276131790945612,-1.43145491976459,-0.341411762261643,0.00210309304132596,"-0.85 (-1.43, -0.34)",0.427765172969677,1.31802155588873,0.238961000123698,0.710766181253297,"0.43 (0.24, 0.71)",0.572234827030323,0.761038999876302,0.289233818746703,"0.57 (0.29, 0.76)","version 27 erratum","Last minute excluding: inf6+_full2+","Last minute excluding: inf6+_boost2+","Last minute excluding: full2+_inf6-","IPI","2022-09-02 00:13:01"
-0.451448290541643,0.0815320914201528,-0.612608201039877,-0.292893835825286,3.07586712760804e-08,"-0.45 (-0.61, -0.29)",0.636705349205002,1.08494803454855,0.541935547296963,0.746101345726401,"0.64 (0.54, 0.75)",0.363294650794998,0.458064452703037,0.253898654273599,"0.36 (0.25, 0.46)","version 27 erratum","Last minute excluding: inf6+_full2+","Last minute excluding: inf6+_boost2+","Last minute excluding: full2+_inf6-","IPI","2022-09-02 00:13:01"
-0.940555199813127,1.03708803459777,-3.8398902731394,0.666957743842899,0.364449451024743,"-0.94 (-3.84, 0.67)",0.390411019051084,2.82099041588857,0.0214959598998845,1.94830106449919,"0.39 (0.02, 1.95)",0.609588980948916,0.978504040100115,-0.948301064499186,"0.61 (-0.95, 0.98)","version 27 erratum","Last minute excluding: inf6+_full2+","Last minute excluding: inf6+_boost2+","Last minute excluding: full2+_inf6-","IPI","2022-09-02 00:13:01"
-0.369420716938069,0.283943822690258,-0.964533358592027,0.156379461191698,0.19324663681823,"-0.37 (-0.96, 0.16)",0.691134577252237,1.32835830506073,0.381161023762877,1.16926981143453,"0.69 (0.38, 1.17)",0.308865422747763,0.618838976237123,-0.169269811434535,"0.31 (-0.17, 0.62)","version 27 erratum","Last minute excluding: inf6+_full2+","Last minute excluding: inf6+_boost2+","Last minute excluding: full2+_inf6-","IPI","2022-09-02 00:13:01"
-0.873897889075647,0.183392308074567,-1.24645801632919,-0.525770885288701,1.88682423406601e-06,"-0.87 (-1.25, -0.53)",0.417321701127788,1.20128558968731,0.287521391490248,0.591099518763882,"0.42 (0.29, 0.59)",0.582678298872212,0.712478608509752,0.408900481236118,"0.58 (0.41, 0.71)","version 27 erratum","Last minute excluding: inf6+_full2+","Last minute excluding: inf6+_boost2+","Last minute excluding: full2+_inf6-","IPI","2022-09-02 00:13:01"
-0.75017160590988,0.165046026529125,-1.08375556760678,-0.435493393268852,5.4876159897171e-06,"-0.75 (-1.08, -0.44)",0.472285498803801,1.17944740333238,0.338322543570749,0.646945389819235,"0.47 (0.34, 0.65)",0.527714501196199,0.661677456429251,0.353054610180765,"0.53 (0.35, 0.66)","version 27 erratum","Last minute excluding: inf6+_full2+","Last minute excluding: inf6+_boost2+","Last minute excluding: full2+_inf6-","IPI","2022-09-02 00:13:01"
-0.200203835617377,0.0771852886485926,-0.350749667991076,-0.0481095913902661,0.0094919419019452,"-0.2 (-0.35, -0.05)",0.818563883597012,1.08024221447044,0.704160005582778,0.953029337544159,"0.82 (0.7, 0.95)",0.181436116402988,0.295839994417222,0.0469706624558414,"0.18 (0.05, 0.3)","version 27 erratum","Last minute excluding: inf6+_full2+","Last minute excluding: inf6+_boost2+","Last minute excluding: full2+_inf6-","IPI","2022-09-02 00:13:01"
-0.462936397667683,0.0675769432491974,-0.595769162883239,-0.330816120239714,7.35881404550355e-12,"-0.46 (-0.6, -0.33)",0.629432664620588,1.06991257898109,0.551138487527947,0.718337244577526,"0.63 (0.55, 0.72)",0.370567335379412,0.448861512472053,0.281662755422474,"0.37 (0.28, 0.45)","version 27 erratum","Last minute excluding: inf6+_full2+","Last minute excluding: inf6+_boost2+","Last minute excluding: full2+_inf6-","IPI","2022-09-02 00:13:01"
