"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 75","Max"
"Subject","8466","5688307.036","2523506.184","784","3680121","7718883.25","8390652"
"Hosp15","6830","0.995","0.072","0","1","1","1"
"Oxygen15","6756","0.558","0.497","0","0","1","1"
"ICU15","6830","0.164","0.37","0","0","0","1"
"DeathByCov30","4665","0.178","0.382","0","0","0","1"
"Variant","8466","","","","","",""
"... Delta","4562","53.9%","","","","",""
"... Omikron","3904","46.1%","","","","",""
"InfPrior","8466","","","","","",""
"... _noinf","8335","98.5%","","","","",""
"... inf1","28","0.3%","","","","",""
"... inf2+","103","1.2%","","","","",""
"InfPriorSeverity","8466","","","","","",""
"... _no_or_unknown_severity","8336","98.5%","","","","",""
"... hospitalized","129","1.5%","","","","",""
"... symptoms","1","0%","","","","",""
"VaccStatus","8466","","","","","",""
"... _novacc","4551","53.8%","","","","",""
"... boost1","762","9%","","","","",""
"... boost2","454","5.4%","","","","",""
"... full1","227","2.7%","","","","",""
"... full2","2327","27.5%","","","","",""
"... part1","145","1.7%","","","","",""
"Immunity","8466","","","","","",""
"... _noimmunity","4496","53.1%","","","","",""
"... boost2-_alone","750","8.9%","","","","",""
"... boost2+_alone","446","5.3%","","","","",""
"... full2-_alone","222","2.6%","","","","",""
"... full2+_alone","2276","26.9%","","","","",""
"... infpartorinter","276","3.3%","","","","",""
"Age","8466","64.75","21.883","0","54","80","103"
"AgeGr","8466","","","","","",""
"... _40-64","1886","22.3%","","","","",""
"... 0-24","579","6.8%","","","","",""
"... 25-39","623","7.4%","","","","",""
"... 65+","5378","63.5%","","","","",""
"Sex","8466","","","","","",""
"... M","4207","49.7%","","","","",""
"... Z","4259","50.3%","","","","",""
