"beta","se","low","high","p","model.betas","or","or.se","or.low","or.high","model.or","eff","eff.high","eff.low","model.effectiveness","model.ctool.version","model.age.filter","model.input.file","model.input.horizon","model.mode","model.calculated.at"
0.804922602537526,0.0635155839490914,0.680927591247992,0.92994766970582,8.36346518865313e-37,"0.8 (0.68, 0.93)",2.2365233908858,1.06557609155564,1.97570953338949,2.53437654947725,"2.24 (1.98, 2.53)",-1.2365233908858,-0.975709533389487,-1.53437654947725,"-1.24 (-1.53, -0.98)","version 24 + w added + lastminute","Last minute excluding inf6+_boost2-","Last minute excluding inf6+_full2-","Last minute excluding inf6+_boost2+","OI","2022-08-30 22:02:21"
-0.818029709521486,0.0596165234560062,-0.935023474412732,-0.701303433198681,7.54597133239601e-43,"-0.82 (-0.94, -0.7)",0.441300288250701,1.06142943520002,0.392576649917044,0.4959384596711,"0.44 (0.39, 0.5)",0.558699711749299,0.607423350082956,0.5040615403289,"0.56 (0.5, 0.61)","version 24 + w added + lastminute","Last minute excluding inf6+_boost2-","Last minute excluding inf6+_full2-","Last minute excluding inf6+_boost2+","OI","2022-08-30 22:02:21"
-0.763465600845505,0.101920921482372,-0.963495007344781,-0.563816471874215,6.84736841131919e-14,"-0.76 (-0.96, -0.56)",0.466048487031468,1.10729590494692,0.381557008337263,0.569033215195951,"0.47 (0.38, 0.57)",0.533951512968532,0.618442991662737,0.430966784804049,"0.53 (0.43, 0.62)","version 24 + w added + lastminute","Last minute excluding inf6+_boost2-","Last minute excluding inf6+_full2-","Last minute excluding inf6+_boost2+","OI","2022-08-30 22:02:21"
-0.788517863611798,0.143163573578274,-1.07083195664822,-0.509114967219646,3.63323772188975e-08,"-0.79 (-1.07, -0.51)",0.454517953901253,1.15391853681365,0.342723267876323,0.601027272332364,"0.45 (0.34, 0.6)",0.545482046098747,0.657276732123677,0.398972727667636,"0.55 (0.4, 0.66)","version 24 + w added + lastminute","Last minute excluding inf6+_boost2-","Last minute excluding inf6+_full2-","Last minute excluding inf6+_boost2+","OI","2022-08-30 22:02:21"
-0.930390556362268,0.170219969667562,-1.2677016261202,-0.599351606271958,4.60789408163768e-08,"-0.93 (-1.27, -0.6)",0.394399644997323,1.18556561111304,0.281477820160776,0.549167597505849,"0.39 (0.28, 0.55)",0.605600355002677,0.718522179839224,0.450832402494151,"0.61 (0.45, 0.72)","version 24 + w added + lastminute","Last minute excluding inf6+_boost2-","Last minute excluding inf6+_full2-","Last minute excluding inf6+_boost2+","OI","2022-08-30 22:02:21"
-0.577596576104181,0.0622473111608327,-0.699727062510303,-0.455696399919232,1.70979233393142e-20,"-0.58 (-0.7, -0.46)",0.561245658086608,1.06422550703074,0.496720859035859,0.634006292243905,"0.56 (0.5, 0.63)",0.438754341913392,0.503279140964141,0.365993707756095,"0.44 (0.37, 0.5)","version 24 + w added + lastminute","Last minute excluding inf6+_boost2-","Last minute excluding inf6+_full2-","Last minute excluding inf6+_boost2+","OI","2022-08-30 22:02:21"
11.9030386438098,196.967709603297,-28.239381836815,NA,0.95181203379249,"11.9 (-28.24, NA)",147714.796631493,3.48328808185557e+85,5.44242303260595e-13,NA,"147714.8 (0, NA)",-147713.796631493,0.999999999999456,NA,"-147713.8 (NA, 1)","version 24 + w added + lastminute","Last minute excluding inf6+_boost2-","Last minute excluding inf6+_full2-","Last minute excluding inf6+_boost2+","OI","2022-08-30 22:02:21"
-0.609329746237291,0.20846185862061,-1.01848880628219,-0.19937051829271,0.00346699304531968,"-0.61 (-1.02, -0.2)",0.543715174113742,1.23178194730238,0.361140280935325,0.819246291354174,"0.54 (0.36, 0.82)",0.456284825886258,0.638859719064675,0.180753708645826,"0.46 (0.18, 0.64)","version 24 + w added + lastminute","Last minute excluding inf6+_boost2-","Last minute excluding inf6+_full2-","Last minute excluding inf6+_boost2+","OI","2022-08-30 22:02:21"
-2.10634258401262,0.157850703087849,-2.42491982990369,-1.805077957911,1.28569595423629e-40,"-2.11 (-2.42, -1.81)",0.121682195981024,1.17099135626293,0.0884852126257552,0.164461634991886,"0.12 (0.09, 0.16)",0.878317804018976,0.911514787374245,0.835538365008114,"0.88 (0.84, 0.91)","version 24 + w added + lastminute","Last minute excluding inf6+_boost2-","Last minute excluding inf6+_full2-","Last minute excluding inf6+_boost2+","OI","2022-08-30 22:02:21"
-1.14190772397473,0.116629624869831,-1.37269219492952,-0.915259353231021,1.23207647410607e-22,"-1.14 (-1.37, -0.92)",0.319209477007297,1.123703160903,0.253423774131539,0.400412764278795,"0.32 (0.25, 0.4)",0.680790522992703,0.746576225868461,0.599587235721205,"0.68 (0.6, 0.75)","version 24 + w added + lastminute","Last minute excluding inf6+_boost2-","Last minute excluding inf6+_full2-","Last minute excluding inf6+_boost2+","OI","2022-08-30 22:02:21"
