"beta","se","low","high","p","model.betas","or","or.se","or.low","or.high","model.or","eff","eff.high","eff.low","model.effectiveness","model.ctool.version","model.age.filter","model.input.file","model.input.horizon","model.mode","model.calculated.at"
-4.20063906831213,0.0678505889149019,-4.33547709977855,-4.06946266182963,0,"-4.2 (-4.34, -4.07)",0.0149859966840165,1.07020539598323,0.0130956246626875,0.0170865673060186,"0.01 (0.01, 0.02)",0.985014003315984,0.986904375337312,0.982913432693981,"0.99 (0.98, 0.99)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","IP","2022-02-17 12:14:28"
-1.40982612677379,0.0767340438849533,-1.5619403415346,-1.26104119321002,2.16568161096533e-75,"-1.41 (-1.56, -1.26)",0.244185736824407,1.07975487079161,0.209728730771474,0.283358841552332,"0.24 (0.21, 0.28)",0.755814263175593,0.790271269228526,0.716641158447668,"0.76 (0.72, 0.79)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","IP","2022-02-17 12:14:28"
-1.28077473437975,1.00367992468206,-4.14845099218726,0.213152311068236,0.201927643597323,"-1.28 (-4.15, 0.21)",0.277821978816987,2.72830332872634,0.0157888546116911,1.23757313297521,"0.28 (0.02, 1.24)",0.722178021183013,0.984211145388309,-0.237573132975214,"0.72 (-0.24, 0.98)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","IP","2022-02-17 12:14:28"
-2.10764762653115,0.411531799907941,-3.03529641297756,-1.39320617942156,3.03163525838337e-07,"-2.11 (-3.04, -1.39)",0.121523499117121,1.50912769716724,0.0480604150333539,0.248278003344023,"0.12 (0.05, 0.25)",0.878476500882879,0.951939584966646,0.751721996655977,"0.88 (0.75, 0.95)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","IP","2022-02-17 12:14:28"
-1.21281501609963,0.125581680072404,-1.46603464355489,-0.973110562767091,4.56524251710193e-22,"-1.21 (-1.47, -0.97)",0.297359029684237,1.13380777467958,0.230839031763152,0.37790570854746,"0.3 (0.23, 0.38)",0.702640970315763,0.769160968236848,0.62209429145254,"0.7 (0.62, 0.77)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","IP","2022-02-17 12:14:28"
-0.436868658403777,0.171989670112615,-0.787516216379321,-0.111648316968263,0.0110825020165819,"-0.44 (-0.79, -0.11)",0.646056279901486,1.18766556469901,0.454973448636327,0.894358732989948,"0.65 (0.45, 0.89)",0.353943720098514,0.545026551363673,0.105641267010052,"0.35 (0.11, 0.55)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","IP","2022-02-17 12:14:28"
-0.854365837416438,0.264099067212382,-1.41675372226335,-0.374150875312695,0.00121634092588502,"-0.85 (-1.42, -0.37)",0.425552975303965,1.30225720090142,0.242499962737757,0.68787312092722,"0.43 (0.24, 0.69)",0.574447024696035,0.757500037262243,0.31212687907278,"0.57 (0.31, 0.76)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","IP","2022-02-17 12:14:28"
-1.11803206120041,0.0746500703377645,-1.26595363083579,-0.973204512685432,1.03840426418052e-50,"-1.12 (-1.27, -0.97)",0.326922525510496,1.07750703323396,0.281970272339735,0.377870206004758,"0.33 (0.28, 0.38)",0.673077474489504,0.718029727660265,0.622129793995242,"0.67 (0.62, 0.72)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","IP","2022-02-17 12:14:28"
-0.247795582832721,0.26832277475707,-0.817253495655118,0.241921109989273,0.355747670355273,"-0.25 (-0.82, 0.24)",0.780519478552416,1.30776918677982,0.441642964631547,1.27369370714237,"0.78 (0.44, 1.27)",0.219480521447584,0.558357035368453,-0.27369370714237,"0.22 (-0.27, 0.56)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","IP","2022-02-17 12:14:28"
-2.43584034158476,0.170382544297921,-2.78503110380516,-2.11530483156817,2.30748809504804e-46,"-2.44 (-2.79, -2.12)",0.087524165939445,1.18575836967244,0.0617271690512605,0.120596522322522,"0.09 (0.06, 0.12)",0.912475834060555,0.938272830948739,0.879403477677478,"0.91 (0.88, 0.94)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","IP","2022-02-17 12:14:28"
-1.64252649430164,0.153562430769177,-1.95525320584885,-1.3519669409922,1.0609751088414e-26,"-1.64 (-1.96, -1.35)",0.193490571402482,1.16598057791422,0.141528636278338,0.258730851503495,"0.19 (0.14, 0.26)",0.806509428597518,0.858471363721662,0.741269148496505,"0.81 (0.74, 0.86)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","IP","2022-02-17 12:14:28"
2.32836424585533,0.0697010693100636,2.19268894477081,2.46600254029442,1.15991514037447e-244,"2.33 (2.19, 2.47)",10.2611430903888,1.07218762355829,8.95927174094208,11.7752814304783,"10.26 (8.96, 11.78)",-9.26114309038883,-7.95927174094208,-10.7752814304783,"-9.26 (-10.78, -7.96)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","IP","2022-02-17 12:14:28"
