"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 75","Max"
"Subject","391817","5516214.421","2557531.269","13","3391673","7648364","8390834"
"Hosp15","307675","0.022","0.147","0","0","0","1"
"Oxygen15","307615","0.012","0.11","0","0","0","1"
"ICU15","307675","0.004","0.06","0","0","0","1"
"DeathByCov30","128238","0.007","0.081","0","0","0","1"
"Variant","391817","","","","","",""
"... Delta","89265","22.8%","","","","",""
"... Omikron","302552","77.2%","","","","",""
"InfPrior","391817","","","","","",""
"... _noinf","350486","89.5%","","","","",""
"... inf1","5030","1.3%","","","","",""
"... inf2+","36301","9.3%","","","","",""
"InfPriorSeverity","391817","","","","","",""
"... _no_or_unknown_severity","369189","94.2%","","","","",""
"... hospitalized","888","0.2%","","","","",""
"... symptoms","21740","5.5%","","","","",""
"VaccStatus","391817","","","","","",""
"... _novacc","194904","49.7%","","","","",""
"... boost1","34482","8.8%","","","","",""
"... boost2","9372","2.4%","","","","",""
"... full1","13644","3.5%","","","","",""
"... full2","135467","34.6%","","","","",""
"... part1","3948","1%","","","","",""
"Age","391817","34.595","18.825","0","18","47","117"
"AgeGr","391817","","","","","",""
"... _40-64","136548","34.8%","","","","",""
"... 0-24","132054","33.7%","","","","",""
"... 25-39","98169","25.1%","","","","",""
"... 65+","25046","6.4%","","","","",""
"Sex","391817","","","","","",""
"... M","189668","48.4%","","","","",""
"... Z","202149","51.6%","","","","",""
