"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 75","Max"
"Subject","398866","5479455.141","2563062.097","13","3333300","7635212.5","8390834"
"Hosp15","312160","0.022","0.146","0","0","0","1"
"Oxygen15","312087","0.012","0.109","0","0","0","1"
"ICU15","312160","0.004","0.06","0","0","0","1"
"DeathByCov30","128874","0.007","0.081","0","0","0","1"
"Variant","398866","","","","","",""
"... Delta","89396","22.4%","","","","",""
"... Omikron","309470","77.6%","","","","",""
"InfPrior","398866","","","","","",""
"... _noinf","350492","87.9%","","","","",""
"... inf1","5594","1.4%","","","","",""
"... inf2+","42780","10.7%","","","","",""
"InfPriorSeverity","398866","","","","","",""
"... _no_or_unknown_severity","372373","93.4%","","","","",""
"... hospitalized","1139","0.3%","","","","",""
"... symptoms","25354","6.4%","","","","",""
"VaccStatus","398866","","","","","",""
"... _novacc","194904","48.9%","","","","",""
"... boost1","37376","9.4%","","","","",""
"... boost2","10244","2.6%","","","","",""
"... full1","15080","3.8%","","","","",""
"... full2","137314","34.4%","","","","",""
"... part1","3948","1%","","","","",""
"Age","398866","34.745","18.787","0","18","47","117"
"AgeGr","398866","","","","","",""
"... _40-64","140557","35.2%","","","","",""
"... 0-24","132829","33.3%","","","","",""
"... 25-39","99976","25.1%","","","","",""
"... 65+","25504","6.4%","","","","",""
"Sex","398866","","","","","",""
"... M","192725","48.3%","","","","",""
"... Z","206141","51.7%","","","","",""
