"beta.D","se.D","low.D","high.D","p.D","model.betas.D","or.D","or.se.D","or.low.D","or.high.D","model.or.D","eff.D","eff.high.D","eff.low.D","model.effectiveness.D","beta.O","se.O","low.O","high.O","p.O","model.betas.O","or.O","or.se.O","or.low.O","or.high.O","model.or.O","eff.O","eff.high.O","eff.low.O","model.effectiveness.O","model.ctool.version","model.age.filter","model.input.file","model.input.horizon","model.mode","model.calculated.at"
-4.02957290217955,0.0715302387552803,-4.1721344162475,-3.89166485154196,0,"-4.03 (-4.17, -3.89)",0.0177819229526039,1.0741506311883,0.0154193137419948,0.020411335890839,"0.02 (0.02, 0.02)",0.982218077047396,0.984580686258005,0.979588664109161,"0.98 (0.98, 0.98)",-6.23154193722183,0.151226909585368,-6.53733896242276,-5.94406851520862,0,"-6.23 (-6.54, -5.94)",0.00196641746550603,1.16326058311372,0.00144833745603471,0.0026213429525873,"0 (0, 0)",0.998033582534494,0.998551662543965,0.997378657047413,"1 (1, 1)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","IP","2022-02-17 12:33:49"
-1.3658559309083,0.180807880477268,-1.73827032758321,-1.02732763492257,4.21495161706891e-14,"-1.37 (-1.74, -1.03)",0.255162181295636,1.1981849624562,0.175824256122016,0.357962289428169,"0.26 (0.18, 0.36)",0.744837818704364,0.824175743877984,0.642037710571831,"0.74 (0.64, 0.82)",-0.904686829921839,0.188481315333108,-1.28291721061848,-0.542187048717376,1.58764370889331e-06,"-0.9 (-1.28, -0.54)",0.40466859535669,1.20741452263769,0.27722738900349,0.581475146236113,"0.4 (0.28, 0.58)",0.59533140464331,0.72277261099651,0.418524853763887,"0.6 (0.42, 0.72)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","IP","2022-02-17 12:33:49"
-1.15665069296613,0.511048107032648,-2.34189360420222,-0.284748491599482,0.0236177432543516,"-1.16 (-2.34, -0.28)",0.314537902639622,1.66703751336316,0.0961454044037733,0.752203416008533,"0.31 (0.1, 0.75)",0.685462097360378,0.903854595596227,0.247796583991467,"0.69 (0.25, 0.9)",-0.200909650673161,0.202134998299899,-0.607849387626802,0.186757171844131,0.320253065461431,"-0.2 (-0.61, 0.19)",0.817986332729874,1.22401323666432,0.544520663612952,1.20533456034197,"0.82 (0.54, 1.21)",0.182013667270126,0.455479336387048,-0.205334560341969,"0.18 (-0.21, 0.46)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","IP","2022-02-17 12:33:49"
-0.852187651527878,0.323586993718257,-1.55492617522646,-0.273007793867425,0.00844934533176521,"-0.85 (-1.55, -0.27)",0.426480919039696,1.38207638300194,0.211204974224835,0.761086855795765,"0.43 (0.21, 0.76)",0.573519080960304,0.788795025775165,0.238913144204235,"0.57 (0.24, 0.79)",-0.723567784118516,0.459339409938257,-1.76663853820884,0.0726313617111637,0.115202076194926,"-0.72 (-1.77, 0.07)",0.48501872326557,1.58302790701533,0.170906520070755,1.07533405453411,"0.49 (0.17, 1.08)",0.51498127673443,0.829093479929245,-0.0753340545341095,"0.51 (-0.08, 0.83)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","IP","2022-02-17 12:33:49"
-1.28407814607817,0.0859458748625826,-1.45494098433882,-1.1178420225337,1.79503178328945e-50,"-1.28 (-1.45, -1.12)",0.276905732644462,1.08974734398413,0.233414138584404,0.326984659335089,"0.28 (0.23, 0.33)",0.723094267355538,0.766585861415596,0.673015340664911,"0.72 (0.67, 0.77)",-0.467315518963222,0.155910773096943,-0.7764894804098,-0.164194826562761,0.00272358685970853,"-0.47 (-0.78, -0.16)",0.626682329056555,1.16872191700019,0.460018082536432,0.848576680496383,"0.63 (0.46, 0.85)",0.373317670943445,0.539981917463568,0.151423319503617,"0.37 (0.15, 0.54)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","IP","2022-02-17 12:33:49"
-0.472526510762664,0.312046077084719,-1.14488796339799,0.0900617382909285,0.129953720036539,"-0.47 (-1.14, 0.09)",0.623425186421253,1.36621764290527,0.318259572514128,1.09424183824079,"0.62 (0.32, 1.09)",0.376574813578747,0.681740427485872,-0.0942418382407935,"0.38 (-0.09, 0.68)",0.581937821797535,0.515888681151876,-0.6100775836934,1.46631258497538,0.25930732103026,"0.58 (-0.61, 1.47)",1.78950281054365,1.67512649386645,0.543308715542499,4.33322723808726,"1.79 (0.54, 4.33)",-0.789502810543649,0.456691284457501,-3.33322723808726,"-0.79 (-3.33, 0.46)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","IP","2022-02-17 12:33:49"
-10.3067798257023,155.533461694682,-61.453038249236,-3.64295228676484,0.947165030826901,"-10.31 (-61.45, -3.64)",3.3405839908618e-05,3.52633985262796e+67,2.04778610663469e-27,0.0261749538132246,"0 (0, 0.03)",0.999966594160091,1,0.973825046186775,"1 (0.97, 1)",-1.01997472206059,1.0058852841047,-3.88974990471686,0.481543328525403,0.310579410818944,"-1.02 (-3.89, 0.48)",0.360604055385333,2.73432685776209,0.0204504599620014,1.61857046154133,"0.36 (0.02, 1.62)",0.639395944614667,0.979549540037999,-0.618570461541329,"0.64 (-0.62, 0.98)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","IP","2022-02-17 12:33:49"
-1.64275403023071,0.581286106666318,-3.0395185999335,-0.679439464454756,0.00471232679973591,"-1.64 (-3.04, -0.68)",0.193446550353926,1.78833694443222,0.0478579227568441,0.506901048802062,"0.19 (0.05, 0.51)",0.806553449646074,0.952142077243156,0.493098951197938,"0.81 (0.49, 0.95)",-2.28860107601152,0.581294632579565,-3.68619780388258,-1.3234251472206,8.24805324674825e-05,"-2.29 (-3.69, -1.32)",0.101408225071463,1.78835219170286,0.0250671312267891,0.266221889408024,"0.1 (0.03, 0.27)",0.898591774928537,0.974932868773211,0.733778110591976,"0.9 (0.73, 0.97)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","IP","2022-02-17 12:33:49"
-3.07056692686728,0.258357972852276,-3.61792548083695,-2.5983879239496,1.41750466998298e-32,"-3.07 (-3.62, -2.6)",0.0463948449161436,1.29480223972409,0.0268382953394947,0.0743934094335187,"0.05 (0.03, 0.07)",0.953605155083856,0.973161704660505,0.925606590566481,"0.95 (0.93, 0.97)",-1.40855825384345,0.245112168980145,-1.90915394367956,-0.943635109026847,9.10631159429543e-09,"-1.41 (-1.91, -0.94)",0.244495529657577,1.27776463072234,0.148205723956231,0.389210438345203,"0.24 (0.15, 0.39)",0.755504470342423,0.851794276043769,0.610789561654797,"0.76 (0.61, 0.85)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","IP","2022-02-17 12:33:49"
-1.73415274611792,0.180553868052081,-2.10491366141006,-1.39497011970475,7.64333894533786e-22,"-1.73 (-2.1, -1.39)",0.176549719372202,1.19788064723962,0.121856194706941,0.247840441802165,"0.18 (0.12, 0.25)",0.823450280627798,0.878143805293059,0.752159558197835,"0.82 (0.75, 0.88)",-1.36314696952668,0.294393922763887,-1.9810876340925,-0.817924718602604,3.65047738867388e-06,"-1.36 (-1.98, -0.82)",0.255854342887043,1.34231256701027,0.137919150136028,0.441346623205799,"0.26 (0.14, 0.44)",0.744145657112957,0.862080849863972,0.558653376794201,"0.74 (0.56, 0.86)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","IP","2022-02-17 12:33:49"
