"beta.D","se.D","low.D","high.D","p.D","model.betas.D","or.D","or.se.D","or.low.D","or.high.D","model.or.D","eff.D","eff.high.D","eff.low.D","model.effectiveness.D","beta.O","se.O","low.O","high.O","p.O","model.betas.O","or.O","or.se.O","or.low.O","or.high.O","model.or.O","eff.O","eff.high.O","eff.low.O","model.effectiveness.O","model.ctool.version","model.age.filter","model.input.file","model.input.horizon","model.mode","model.calculated.at"
-4.02908769996477,0.0715372486565679,-4.17166359376039,-3.89116663990276,0,"-4.03 (-4.17, -3.89)",0.0177905528744628,1.07415816090458,0.0154265752109377,0.0204215075895704,"0.02 (0.02, 0.02)",0.982209447125537,0.984573424789062,0.97957849241043,"0.98 (0.98, 0.98)",-6.24770131298024,0.152034059471638,-6.55513189313658,-5.95870704699883,0,"-6.25 (-6.56, -5.96)",0.00193489675022624,1.16419988778992,0.00142279519770724,0.00258324983433872,"0 (0, 0)",0.998065103249774,0.998577204802293,0.997416750165661,"1 (1, 1)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","IPI","2022-02-17 12:43:52"
-1.36315590190546,0.180834800945499,-1.73561760889804,-1.02456952272957,4.76765264466922e-14,"-1.36 (-1.74, -1.02)",0.255852057509347,1.19821721859059,0.176291287589214,0.358950952378199,"0.26 (0.18, 0.36)",0.744147942490653,0.823708712410786,0.641049047621801,"0.74 (0.64, 0.82)",-0.883202174850203,0.189221190695563,-1.26272314212846,-0.519081620093379,3.04790593086911e-06,"-0.88 (-1.26, -0.52)",0.413456828581606,1.20830818945553,0.28288264703494,0.595066794488044,"0.41 (0.28, 0.6)",0.586543171418394,0.71711735296506,0.404933205511956,"0.59 (0.4, 0.72)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","IPI","2022-02-17 12:43:52"
-1.15289714023817,0.511124097296597,-2.33824448833633,-0.28079307193514,0.0240950032215087,"-1.15 (-2.34, -0.28)",0.3157207558042,1.6671641967971,0.096496891042116,0.755184588198562,"0.32 (0.1, 0.76)",0.6842792441958,0.903503108957884,0.244815411801438,"0.68 (0.24, 0.9)",-0.180862461405075,0.202800300772373,-0.588959049385229,0.208265134081747,0.372486519657899,"-0.18 (-0.59, 0.21)",0.834550133655392,1.22482784664799,0.554904612495048,1.23153964940057,"0.83 (0.55, 1.23)",0.165449866344608,0.445095387504952,-0.231539649400567,"0.17 (-0.23, 0.45)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","IPI","2022-02-17 12:43:52"
-0.848183511139981,0.323635341619105,-1.55099860693026,-0.268889372986797,0.008772370277,"-0.85 (-1.55, -0.27)",0.428192031994327,1.38214320510921,0.212036127322445,0.764227795210324,"0.43 (0.21, 0.76)",0.571807968005673,0.787963872677555,0.235772204789676,"0.57 (0.24, 0.79)",-0.695225592042044,0.459715421323994,-1.73882552335354,0.101925573852342,0.130458689236545,"-0.7 (-1.74, 0.1)",0.498961873459719,1.58362325545419,0.175726666331921,1.10730105650911,"0.5 (0.18, 1.11)",0.501038126540281,0.824273333668079,-0.107301056509114,"0.5 (-0.11, 0.82)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","IPI","2022-02-17 12:43:52"
-1.28791944221878,0.0861519045203493,-1.45920180762636,-1.12129379940057,1.57154361441051e-50,"-1.29 (-1.46, -1.12)",0.27584409605802,1.08997188738697,0.232421717952969,0.325857926985235,"0.28 (0.23, 0.33)",0.72415590394198,0.767578282047031,0.674142073014765,"0.72 (0.67, 0.77)",-0.436474513734118,0.156981094625139,-0.747544159626188,-0.131040093176852,0.00542874213827678,"-0.44 (-0.75, -0.13)",0.646310969729532,1.16997349490433,0.473528035216496,0.877182604648715,"0.65 (0.47, 0.88)",0.353689030270468,0.526471964783504,0.122817395351285,"0.35 (0.12, 0.53)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","IPI","2022-02-17 12:43:52"
-13.5525472822822,688.477418346464,NA,39.5277511629459,0.984294808166486,"-13.55 (NA, 39.53)",1.30077894785487e-06,1.00448557143664e+299,NA,146785856773630848,"0 (NA, 146785856773630848)",0.999998699221052,NA,-146785856773630848,"1 (-146785856773630848, NA)",-15.2592464610864,1502.18192600692,-882.853233170583,-926.842064367663,0.991895184218716,"-15.26 (-882.85, -926.84)",2.36044270868757e-07,Inf,0,0,"0 (0, 0)",0.999999763955729,1,1,"1 (1, 1)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","IPI","2022-02-17 12:43:52"
-11.0181338256606,277.95080588303,-97.6861462840802,1.75437337829336,0.968379667032466,"-11.02 (-97.69, 1.75)",1.64015645931935e-05,5.158236325816e+120,3.76223319022584e-43,5.77982484327447,"0 (0, 5.78)",0.999983598435407,1,-4.77982484327447,"1 (-4.78, 1)",-0.831960632827617,1.00781258233371,-3.70357278521295,0.676188350083208,0.40908139373091,"-0.83 (-3.7, 0.68)",0.435195191333251,2.73960180263574,0.0246353522281622,1.96636832204979,"0.44 (0.02, 1.97)",0.564804808666749,0.975364647771838,-0.966368322049791,"0.56 (-0.97, 0.98)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","IPI","2022-02-17 12:43:52"
-1.82125620292882,0.711574968327433,-3.62083578489024,-0.681273492713816,0.0104831302206639,"-1.82 (-3.62, -0.68)",0.161822341499526,2.03719725446562,0.0267603012880369,0.505972229954372,"0.16 (0.03, 0.51)",0.838177658500474,0.973239698711963,0.494027770045628,"0.84 (0.49, 0.97)",-1.62968698950208,0.58696389322789,-3.03375304677345,-0.650548904215565,0.00549528936718669,"-1.63 (-3.03, -0.65)",0.195990911739621,1.79851962007723,0.0481346471225857,0.521759302264156,"0.2 (0.05, 0.52)",0.804009088260379,0.951865352877414,0.478240697735844,"0.8 (0.48, 0.95)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","IPI","2022-02-17 12:43:52"
-13.3439861405299,312.15280724401,-118.534907091644,-0.433420543782448,0.965902217020987,"-13.34 (-118.53, -0.43)",1.60243511227746e-06,3.68333904441423e+135,3.31851616260351e-52,0.648287801065822,"0 (0, 0.65)",0.999998397564888,1,0.351712198934178,"1 (0.35, 1)",-15.4625405586921,541.112144448007,-242.598527055004,-286.678239068247,0.977203166310061,"-15.46 (-242.6, -286.68)",1.92621144574855e-07,1.00465841122431e+235,4.37319036054562e-106,3.1421194490935e-125,"0 (0, 0)",0.999999807378855,1,1,"1 (1, 1)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","IPI","2022-02-17 12:43:52"
-13.2092981472764,832.150179371902,NA,61.4549029355115,0.987335155702332,"-13.21 (NA, 61.45)",1.83347378509529e-06,Inf,NA,4.89243687433027e+26,"0 (NA, 4.89243687433027e+26)",0.999998166526215,NA,-4.89243687433027e+26,"1 (-4.89243687433027e+26, NA)",-15.8545619308213,1137.70840271515,-493.416418649928,-586.095652079253,0.988881420999226,"-15.85 (-493.42, -586.1)",1.30152118167425e-07,Inf,5.1519554610992e-215,2.89662606616791e-255,"0 (0, 0)",0.999999869847882,1,1,"1 (1, 1)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","IPI","2022-02-17 12:43:52"
