"beta","se","low","high","p","model.betas","or","or.se","or.low","or.high","model.or","eff","eff.high","eff.low","model.effectiveness","model.ctool.version","model.age.filter","model.input.file","model.input.horizon","model.mode","model.calculated.at"
-3.2969610911769,0.0418536497713695,-3.37964185507662,-3.21556605891037,0,"-3.3 (-3.38, -3.22)",0.0369954224641407,1.04274186207338,0.0340596508415231,0.0401326099712406,"0.04 (0.03, 0.04)",0.963004577535859,0.965940349158477,0.959867390028759,"0.96 (0.96, 0.97)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","O","2022-02-17 12:12:27"
-1.43307450723065,0.0431031165659092,-1.51805179784079,-1.34906918094767,2.21218607850834e-242,"-1.43 (-1.52, -1.35)",0.238574295118837,1.04404554769165,0.219138397251862,0.25948167876049,"0.24 (0.22, 0.26)",0.761425704881163,0.780861602748138,0.74051832123951,"0.76 (0.74, 0.78)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","O","2022-02-17 12:12:27"
-12.5210046475342,95.8072398437456,-126.648013750707,-119.592104724258,0.89602090275322,"-12.52 (-126.65, -119.59)",3.64919250068608e-06,4.0602763223496e+41,9.94183346580217e-56,1.15294566055818e-52,"0 (0, 0)",0.999996350807499,1,1,"1 (1, 1)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","O","2022-02-17 12:12:27"
-5.06096865387103,1.000707998998,-7.92584599205198,-3.57720655770192,4.25037838566796e-07,"-5.06 (-7.93, -3.58)",0.00633941583815061,2.72020705071718,0.000361284077050099,0.0279536762726807,"0.01 (0, 0.03)",0.993660584161849,0.99963871592295,0.972046323727319,"0.99 (0.97, 1)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","O","2022-02-17 12:12:27"
-1.56006281218896,0.0742788441402832,-1.70784709767479,-1.41655170293532,6.18475628753199e-98,"-1.56 (-1.71, -1.42)",0.210122872508676,1.07710710863109,0.181255598458988,0.242548957366039,"0.21 (0.18, 0.24)",0.789877127491324,0.818744401541012,0.757451042633961,"0.79 (0.76, 0.82)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","O","2022-02-17 12:12:27"
-0.999128302640144,0.109553853059244,-1.21912408994847,-0.789249221037482,7.5142284220826e-20,"-1 (-1.22, -0.79)",0.36820026051743,1.11578015749214,0.295488875280822,0.454185660348051,"0.37 (0.3, 0.45)",0.63179973948257,0.704511124719178,0.545814339651949,"0.63 (0.55, 0.7)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","O","2022-02-17 12:12:27"
-0.609586738320434,0.135047139578806,-0.883373698961893,-0.353182953995077,6.36518948951651e-06,"-0.61 (-0.88, -0.35)",0.543575461571787,1.14459073860494,0.413385916848071,0.702448665830536,"0.54 (0.41, 0.7)",0.456424538428213,0.586614083151929,0.297551334169464,"0.46 (0.3, 0.59)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","O","2022-02-17 12:12:27"
-1.05421827782865,0.0412794546354092,-1.13545203404969,-0.973623486365036,7.35546532435899e-144,"-1.05 (-1.14, -0.97)",0.348464723462625,1.04214329663124,0.321276860425138,0.377711921494973,"0.35 (0.32, 0.38)",0.651535276537375,0.678723139574863,0.622288078505027,"0.65 (0.62, 0.68)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","O","2022-02-17 12:12:27"
-0.245125982734836,0.158235039745202,-0.565320777582109,0.0560231888416974,0.121351481628959,"-0.25 (-0.57, 0.06)",0.782605937194717,1.17144149766396,0.568177858802405,1.05762220848623,"0.78 (0.57, 1.06)",0.217394062805283,0.431822141197595,-0.0576222084862281,"0.22 (-0.06, 0.43)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","O","2022-02-17 12:12:27"
-3.10375419558963,0.140680098911244,-3.39110637951502,-2.83855375934187,7.24708069955674e-108,"-3.1 (-3.39, -2.84)",0.0448803959410983,1.15105636489645,0.0336714029333508,0.0585102246694769,"0.04 (0.03, 0.06)",0.955119604058902,0.966328597066649,0.941489775330523,"0.96 (0.94, 0.97)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","O","2022-02-17 12:12:27"
