"beta.D","se.D","low.D","high.D","p.D","model.betas.D","or.D","or.se.D","or.low.D","or.high.D","model.or.D","eff.D","eff.high.D","eff.low.D","model.effectiveness.D","beta.O","se.O","low.O","high.O","p.O","model.betas.O","or.O","or.se.O","or.low.O","or.high.O","model.or.O","eff.O","eff.high.O","eff.low.O","model.effectiveness.O","model.ctool.version","model.age.filter","model.input.file","model.input.horizon","model.mode","model.calculated.at"
-3.0912155304329,0.043845806665524,-3.17794598117301,-3.00605588140685,0,"-3.09 (-3.18, -3.01)",0.0454466789955631,1.04482123799657,0.0416711606246196,0.0494864748841339,"0.05 (0.04, 0.05)",0.954553321004437,0.95832883937538,0.950513525115866,"0.95 (0.95, 0.96)",-5.5463207003797,0.0997115690539917,-5.7459760602194,-5.35492381671575,0,"-5.55 (-5.75, -5.35)",0.00390178670846843,1.10485219854874,0.00319561391730606,0.00472482943681879,"0 (0, 0)",0.996098213291532,0.996804386082694,0.995275170563181,"1 (1, 1)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","O","2022-02-17 12:31:41"
-1.52555622303925,0.10104006809359,-1.72801522114748,-1.33161777873364,1.65590693375104e-51,"-1.53 (-1.73, -1.33)",0.217500044677582,1.10632096904749,0.177636629741218,0.264049741520407,"0.22 (0.18, 0.26)",0.782499955322418,0.822363370258782,0.735950258479593,"0.78 (0.74, 0.82)",-1.5196459597792,0.113407542870457,-1.74588033388823,-1.30091306793249,6.05718289303562e-41,"-1.52 (-1.75, -1.3)",0.218789333465744,1.12008832395353,0.174491310718624,0.272283066562573,"0.22 (0.17, 0.27)",0.781210666534256,0.825508689281376,0.727716933437427,"0.78 (0.73, 0.83)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","O","2022-02-17 12:31:41"
-1.25108766762768,0.278435940429007,-1.83708461944418,-0.737883310847081,7.01379919055554e-06,"-1.25 (-1.84, -0.74)",0.286193344276623,1.32106197602192,0.159281114929181,0.478124886949392,"0.29 (0.16, 0.48)",0.713806655723378,0.840718885070819,0.521875113050608,"0.71 (0.52, 0.84)",-0.955656941149167,0.125644846737027,-1.20724954952806,-0.714162832740821,2.82670368533791e-14,"-0.96 (-1.21, -0.71)",0.384559428639353,1.13387939579704,0.299018585240539,0.489601818888529,"0.38 (0.3, 0.49)",0.615440571360647,0.700981414759461,0.510398181111471,"0.62 (0.51, 0.7)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","O","2022-02-17 12:31:41"
-0.68331329701169,0.172213003757864,-1.03529129906783,-0.358571811972886,7.25276126142634e-05,"-0.68 (-1.04, -0.36)",0.50494119753478,1.18793084000025,0.355122918881248,0.698673450918123,"0.5 (0.36, 0.7)",0.49505880246522,0.644877081118752,0.301326549081877,"0.5 (0.3, 0.64)",-0.356300737726901,0.218352176263971,-0.809436134842505,0.0502024988416575,0.10272774755099,"-0.36 (-0.81, 0.05)",0.700261993364997,1.2440251065954,0.445108976919767,1.05148399911086,"0.7 (0.45, 1.05)",0.299738006635003,0.554891023080233,-0.0514839991108593,"0.3 (-0.05, 0.55)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","O","2022-02-17 12:31:41"
-1.20442693311533,0.0472778897692661,-1.29757362619807,-1.11222449143009,3.68616316811259e-143,"-1.2 (-1.3, -1.11)",0.299863792293444,1.04841331193609,0.273193859922887,0.328826674774835,"0.3 (0.27, 0.33)",0.700136207706556,0.726806140077113,0.671173325225165,"0.7 (0.67, 0.73)",-0.417382828113283,0.0844082526512332,-0.583480245177742,-0.252454952539959,7.62179037374879e-07,"-0.42 (-0.58, -0.25)",0.658768676494747,1.08807301183829,0.557953169819304,0.776891209026758,"0.66 (0.56, 0.78)",0.341231323505253,0.442046830180696,0.223108790973242,"0.34 (0.22, 0.44)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","O","2022-02-17 12:31:41"
-0.200257786836642,0.166590513117896,-0.537334090201881,0.116919890065,0.229326342053036,"-0.2 (-0.54, 0.12)",0.818519722268736,1.18127045150331,0.584303879309044,1.12402938016307,"0.82 (0.58, 1.12)",0.181480277731264,0.415696120690956,-0.124029380163072,"0.18 (-0.12, 0.42)",-0.729399863728945,0.515917509397041,-1.92147641736126,0.154966144388565,0.157423087758215,"-0.73 (-1.92, 0.15)",0.482198287954891,1.67517478551978,0.146390668775102,1.16761843000008,"0.48 (0.15, 1.17)",0.517801712045109,0.853609331224898,-0.167618430000083,"0.52 (-0.17, 0.85)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","O","2022-02-17 12:31:41"
-10.6329004330167,91.63159748517,-41.7675325362081,-6.88976479631391,0.907621101169835,"-10.63 (-41.77, -6.89)",2.4109600567019e-05,6.23874386481947e+39,7.25422625446842e-19,0.00101815328624106,"0 (0, 0)",0.999975890399433,1,0.998981846713759,"1 (1, 1)",-15.2000729380481,436.680136152835,-351.552922555484,-329.403604505505,0.972232639169558,"-15.2 (-351.55, -329.4)",2.50433370445373e-07,4.44399424583622e+189,2.10138504508713e-153,8.74645858795595e-144,"0 (0, 0)",0.99999974956663,1,1,"1 (1, 1)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","O","2022-02-17 12:31:41"
-3.94608439687034,1.00244803197251,-6.81263087249974,-2.45640442775277,8.26965819381598e-05,"-3.95 (-6.81, -2.46)",0.0193302433448056,2.72494442107794,0.00109979566832615,0.0857426914259465,"0.02 (0, 0.09)",0.980669756655194,0.998900204331674,0.914257308574054,"0.98 (0.91, 1)",-15.5955293172658,152.850862944213,-136.731401285078,-127.565792047203,0.918732053872354,"-15.6 (-136.73, -127.57)",1.68634983764413e-07,2.41149480582524e+66,4.15247397245743e-60,3.97082213620149e-56,"0 (0, 0)",0.999999831365016,1,1,"1 (1, 1)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","O","2022-02-17 12:31:41"
-3.62758206576588,0.200029256154957,-4.0449944022599,-3.25765651951935,1.67910780389809e-73,"-3.63 (-4.04, -3.26)",0.026580376373635,1.22143849223125,0.0175098026708445,0.0384784659740181,"0.03 (0.02, 0.04)",0.973419623626365,0.982490197329155,0.961521534025982,"0.97 (0.96, 0.98)",-1.96582972216062,0.208352921094371,-2.39388893047535,-1.5739662146989,3.9063798445442e-21,"-1.97 (-2.39, -1.57)",0.140039644401788,1.23164776733292,0.0912740344036962,0.207221664700192,"0.14 (0.09, 0.21)",0.859960355598212,0.908725965596304,0.792778335299808,"0.86 (0.79, 0.91)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","O","2022-02-17 12:31:41"
-1.64859784423204,0.102828442736064,-1.85524232844165,-1.45176227498756,7.57621586090711e-58,"-1.65 (-1.86, -1.45)",0.192319381385109,1.10830125563434,0.156415034270493,0.234157274770677,"0.19 (0.16, 0.23)",0.807680618614891,0.843584965729507,0.765842725229323,"0.81 (0.77, 0.84)",-1.36316223669378,0.201798784057199,-1.77684020582866,-0.982883310357043,1.42779367487348e-11,"-1.36 (-1.78, -0.98)",0.255850436745854,1.22360177515439,0.16917185185767,0.374230519045056,"0.26 (0.17, 0.37)",0.744149563254146,0.83082814814233,0.625769480954944,"0.74 (0.63, 0.83)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","O","2022-02-17 12:31:41"
