"beta.D","se.D","low.D","high.D","p.D","model.betas.D","or.D","or.se.D","or.low.D","or.high.D","model.or.D","eff.D","eff.high.D","eff.low.D","model.effectiveness.D","beta.O","se.O","low.O","high.O","p.O","model.betas.O","or.O","or.se.O","or.low.O","or.high.O","model.or.O","eff.O","eff.high.O","eff.low.O","model.effectiveness.O","model.ctool.version","model.age.filter","model.input.file","model.input.horizon","model.mode","model.calculated.at"
-3.09134679007677,0.0438473005343434,-3.17807969484528,-3.00618471136236,0,"-3.09 (-3.18, -3.01)",0.0454407140721484,1.0448227988236,0.0416655889932144,0.0494800999544259,"0.05 (0.04, 0.05)",0.954559285927852,0.958334411006786,0.950519900045574,"0.95 (0.95, 0.96)",-5.54632070037964,0.0997115696560486,-5.745976056266,-5.3549238203909,0,"-5.55 (-5.75, -5.35)",0.00390178670846865,1.10485219921393,0.00319561392993961,0.00472482941945433,"0 (0, 0)",0.996098213291531,0.99680438607006,0.995275170580546,"1 (1, 1)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","OI","2022-02-17 12:40:27"
-1.52502435652074,0.101045077168638,-1.72749147611136,-1.33107662371516,1.8139375914676e-51,"-1.53 (-1.73, -1.33)",0.217615756437997,1.10632651070613,0.177729690412184,0.264192672033454,"0.22 (0.18, 0.26)",0.782384243562003,0.822270309587816,0.735807327966546,"0.78 (0.74, 0.82)",-1.51964595977928,0.113407544692043,-1.74588032941728,-1.30091307214929,6.0572004587024e-41,"-1.52 (-1.75, -1.3)",0.218789333465727,1.12008832599387,0.174491311498765,0.272283065414409,"0.22 (0.17, 0.27)",0.781210666534273,0.825508688501234,0.727716934585591,"0.78 (0.73, 0.83)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","OI","2022-02-17 12:40:27"
-1.25066265251013,0.278445859173176,-1.83667209595269,-0.737437608396221,7.06957811893295e-06,"-1.25 (-1.84, -0.74)",0.286315006626819,1.32107507936267,0.159346835685587,0.478338035880295,"0.29 (0.16, 0.48)",0.713684993373181,0.840653164314413,0.521661964119705,"0.71 (0.52, 0.84)",-0.955656941149192,0.125644848524976,-1.20724954454451,-0.714162837382221,2.8267060513235e-14,"-0.96 (-1.21, -0.71)",0.384559428639343,1.13387939782436,0.299018586730715,0.489601816616091,"0.38 (0.3, 0.49)",0.615440571360657,0.700981413269285,0.510398183383909,"0.62 (0.51, 0.7)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","OI","2022-02-17 12:40:27"
-0.682599801096765,0.172225761384123,-1.0345984163724,-0.35783266968054,7.3889429934376e-05,"-0.68 (-1.03, -0.36)",0.5053015995739,1.1879459952746,0.35536906267103,0.699190060914864,"0.51 (0.36, 0.7)",0.4946984004261,0.64463093732897,0.300809939085136,"0.49 (0.3, 0.64)",-0.356300737726981,0.218352183174089,-0.809436125523691,0.0502024911304167,0.102727758433556,"-0.36 (-0.81, 0.05)",0.700261993364941,1.24402511519176,0.445108981067654,1.05148399100261,"0.7 (0.45, 1.05)",0.299738006635059,0.554891018932346,-0.051483991002613,"0.3 (-0.05, 0.55)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","OI","2022-02-17 12:40:27"
-1.2040409096369,0.0472821084057557,-1.29719516165345,-1.11183053729475,4.81065948871871e-143,"-1.2 (-1.3, -1.11)",0.299979569102444,1.04841773482007,0.273297273680661,0.328956242923451,"0.3 (0.27, 0.33)",0.700020430897556,0.726702726319339,0.671043757076549,"0.7 (0.67, 0.73)",-0.417382828113295,0.0844082554997996,-0.583480241916773,-0.252454955750043,7.62179690250786e-07,"-0.42 (-0.58, -0.25)",0.658768676494739,1.08807301493774,0.557953171638772,0.776891206532872,"0.66 (0.56, 0.78)",0.341231323505261,0.442046828361228,0.223108793467128,"0.34 (0.22, 0.44)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","OI","2022-02-17 12:40:27"
-15.9396999598043,1093.14518330263,NA,68.3491659882446,0.9883660560144,"-15.94 (NA, 68.35)",1.19529819659514e-07,Inf,NA,4.82687032312691e+29,"0 (NA, 4.82687032312691e+29)",0.99999988047018,NA,-4.82687032312691e+29,"1 (-4.82687032312691e+29, NA)",-16.5189937365519,1449.93148890035,-1133.32863921053,-1059.78512064897,0.990909939512504,"-16.52 (-1133.33, -1059.79)",6.69718311504214e-08,Inf,0,0,"0 (0, 0)",0.999999933028169,1,1,"1 (1, 1)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","OI","2022-02-17 12:40:27"
-13.2486209852609,446.94551472971,-160.791883870801,5.79715130611286,0.976352101278752,"-13.25 (-160.79, 5.8)",1.76277553024542e-06,1.27635286781332e+194,1.47561173408014e-70,329.359976500564,"0 (0, 329.36)",0.99999823722447,1,-328.359976500564,"1 (-328.36, 1)",-15.0533140155677,460.477275408827,-369.735908769189,-346.379550685751,0.973921258354048,"-15.05 (-369.74, -346.38)",2.9002056126434e-07,9.61036211190912e+199,2.66523225217068e-161,3.70913374095014e-151,"0 (0, 0)",0.999999709979439,1,1,"1 (1, 1)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","OI","2022-02-17 12:40:27"
-3.6960952929685,1.00359244008648,-6.56371467049992,-2.20254970230732,0.00023062746997964,"-3.7 (-6.56, -2.2)",0.0248202533200995,2.72806465465331,0.00141063591812818,0.110521003152551,"0.02 (0, 0.11)",0.9751797466799,0.998589364081872,0.889478996847449,"0.98 (0.89, 1)",-15.6776318311286,219.497552068518,-184.745608618061,-173.612239615219,0.94305944377184,"-15.68 (-184.75, -173.61)",1.55342756195092e-07,2.1211708714632e+95,5.83447282408547e-81,3.99174090317463e-76,"0 (0, 0)",0.999999844657244,1,1,"1 (1, 1)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","OI","2022-02-17 12:40:27"
-15.7023643700826,501.038138683165,-183.69385357302,5.17570555996449,0.97499866268882,"-15.7 (-183.69, 5.18)",1.51547857607357e-07,3.9636824447466e+217,1.67021751508887e-80,176.921398905666,"0 (0, 176.92)",0.999999848452142,1,-175.921398905666,"1 (-175.92, 1)",-16.8128169546567,517.866573950907,-415.699515591411,-389.4322538033,0.974100798196701,"-16.81 (-415.7, -389.43)",4.99213557571786e-08,8.06483393257958e+224,2.9106785727498e-181,7.44253863992232e-170,"0 (0, 0)",0.999999950078644,1,1,"1 (1, 1)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","OI","2022-02-17 12:40:27"
-15.1069051034095,1453.72176391948,NA,124.336007485636,0.991708626987877,"-15.11 (NA, 124.34)",2.74887173016002e-07,Inf,NA,9.96418891476376e+53,"0 (NA, 9.96418891476376e+53)",0.999999725112827,NA,-9.96418891476376e+53,"1 (-9.96418891476376e+53, NA)",-17.3866498427328,1092.43732911104,-858.836439413374,-803.425762698049,0.987301830989277,"-17.39 (-858.84, -803.43)",2.81237944108447e-08,Inf,0,0,"0 (0, 0)",0.999999971876206,1,1,"1 (1, 1)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","OI","2022-02-17 12:40:27"
-14.0530110417747,482.939418853823,-177.778553823398,5.74209445051595,0.976785704535376,"-14.05 (-177.78, 5.74)",7.88596509449771e-07,5.46921129180333e+209,6.1909183140107e-78,311.716602750746,"0 (0, 311.72)",0.999999211403491,1,-310.716602750746,"1 (-310.72, 1)",-15.8618066317154,805.653988433615,-636.416744630638,-595.552311030742,0.98429217352534,"-15.86 (-636.42, -595.55)",1.29212612329173e-07,Inf,4.05246820455383e-277,2.26421485105771e-259,"0 (0, 0)",0.999999870787388,1,1,"1 (1, 1)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","OI","2022-02-17 12:40:27"
-14.2820790342027,147.310207902842,-98.1939012735679,-102.992597138053,0.922764191095297,"-14.28 (-98.19, -102.99)",6.27150662441991e-07,9.46259865137303e+63,2.26428203235211e-43,1.86587860992578e-45,"0 (0, 0)",0.999999372849338,1,1,"1 (1, 1)",-15.905014825691,251.664546289416,-209.749617051009,-196.984671691171,0.949607828557739,"-15.91 (-209.75, -196.98)",1.23748466723068e-07,1.97935523555315e+109,8.07046825243002e-92,2.82256573474564e-86,"0 (0, 0)",0.999999876251533,1,1,"1 (1, 1)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","OI","2022-02-17 12:40:27"
-0.200104992741037,0.166590730722729,-0.537179748274582,0.117071391971427,0.229682459414424,"-0.2 (-0.54, 0.12)",0.818644796804516,1.1812707085535,0.584394068855741,1.12419968565752,"0.82 (0.58, 1.12)",0.181355203195484,0.415605931144259,-0.124199685657524,"0.18 (-0.12, 0.42)",-0.729399863728884,0.515917509500735,-1.92147639029348,0.154966128933869,0.157423087841707,"-0.73 (-1.92, 0.15)",0.48219828795492,1.67517478569349,0.146390672737573,1.1676184119549,"0.48 (0.15, 1.17)",0.51780171204508,0.853609327262427,-0.167618411954895,"0.52 (-0.17, 0.85)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","OI","2022-02-17 12:40:27"
-3.62757490843851,0.200029154143886,-4.04498457603836,-3.25765161015127,1.67991839199567e-73,"-3.63 (-4.04, -3.26)",0.0265805666187709,1.221438367631,0.01750997472689,0.0384786548794345,"0.03 (0.02, 0.04)",0.973419433381229,0.98249002527311,0.961521345120566,"0.97 (0.96, 0.98)",-1.96582972216068,0.208352920976311,-2.39388892186293,-1.57396622213844,3.90637964531959e-21,"-1.97 (-2.39, -1.57)",0.140039644401779,1.23164776718751,0.0912740351897862,0.207221663158558,"0.14 (0.09, 0.21)",0.859960355598221,0.908725964810214,0.792778336841442,"0.86 (0.79, 0.91)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","OI","2022-02-17 12:40:27"
-1.6486341464344,0.102828325435263,-1.85527722090077,-1.45179990909536,7.53107285259097e-58,"-1.65 (-1.86, -1.45)",0.19231239989473,1.10830112562972,0.15640957666052,0.234148462636375,"0.19 (0.16, 0.23)",0.80768760010527,0.84359042333948,0.765851537363625,"0.81 (0.77, 0.84)",-1.36316223669384,0.201798783955911,-1.77684019751529,-0.982883317588908,1.42779364148127e-11,"-1.36 (-1.78, -0.98)",0.255850436745839,1.22360177503045,0.169171853264058,0.374230516338672,"0.26 (0.17, 0.37)",0.744149563254161,0.830828146735942,0.625769483661328,"0.74 (0.63, 0.83)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","OI","2022-02-17 12:40:27"
2.66651133361794,0.0465676117808759,2.57574196624506,2.75830698246544,0,"2.67 (2.58, 2.76)",14.3896807285634,1.04766891143483,13.1410637679552,15.7731161679435,"14.39 (13.14, 15.77)",-13.3896807285634,-12.1410637679552,-14.7731161679435,"-13.39 (-14.77, -12.14)",3.81424830757484,0.0967102398455939,3.62803164043329,4.00742246698792,0,"3.81 (3.63, 4.01)",45.3426598355595,1.10154114464117,37.6386572439053,55.0049107157651,"45.34 (37.64, 55)",-44.3426598355595,-36.6386572439053,-54.0049107157651,"-44.34 (-54, -36.64)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","OI","2022-02-17 12:40:27"
-0.306848003890005,0.0417236503921588,-0.388680732516809,-0.225112203707145,1.91938441870892e-13,"-0.31 (-0.39, -0.23)",0.735762425435138,1.04260631508933,0.677950683073619,0.798426627305758,"0.74 (0.68, 0.8)",0.264237574564862,0.322049316926381,0.201573372694242,"0.26 (0.2, 0.32)",-0.388883001207306,0.0715149300582202,-0.529330342804298,-0.248903433279063,5.39462231615757e-08,"-0.39 (-0.53, -0.25)",0.677813568744167,1.07413418746755,0.588999265238421,0.779655258501398,"0.68 (0.59, 0.78)",0.322186431255833,0.411000734761579,0.220344741498602,"0.32 (0.22, 0.41)","version 21","Study period: 2021-12-07 to 2022-02-15","Input ../../../bisop_bi/data/data_20220215.csv","Age filter: 0-650","OI","2022-02-17 12:40:27"
