"beta","se","low","high","p","model.betas","hr","hr.se","hr.low","hr.high","model.hr","eff","eff.high","eff.low","model.effectiveness","model.concordance","model.ctool.version","model.age.filter","model.input.file","model.input.horizon","model.mode","model.calculated.at"
-3.6006527634388,0.0710120956220974,-3.74,-3.461,0,"-3.6 (-3.74, -3.46)",0.027305892340321,1.07359421157969,0.023754103131305,0.0313983479659934,"0.03 (0.02, 0.03)",0.972694107659679,0.976245896868695,0.968601652034007,"0.97 (0.97, 0.98)",0.884999113454817,"version 27","Mode varianthosp","Writing to data/temp/HDeltaInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VHI","2022-02-23 14:15:26"
-3.15239718836079,0.18919418332405,-3.523,-2.782,0,"-3.15 (-3.52, -2.78)",0.042749525274085,1.20827555666802,0.029510769926749,0.0619145543569417,"0.04 (0.03, 0.06)",0.957250474725915,0.970489230073251,0.938085445643058,"0.96 (0.94, 0.97)",0.884999113454817,"version 27","Mode varianthosp","Writing to data/temp/HDeltaInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VHI","2022-02-23 14:15:26"
-8.08993482112393,0,-8.09,-8.09,0,"-8.09 (-8.09, -8.09)",0.000306609740960183,1,0.000306589757133144,0.000306589757133144,"0 (0, 0)",0.99969339025904,0.999693410242867,0.999693410242867,"1 (1, 1)",0.884999113454817,"version 27","Mode varianthosp","Writing to data/temp/HDeltaInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VHI","2022-02-23 14:15:26"
-1.29356582427577,0.107141286412454,-1.504,-1.084,0,"-1.29 (-1.5, -1.08)",0.274290963818881,1.11309150807608,0.22223942217144,0.338239856687832,"0.27 (0.22, 0.34)",0.725709036181119,0.77776057782856,0.661760143312168,"0.73 (0.66, 0.78)",0.884999113454817,"version 27","Mode varianthosp","Writing to data/temp/HDeltaInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VHI","2022-02-23 14:15:26"
-1.48582687205861,0.034738449193555,-1.554,-1.418,0,"-1.49 (-1.55, -1.42)",0.226315129630212,1.03534887704929,0.21140067765351,0.242197928681311,"0.23 (0.21, 0.24)",0.773684870369788,0.78859932234649,0.757802071318689,"0.77 (0.76, 0.79)",0.884999113454817,"version 27","Mode varianthosp","Writing to data/temp/HDeltaInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VHI","2022-02-23 14:15:26"
-3.37116853737721,1.000216147701,-5.332,-1.411,0.000750482405286856,"-3.37 (-5.33, -1.41)",0.0343494752368797,2.71886944233035,0.00483439155390896,0.243899261901245,"0.03 (0, 0.24)",0.96565052476312,0.995165608446091,0.756100738098755,"0.97 (0.76, 1)",0.884999113454817,"version 27","Mode varianthosp","Writing to data/temp/HDeltaInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VHI","2022-02-23 14:15:26"
-6.94243681845357,0.0263361630011896,-6.994,-6.891,0,"-6.94 (-6.99, -6.89)",0.000965912972438469,1.02668602432454,0.000917369704100275,0.00101689643594175,"0 (0, 0)",0.999034087027562,0.9990826302959,0.998983103564058,"1 (1, 1)",0.884999113454817,"version 27","Mode varianthosp","Writing to data/temp/HDeltaInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VHI","2022-02-23 14:15:26"
-8.52138508631951,0.0402881051299965,-8.6,-8.442,0,"-8.52 (-8.6, -8.44)",0.000199163375764874,1.04111068031596,0.000184105793667579,0.000215618481793294,"0 (0, 0)",0.999800836624235,0.999815894206332,0.999784381518207,"1 (1, 1)",0.884999113454817,"version 27","Mode varianthosp","Writing to data/temp/HDeltaInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VHI","2022-02-23 14:15:26"
-8.74821502633951,0.0560623417569749,-8.858,-8.638,0,"-8.75 (-8.86, -8.64)",0.000158744426996823,1.0576636182896,0.000142239258390833,0.000177241030056824,"0 (0, 0)",0.999841255573003,0.999857760741609,0.999822758969943,"1 (1, 1)",0.884999113454817,"version 27","Mode varianthosp","Writing to data/temp/HDeltaInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VHI","2022-02-23 14:15:26"
-7.02452328196091,0.0525013280151286,-7.127,-6.922,0,"-7.02 (-7.13, -6.92)",0.000889791598220107,1.05390396167801,0.000803125152497943,0.0009858562549936,"0 (0, 0)",0.99911020840178,0.999196874847502,0.999014143745006,"1 (1, 1)",0.884999113454817,"version 27","Mode varianthosp","Writing to data/temp/HDeltaInteractions.csv","Study period: 2021-12-07 to 2022-02-13","VHI","2022-02-23 14:15:26"
